sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2998	1p	4	2	60619200	72391301	0.84	TETRAPLOID
X2998	2q	5	2	123951361	140561353	0.88	GAIN
X2998	5p	1	0	45800	45800	1	LOSS BEFORE & AFTER
X2998	10q	5	2	40765141	44957522	0.91	GAIN
X2998	11p	4	2	46320611	46320611	1	TETRAPLOID
X2998	12p	0	0	7000	7000	1	HOMDEL
X2998	12q	5	2	83449008	84446603	0.99	GAIN
X2998	13q	4	0	34742900	34811100	1	CNLOH BEFORE
X2998	15q	6	0	12469900	12469900	1	AMP (LOH)
X2998	16p	2	0	34460077	34731677	0.99	LOSS BEFORE
X2998	16q	2	0	42283785	43778726	0.97	LOSS BEFORE
X2998	18p	6	1	18113652.5	18113652.5	1	AMP
