sample no_occurences quality_scores
total_map_quality.txt X1040N 7296
total_map_quality.txt X1040N 39235
total_map_quality.txt X1040N 12033
total_map_quality.txt X1040N 20729
total_map_quality.txt X1040N 21060
total_map_quality.txt X1040N 31865
total_map_quality.txt X1040N 5885
total_map_quality.txt X1040N 42165
total_map_quality.txt X1040N 55322
total_map_quality.txt X1040N 70905
total_map_quality.txt X1040N 65753
total_map_quality.txt X1040N 121235
total_map_quality.txt X1040N 238499
total_map_quality.txt X1040N 7985
total_map_quality.txt X1040N 723853
total_map_quality.txt X1040N 5380
total_map_quality.txt X1040N 5044
total_map_quality.txt X1040N 40417
total_map_quality.txt X1040N 13756
total_map_quality.txt X1040N 15753
total_map_quality.txt X1040N 2727
total_map_quality.txt X1040N 42198
total_map_quality.txt X1040N 5509
total_map_quality.txt X1040N 5964
total_map_quality.txt X1040N 12793
total_map_quality.txt X1040N 20037
total_map_quality.txt X1040N 5291
total_map_quality.txt X1040N 53424
total_map_quality.txt X1040N 9516
total_map_quality.txt X1040N 857964
total_map_quality.txt X1040N 11899
total_map_quality.txt X1040N 38520
total_map_quality.txt X1040N 30197
total_map_quality.txt X1040N 27221
total_map_quality.txt X1040N 87104
total_map_quality.txt X1040N 44921
total_map_quality.txt X1040N 105561
total_map_quality.txt X1040N 151438
total_map_quality.txt X1040N 141760
total_map_quality.txt X1040N 10238
total_map_quality.txt X1040N 598759
total_map_quality.txt X1040N 37332
total_map_quality.txt X1040N 59496
total_map_quality.txt X1040N 20709
total_map_quality.txt X1040N 38652
total_map_quality.txt X1040N 77680
total_map_quality.txt X1040N 8072
total_map_quality.txt X1040N 130069
total_map_quality.txt X1040N 10395
total_map_quality.txt X1040N 17399
total_map_quality.txt X1040N 17242
total_map_quality.txt X1040N 89920244
total_map_quality.txt X1040N 24177
total_map_quality.txt X1040N 11663
total_map_quality.txt X1040N 46672
total_map_quality.txt X1040T 5579182
total_map_quality.txt X1040T 23587
total_map_quality.txt X1040T 29686
total_map_quality.txt X1040T 10161
total_map_quality.txt X1040T 20459
total_map_quality.txt X1040T 28211
total_map_quality.txt X1040T 8980
total_map_quality.txt X1040T 49910
total_map_quality.txt X1040T 15240
total_map_quality.txt X1040T 25647
total_map_quality.txt X1040T 24836
