sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-137	1p	6	3	85465066	95095759.5	0.9	AMP (BALANCED)
MDL17-137	3p	6	1	5266916	5266916	1	AMP
MDL17-137	4p	5	1	9713606	9872006	0.98	LOSS & GAIN
MDL17-137	6q	6	2	97866934	108759781	0.9	AMP
MDL17-137	9p	6	3	37864596.5	37864596.5	1	AMP (BALANCED)
MDL17-137	9q	6	3	78096631.5	93651879.5	0.83	AMP (BALANCED)
MDL17-137	10q	6	3	74935684	82807532	0.9	AMP (BALANCED)
MDL17-137	11p	1	0	2549300	2549300	1	LOSS BEFORE & AFTER
MDL17-137	13q	4	1	90903450	94761303	0.96	CNLOH AFTER
MDL17-137	14q	6	0	39333400	42158525	0.93	AMP (LOH)
MDL17-137	16p	6	0	26244715	30984295.5	0.85	AMP (LOH)
MDL17-137	18p	6	3	18113360.5	18113360.5	1	AMP (BALANCED)
MDL17-137	20p	6	3	27979690	27979690	1	AMP (BALANCED)
MDL17-137	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
MDL17-137	23q	2	0	93828964.5	93828964.5	1	LOSS BEFORE
