sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1677	1p	2	0	58184926	72238171.5	0.81	CNLOH
X1677	1q	2	1	125457308.5	125457308.5	1	DIPLOID
X1677	2p	2	1	6107151	6107151	1	DIPLOID
X1677	2q	2	1	126480190	148094990	0.85	DIPLOID
X1677	3p	2	0	47711016	47711016	1	CNLOH
X1677	3q	3	1	89337861	102827945	0.87	GAIN
X1677	4q	2	0	105253324	128420924	0.82	CNLOH
X1677	7p	1	0	54181700	54181700	1	HETLOSS
X1677	8p	1	0	29465800	29465800	1	HETLOSS
X1677	9p	2	0	44441896.5	44441896.5	1	CNLOH
X1677	10p	2	1	40593001.5	40593001.5	1	DIPLOID
X1677	10q	2	1	93019598.5	93019598.5	1	DIPLOID
X1677	12p	2	1	35965129.5	35965129.5	1	DIPLOID
X1677	12q	2	1	97257070.5	97257070.5	1	DIPLOID
X1677	14q	2	1	87757780	88379111	0.99	DIPLOID
X1677	15q	2	0	82099200	82099200	1	CNLOH
X1677	16p	2	1	36721599.5	36721599.5	1	DIPLOID
X1677	16q	2	1	52933986.5	52933986.5	1	DIPLOID
X1677	17p	1	0	24577321.5	24577321.5	1	HETLOSS
X1677	18p	2	1	14315852.5	14315852.5	1	DIPLOID
X1677	19p	2	1	17346727	17346727	1	DIPLOID
X1677	20p	2	1	28149590	28149590	1	DIPLOID
X1677	20q	2	1	36090488	36090488	1	DIPLOID
X1677	21q	1	0	34790816	34790816	1	HETLOSS
X1677	22q	2	0	36254899	36254899	1	CNLOH
X1677	23p	2	1	60224960.5	60224960.5	1	DIPLOID
X1677	23q	2	1	95518839.5	95518839.5	1	DIPLOID
