sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2152	6p	3	1	13111611	13211011	0.99	LOSS AFTER
X2152	9p	2	0	42414496.5	42414496.5	1	LOSS BEFORE
X2152	9q	2	0	81263507.5	93283391.5	0.87	LOSS BEFORE
X2152	10q	3	1	32430523	36331053	0.89	LOSS AFTER
X2152	11q	2	0	27827122	32743188	0.85	LOSS BEFORE
X2152	12q	2	0	59070332	59070332	1	LOSS BEFORE
X2152	13q	3	0	43841800	45341100	0.97	CNLOH BEFORE & LOSS
X2152	14q	2	0	77594724	79240782	0.98	LOSS BEFORE
X2152	15q	3	0	1087727	1087727	1	CNLOH BEFORE & LOSS
X2152	16p	3	1	32605413.5	32605413.5	1	LOSS AFTER
X2152	18p	2	0	18113452.5	18113452.5	1	LOSS BEFORE
X2152	18q	2	0	53458102.5	62083248.5	0.86	LOSS BEFORE
