Chromosome Arm	X1032	X103	X1040	X106	X1097	X1098	X1172	X1177	X1192	X1196	X119	X120	X1230	X1237	X1265	X1269	X1283	X128	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X2316	X2354	X2357	X2360	X2362	X2374	X23	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X935	X93	X94	X970	X987	X991
1p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.292	0.497	0.000	0.000	0.000	0.000	0.299	0.000	0.000	0.274	0.000	0.000	0.000	0.449	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.574	0.000	-0.295	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.471	0.000	0.387	0.794	0.000	0.000	0.000	-0.629	0.000	0.000	0.000	0.000	-0.491	0.000	0.000	-0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.286	0.000	0.000	0.000	0.000	0.813	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.355	0.000	0.000	0.000	0.633	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421
1q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	1.027	0.820	0.740	0.000	0.000	0.000	0.653	0.000	0.000	0.306	0.000	0.000	0.292	1.312	0.000	0.516	0.000	0.000	0.299	0.000	0.000	0.000	0.000	0.000	0.000	0.449	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.574	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.297	0.471	0.000	0.387	0.794	0.000	0.000	0.000	0.576	0.000	0.000	0.000	0.000	-0.491	0.000	0.287	-0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.000	0.000	0.000	0.000	0.000	0.813	0.000	0.000	0.000	-0.463	0.590	0.000	0.000	0.000	0.000	0.355	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.267	0.000	0.000	0.000	0.844	0.977
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.408	0.000	0.000	0.281	0.000	0.000	1.239	0.000	0.000	0.000	0.000	0.000	0.000	-0.007	0.000	0.700	0.000	0.000	0.000	0.000	0.000	0.628	0.000	0.000	0.000	0.404	-0.096	0.000	0.000	0.000	-0.337	0.000	0.000	0.000	0.344	0.000	0.000	0.502	0.454	0.656	0.565	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.660	0.000	0.531	0.658	0.270	0.434	0.381	0.299	0.000	0.000	1.197	0.348	0.000	0.000	0.000	0.000	0.000	0.352	0.953	0.000	-0.380	0.000	0.000	0.287	0.000	0.000	0.000	0.629	0.000	0.000	0.000	0.720	0.000	0.749	0.000	0.324	0.000	0.493	0.621	0.000	0.000	0.000	0.000	0.000	0.000	-0.803	0.000	0.000	0.000	0.000	0.000	0.000	0.867	0.000	0.000	0.000	2.375	0.000
2q	0.000	0.000	0.000	0.000	0.000	0.000	0.757	0.408	0.952	0.000	0.281	0.384	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	-0.292	0.865	0.700	0.000	0.000	0.000	0.390	0.000	0.628	0.000	0.000	0.000	0.404	-0.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.344	0.000	0.000	0.502	0.454	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.660	0.000	0.531	0.387	0.000	0.000	0.000	0.299	0.000	0.000	0.000	0.348	0.000	0.000	0.000	0.000	0.000	0.352	0.000	0.000	-0.380	0.000	0.000	0.287	0.000	0.000	0.000	0.629	0.000	0.000	0.000	0.720	0.000	0.257	0.000	0.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.261	0.000
3p	0.000	0.000	-0.251	0.000	-0.825	0.565	-0.846	0.277	0.000	0.000	0.000	-0.536	-0.395	-0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	-0.310	0.000	0.000	0.000	0.000	0.000	0.605	0.629	0.336	0.272	0.000	0.000	0.000	0.000	0.000	0.000	0.575	-0.252	0.000	0.000	0.000	0.555	0.398	-0.278	0.000	0.563	-0.286	-0.314	-0.641	0.584	0.000	0.341	-0.341	0.000	0.000	-0.484	0.651	0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.000	-0.345	0.000	0.294	0.000	0.000	0.578	-0.368	0.000	0.463	0.000	0.000	0.000	0.000	0.000	-0.414	0.000	-0.488	0.000	0.000	0.000	0.000	0.000	0.371	0.000	0.000	0.000	-0.691	-0.485	0.000	0.000	0.000	0.259	0.000	0.000	0.000	0.675	0.000
3q	0.000	0.000	0.000	0.000	0.160	0.565	1.597	0.277	0.439	0.000	0.318	0.000	0.000	0.000	0.000	0.727	0.578	0.588	0.000	0.822	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.605	0.000	0.336	0.678	0.000	0.000	0.000	0.417	0.000	0.000	1.209	0.949	0.000	0.299	0.842	0.555	0.398	0.000	1.325	0.563	-0.009	-0.314	1.653	0.584	0.566	0.341	-0.341	0.000	0.000	-0.484	0.000	0.327	0.268	0.497	0.000	0.897	0.512	0.000	0.660	0.622	0.000	0.000	0.000	0.000	0.914	0.000	0.279	0.795	0.000	0.000	0.000	0.000	0.607	0.000	0.612	0.578	0.111	0.000	0.463	0.000	0.713	0.000	0.821	0.000	1.652	0.358	0.000	0.359	0.000	0.000	0.000	0.000	0.371	0.000	0.000	0.486	-0.691	0.444	0.484	0.519	0.000	0.259	0.000	0.000	0.000	0.675	0.000
4p	0.000	-0.771	0.000	0.000	0.000	0.000	-0.890	-0.417	0.000	-0.925	0.000	0.000	-0.878	-0.580	-0.875	-0.295	0.000	-0.260	0.000	0.000	0.000	-0.468	-0.615	-0.810	-0.834	0.000	-1.293	-0.817	-0.485	0.000	0.000	-0.631	-0.282	-0.388	-0.267	0.000	0.000	-0.573	0.000	0.000	-0.453	-0.301	0.000	-0.302	0.255	0.000	0.000	-0.295	0.000	0.000	-0.254	-0.323	-0.900	0.000	0.000	-0.600	-0.453	0.000	-0.602	-0.482	-0.776	0.584	0.000	0.000	0.000	1.040	0.000	0.000	0.000	0.000	0.000	-0.733	0.000	0.000	-0.533	0.000	0.000	-0.288	0.000	0.000	0.000	0.000	-0.351	0.000	-0.585	0.000	-0.389	-0.271	0.000	-0.711	0.000	0.000	0.333	0.000	-0.490	0.000	-0.492	-0.297	0.000	0.000	0.000	0.000	-0.475	-0.618	0.000	0.000	-0.587	-0.559	-0.254	0.000	0.000	-0.444	0.000	-0.805	0.000	0.000	-0.544
4q	-0.257	-0.771	0.000	0.000	0.000	0.000	-0.890	-0.417	0.000	-0.925	0.000	-0.569	-0.878	-0.580	-0.875	-0.579	0.000	-0.260	0.000	0.000	0.000	-0.468	-0.615	-0.810	-0.834	0.000	-1.293	-0.817	-0.485	-0.448	-0.573	0.000	0.000	-0.388	-0.267	0.000	0.000	-0.349	0.000	-0.332	0.000	-0.301	0.000	-0.302	0.255	0.000	0.000	-0.295	0.000	0.000	-0.254	-0.323	-0.900	0.000	0.000	-0.600	-0.453	0.000	-0.602	-0.482	-0.776	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.733	-0.399	0.000	-0.533	-0.633	0.000	-0.288	0.000	0.000	0.000	0.000	-0.351	-0.334	0.000	-0.654	-0.389	0.000	0.000	-0.711	0.000	0.000	-0.397	-0.592	-0.490	0.000	-0.492	-0.297	0.000	0.000	0.000	0.000	-0.475	-0.618	-0.690	0.000	-0.626	-0.559	0.469	0.000	0.000	-0.444	-0.637	0.000	0.000	0.000	-0.544
5p	0.782	0.000	0.000	0.000	-0.287	0.218	0.000	-0.418	0.000	0.000	1.684	0.000	-0.897	-0.596	0.000	-0.469	0.000	0.000	0.000	0.000	-0.467	-0.466	0.001	0.000	0.270	0.000	0.826	0.000	0.000	-0.437	0.480	0.000	0.593	0.995	0.000	0.000	0.000	0.951	0.405	0.000	1.619	1.281	0.000	0.276	0.000	0.505	0.453	0.282	1.525	0.000	0.374	0.000	0.000	0.000	0.000	0.271	0.543	0.000	0.000	-0.469	0.000	-0.303	0.000	-0.488	-0.050	0.468	0.000	0.000	0.275	-0.631	0.392	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.392	-0.380	0.000	-0.373	-0.300	0.000	0.000	-0.388	-0.291	0.745	0.000	1.055	0.000	0.000	0.000	0.000	0.385	0.432	0.985	0.000	0.000	0.000	-0.580	0.265	0.000	0.401	0.000	0.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.590
5q	0.258	-0.750	0.000	0.000	-0.827	-0.327	-0.886	0.000	0.000	0.000	1.067	0.000	-0.251	-0.596	0.000	-0.469	0.000	0.000	0.000	0.000	0.000	-0.466	-0.599	0.000	0.000	0.000	0.000	0.000	-0.291	-0.437	0.000	0.000	0.297	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.318	-0.576	-0.272	0.000	0.000	0.453	0.000	0.000	0.000	0.110	0.000	-0.905	0.000	0.000	0.000	0.000	0.000	0.000	-0.469	0.000	-0.303	0.000	-0.488	-0.560	0.000	0.000	0.000	0.000	-0.631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.380	0.000	-0.373	-0.300	-0.585	0.437	-0.388	-0.291	0.000	-0.714	0.000	0.000	0.000	-0.626	0.000	0.000	-0.488	-0.327	0.000	0.000	-0.669	-0.309	-0.334	0.000	0.000	0.000	0.000	-0.456	0.000	-0.440	0.000	0.000	0.000	0.000	0.000	0.000	0.590
