sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2700	3p	2	1	16614916	16670616	1	DIPLOID
X2700	4p	0	0	74500	74500	1	HOMDEL
X2700	4q	2	1	137291412	137291412	1	DIPLOID
X2700	5p	1	0	35500	35500	1	HETLOSS
X2700	6p	2	1	3625211	3657611	0.99	DIPLOID
X2700	6q	2	1	109632918	110016784	1	DIPLOID
X2700	7q	5	0	54497903	61322367	0.89	AMP (LOH)
X2700	10q	2	1	26443754	32737842	0.81	DIPLOID
X2700	11p	3	1	30524211	30524211	1	GAIN
X2700	12p	1	0	55100	55100	1	HETLOSS
X2700	12q	2	1	34562442	34562442	1	DIPLOID
X2700	15q	3	1	58073421	59418621	0.98	GAIN
X2700	17q	2	1	53583463	58015921.5	0.92	DIPLOID
X2700	18p	2	1	18113652.5	18113652.5	1	DIPLOID
X2700	18q	2	1	58695050.5	62069772.5	0.95	DIPLOID
X2700	19q	2	1	28389747	31683340	0.9	DIPLOID
X2700	21q	2	1	33268647	34714922	0.96	DIPLOID
X2700	23p	2	1	38072460.5	38072460.5	1	DIPLOID
X2700	23q	2	1	95518839.5	95518839.5	1	DIPLOID
