# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
PR4035	-0.859000	1.612000
PR4046	-0.568000	1.402000
PR4077	-0.470000	0.470000
PR4091	-0.635000	0.760000
PR4092	-0.983000	1.038000
SD0346	-1.077000	1.034000
SD1494	-1.028000	1.845000
SD2051	-0.705000	0.695000
SD2056	-0.479000	0.561000
SD5038	-1.036000	1.052000
SD5118	-0.434000	1.533000
SD5934	-0.481000	0.498000
SD6336	-0.418000	1.145000
SD6494	-1.331000	2.091000
SD7357	-0.546000	1.164000
