sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL16-3157	1p	2	1	120188656	123216949.5	0.98	DIPLOID
MDL16-3157	2p	1	0	6296951	6296951	1	HETLOSS
MDL16-3157	2q	2	1	118201626	146224760	0.81	DIPLOID
MDL16-3157	3p	2	1	92016116	92016116	1	DIPLOID
MDL16-3157	3q	2	1	102501706	102501706	1	DIPLOID
MDL16-3157	4p	2	1	50674606	50674606	1	DIPLOID
MDL16-3157	4q	2	1	138942893	138942893	1	DIPLOID
MDL16-3157	5p	2	1	48132553.5	48132553.5	1	DIPLOID
MDL16-3157	5q	2	1	130175064.5	132987367.5	0.98	DIPLOID
MDL16-3157	6p	2	1	59085811	59085811	1	DIPLOID
MDL16-3157	6q	2	1	109802214	109802214	1	DIPLOID
MDL16-3157	7q	2	1	57932511	59056882	0.98	DIPLOID
MDL16-3157	8p	2	1	17418704.5	17418704.5	1	DIPLOID
MDL16-3157	8q	2	1	88787692.5	99783224.5	0.89	DIPLOID
MDL16-3157	9p	2	0	44441996.5	44441996.5	1	CNLOH
MDL16-3157	9q	2	0	88699268.5	92122772.5	0.96	CNLOH
MDL16-3157	10p	2	1	40593001.5	40593001.5	1	DIPLOID
MDL16-3157	10q	2	1	92752513.5	92752513.5	1	DIPLOID
MDL16-3157	11p	2	1	49411911	49411911	1	DIPLOID
MDL16-3157	11q	2	1	82229402	82229402	1	DIPLOID
MDL16-3157	12p	2	1	35965129.5	35965129.5	1	DIPLOID
MDL16-3157	12q	2	1	96704666.5	97243474.5	0.99	DIPLOID
MDL16-3157	13q	2	1	96153000	96153000	1	DIPLOID
MDL16-3157	14q	2	1	85214776	88504910	0.96	DIPLOID
MDL16-3157	15q	2	1	69169427	81934527	0.84	DIPLOID
MDL16-3157	16p	2	1	33551609.5	36865236.5	0.91	DIPLOID
MDL16-3157	16q	2	1	52621641.5	52621641.5	1	DIPLOID
MDL16-3157	17p	2	1	20496322.5	24563422.5	0.83	DIPLOID
MDL16-3157	18p	2	1	18113152.5	18113152.5	1	DIPLOID
MDL16-3157	18q	2	1	62086347.5	62086347.5	1	DIPLOID
MDL16-3157	20p	2	1	14830463	17578319	0.84	DIPLOID
MDL16-3157	20q	2	0	34859358	36087522	0.97	CNLOH
MDL16-3157	21q	2	1	34103968	34786948	0.98	DIPLOID
MDL16-3157	22q	2	1	36726100	36726100	1	DIPLOID
MDL16-3157	23p	1	0	60224960.5	60224960.5	1	HETLOSS
MDL16-3157	23q	1	0	95517625.5	95517625.5	1	HETLOSS
