"exp.Coef"	"lower.95"	"upper.95"	"p_val"	"FDR"
"1p"	0.158934864555325	0.0359498813165451	0.702652978150279	0.0152958827034997	0.219240985416829
"1q"	0.791062241790902	0.292647147447317	2.13834126129626	0.644112554444972	0.960746421498884
"2p"	0.0483601466213751	0.00692156716855089	0.337886453210644	0.00225886889192536	0.0896668063090863
"2q"	0.662726968155389	0.158990468538861	2.76247399203734	0.572185395339664	0.960746421498884
"3p"	0.375579084159452	0.0754873596945627	1.86865256685105	0.231604362293993	0.960746421498884
"3q"	0.384012455369244	0.129019956194904	1.14296710546039	0.0854615573640464	0.723320006806509
"4p"	0.991504822990999	0.263567204291395	3.72990948042055	0.989930401266247	0.989930401266247
"4q"	0.795430019720055	0.145764607714829	4.34062099292076	0.791506219480257	0.960746421498884
"5p"	0.801673381087534	0.274320993889493	2.34280359236091	0.686207677313118	0.960746421498884
"5q"	1.99532216341395	0.564011946167225	7.05891171785656	0.28389865820362	0.960746421498884
"6p"	1.29142101203962	0.25415341060269	6.56205331410881	0.757813280660545	0.960746421498884
"6q"	1.25873482783333	0.245116124511143	6.46392957607559	0.782815808434118	0.960746421498884
"7p"	0.668997256101136	0.272601317693332	1.64180178018925	0.380176222021384	0.960746421498884
"7q"	0.425975217853891	0.105221664655568	1.72450119297811	0.231640351704297	0.960746421498884
"8p"	0.912765136814963	0.410422029786064	2.0299597353951	0.822896083643257	0.960746421498884
"8q"	0.531342228664331	0.21426080011286	1.31766783197517	0.17236681353849	0.960746421498884
"9p"	1.68433165026263	0.607261237710255	4.67175069295309	0.31650516640099	0.960746421498884
"9q"	1.98040629939104	0.26815663561945	14.6258141313855	0.502987967190817	0.960746421498884
"10p"	0.132387344729603	0.0331962488775641	0.527963539169634	0.00417054913065518	0.0896668063090863
"10q"	0.416675831011353	0.0749521135686309	2.31639562758994	0.317201916247305	0.960746421498884
"11p"	1.11943254837025	0.507332973716807	2.47003308531292	0.779931070431425	0.960746421498884
"11q"	0.894815472605608	0.412478987565337	1.94117701544146	0.778501890305538	0.960746421498884
"12p"	1.30590611970735	0.22939323904333	7.43435508649394	0.76358761152146	0.960746421498884
"12q"	0.768184646096111	0.152050207459185	3.88100523082948	0.749647200163223	0.960746421498884
"13q"	1.05553973600882	0.425179889264009	2.6204535125643	0.907249709769698	0.960746421498884
"14q"	0.777111175780183	0.242847046519871	2.48675776863131	0.670894135934032	0.960746421498884
"15q"	5.91534527635752	1.01472778099638	34.4834451109309	0.0481300448275297	0.517397981895944
"16p"	0.633384739003356	0.0769028331741012	5.21666382165821	0.671202001798965	0.960746421498884
"16q"	1.11798929313405	0.125477866197087	9.96111981693374	0.920386962811981	0.960746421498884
"17p"	0.437375155873975	0.126041715030157	1.51772789611768	0.192669400259677	0.960746421498884
"17q"	0.523776300588304	0.140512148499681	1.95244052551508	0.335393819858192	0.960746421498884
"18p"	0.970050011366385	0.448594625139495	2.09765559330835	0.938403481464027	0.960746421498884
"18q"	1.315205315088	0.377012644971447	4.58808224049548	0.667344584159303	0.960746421498884
"19p"	1.4951859627718	0.372088295070964	6.00820045372152	0.570826185123944	0.960746421498884
"19q"	0.714903767399566	0.179858557933502	2.84160733030593	0.633605094519555	0.960746421498884
"20p"	1.42466674048063	0.385442365205309	5.26583350626387	0.59566875095441	0.960746421498884
"20q"	0.355950774592121	0.0619659877205828	2.04468545719066	0.246829846267629	0.960746421498884
"21p"	1.04686842359505	0.38507070683159	2.84605781971278	0.928477204681252	0.960746421498884
"21q"	0.810609334311887	0.172962237354033	3.7990228556571	0.789921071351686	0.960746421498884
"22p"	0.927226233438838	0.257769551648682	3.33533763967956	0.907903226115215	0.960746421498884
"22q"	1.16543505081441	0.162371555918414	8.36500488022204	0.878997532053028	0.960746421498884
"Xp"	0.7754759922146	0.15791751003049	3.80808318460132	0.754153341154212	0.960746421498884
"Xq"	0.185417539738692	0.0247579594941116	1.38863075735003	0.100928373042769	0.723320006806509
