sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X3297	1p	3	1	89032114.5	89600044.5	0.99	LOSS AFTER
X3297	2p	3	0	18605251	18605251	1	CNLOH BEFORE & LOSS
X3297	2q	3	0	147477617	147477617	1	CNLOH BEFORE & LOSS
X3297	3q	5	2	92053729	97742404	0.94	GAIN
X3297	4q	3	1	95046800	113054400	0.84	LOSS AFTER
X3297	6q	2	0	99163700	106123949	0.93	LOSS BEFORE
X3297	8p	1	0	43016900	43016900	1	LOSS BEFORE & AFTER
X3297	8q	3	0	87376935	89106135	0.98	CNLOH BEFORE & LOSS
X3297	10p	1	0	25419400	25419400	1	LOSS BEFORE & AFTER
X3297	11q	2	1	66411919	66411919	1	DOUBLE LOSS AFTER
X3297	14q	3	1	25258792	29419354	0.86	LOSS AFTER
X3297	16p	2	0	32217758.5	32217758.5	1	LOSS BEFORE
X3297	16q	2	0	52889165.5	52889165.5	1	LOSS BEFORE
X3297	17p	5	0	12136104	14764986	0.82	CNLOH BEFORE & GAIN
X3297	18p	5	2	18113552.5	18113552.5	1	GAIN
X3297	20q	4	1	33342416	35281816	0.95	CNLOH AFTER
X3297	21q	4	0	33369383	34229038	0.97	CNLOH BEFORE
X3297	23p	1	0	45313800	45313800	1	LOSS BEFORE & AFTER
