sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X137	1p	4	2	66900591.5	66983791.5	1	TETRAPLOID
X137	2p	3	1	93124951	93124951	1	LOSS AFTER
X137	5p	2	0	34088753.5	34088753.5	1	LOSS BEFORE
X137	6q	2	0	86984800	86984800	1	LOSS BEFORE
X137	7p	0	0	67700	67700	1	HOMDEL
X137	7q	4	2	50133750	58501012	0.86	TETRAPLOID
X137	9q	4	2	71242551	71242551	1	TETRAPLOID
X137	10p	2	0	39775901.5	39775901.5	1	LOSS BEFORE
X137	10q	2	0	93019498.5	93019498.5	1	LOSS BEFORE
X137	11q	2	0	41320100	41320100	1	LOSS BEFORE
X137	12q	2	0	91115332	91115332	1	LOSS BEFORE
X137	13q	4	2	13753002	13753002	1	TETRAPLOID
X137	15q	1	0	12814300	13477100	0.95	LOSS BEFORE & AFTER
X137	16p	4	2	26857413.5	26857413.5	1	TETRAPLOID
X137	16q	3	1	42590038	52932908.5	0.8	LOSS AFTER
X137	17p	2	0	23269084.5	24332031.5	0.96	LOSS BEFORE
X137	18p	3	1	11336352.5	11336352.5	1	LOSS AFTER
X137	20p	4	2	27364090	27364090	1	TETRAPLOID
X137	21q	2	1	27995097	27995097	1	DOUBLE LOSS AFTER
X137	23p	1	0	60224960.5	60224960.5	1	LOSS BEFORE & AFTER
