sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X300	4p	0	0	95400	95400	1	HOMDEL
X300	4q	1	0	101104600	105432500	0.96	HETLOSS
X300	6p	1	0	5896100	5896100	1	HETLOSS
X300	6q	1	0	74384709	86734557	0.86	HETLOSS
X300	7p	2	1	14456636.5	14456636.5	1	DIPLOID
X300	7q	2	1	79302171.5	93759214.5	0.85	DIPLOID
X300	8p	1	0	36714300	36714300	1	HETLOSS
X300	10p	1	0	4690500	4690500	1	HETLOSS
X300	12p	1	0	208200	208200	1	HETLOSS
X300	14q	1	0	47246381	52394757	0.9	HETLOSS
X300	15q	2	0	1902600	1926000	0.99	CNLOH
X300	16p	2	1	26235871	28846971	0.91	DIPLOID
X300	17p	1	0	24441305.5	24554373.5	1	HETLOSS
X300	18p	1	0	14431717	14431717	1	HETLOSS
X300	18q	1	0	55609500	55609500	1	HETLOSS
X300	20p	2	1	28149490	28149490	1	DIPLOID
X300	23q	2	1	95499739.5	95499739.5	1	DIPLOID
