sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X655	1p	2	1	16154991.5	16154991.5	1	DIPLOID
X655	1q	2	1	123114365.5	124379065.5	0.99	DIPLOID
X655	2p	2	1	68480651	82008151	0.84	DIPLOID
X655	3p	1	0	91352916	91352916	1	HETLOSS
X655	4p	1	0	48096300	48096300	1	HETLOSS
X655	5p	2	1	9745653.5	9745653.5	1	DIPLOID
X655	6q	1	0	73376800	73376800	1	HETLOSS
X655	7p	1	0	47247300	47247300	1	HETLOSS
X655	7q	3	1	76759548	84025248	0.91	GAIN
X655	8p	2	1	44788904.5	44788904.5	1	DIPLOID
X655	9p	2	1	16998896.5	18699196.5	0.91	DIPLOID
X655	9q	2	1	93612831.5	93612831.5	1	DIPLOID
X655	10q	1	0	34781400	34781400	1	HETLOSS
X655	11p	1	0	26476000	26476000	1	HETLOSS
X655	11q	2	1	32270436	32270436	1	DIPLOID
X655	12p	2	1	35965029.5	35965029.5	1	DIPLOID
X655	12q	2	1	97257170.5	97257170.5	1	DIPLOID
X655	13q	2	0	92842500	93897400	0.99	CNLOH
X655	14q	1	0	88526711	88526711	1	HETLOSS
X655	15q	2	1	82087562	82087562	1	DIPLOID
X655	16q	1	0	46586166.5	52832266.5	0.88	HETLOSS
X655	17p	1	0	24556487.5	24556487.5	1	HETLOSS
X655	17q	1	0	58522865.5	58522865.5	1	HETLOSS
X655	18p	1	0	15532464.5	15532464.5	1	HETLOSS
X655	20p	2	1	28149264	28149264	1	DIPLOID
X655	20q	2	1	34720233	35981533	0.96	DIPLOID
X655	22q	1	0	36794482	36794482	1	HETLOSS
X655	23p	1	0	60224760.5	60224760.5	1	HETLOSS
X655	23q	1	0	95433037.5	95433037.5	1	HETLOSS
