sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X80	1p	4	2	53687491.5	53765091.5	1	TETRAPLOID
X80	4p	2	0	33968706	33968706	1	LOSS BEFORE
X80	7p	0	0	268800	268800	1	HOMDEL
X80	8p	4	2	1761604.5	1761604.5	1	TETRAPLOID
X80	8q	4	2	99745652.5	99745652.5	1	TETRAPLOID
X80	10q	4	2	41008430	43574892	0.94	TETRAPLOID
X80	12q	4	0	52866898	52866898	1	CNLOH BEFORE
X80	13q	4	0	39355300	41305145	0.95	CNLOH BEFORE
X80	15q	4	0	30715538	32996038	0.93	CNLOH BEFORE
X80	16p	4	2	34032945.5	34032945.5	1	TETRAPLOID
X80	18p	2	0	18113352.5	18113352.5	1	LOSS BEFORE
X80	19p	4	2	15805259	15805259	1	TETRAPLOID
X80	19q	4	2	31252859	32648895	0.96	TETRAPLOID
X80	20p	4	2	22463990	22463990	1	TETRAPLOID
X80	20q	4	2	29624652	35696727	0.83	TETRAPLOID
X80	23q	2	0	75465700	76005300	0.99	LOSS BEFORE
