Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.17	0.18	0.128	1	0.05	0.06	-2.94	1
1q	2863	0.31	0.32	3.49	0.00347	0.03	0.04	-3.48	1
2p	1500	0.25	0.26	-0.144	1	0.03	0.05	-4.63	1
2q	2495	0.20	0.21	-0.0743	1	0.04	0.05	-3.7	1
3p	1531	0.26	0.30	0.89	0.803	0.15	0.20	-1.39	1
3q	1708	0.50	0.51	6.39	1.76e-09	0.01	0.02	-4.11	1
4p	693	0.01	0.02	-4.69	1	0.52	0.53	5.12	6.02e-07
4q	1467	0.02	0.04	-3.93	1	0.51	0.52	6.26	1.05e-09
5p	456	0.24	0.31	-0.245	1	0.22	0.29	-0.557	1
5q	2185	0.07	0.09	-2.89	1	0.27	0.29	1.71	0.0852
6p	1664	0.27	0.36	2.22	0.0706	0.23	0.32	1.36	0.164
6q	1304	0.12	0.19	-1.56	1	0.38	0.43	3.5	0.00061
7p	926	0.23	0.28	-0.209	1	0.19	0.24	-1.03	1
7q	1717	0.34	0.36	2.66	0.0273	0.05	0.08	-3.5	1
8p	795	0.26	0.45	2.62	0.0273	0.43	0.57	5.56	6.36e-08
8q	1249	0.50	0.56	6.42	1.76e-09	0.11	0.22	-0.962	1
9p	621	0.13	0.22	-1.67	1	0.41	0.47	3.49	0.00061
9q	1610	0.03	0.06	-3.6	1	0.44	0.46	4.96	1.29e-06
10p	767	0.21	0.27	-0.678	1	0.24	0.30	-0.0335	0.788
10q	1968	0.09	0.11	-2.94	1	0.21	0.22	-0.309	0.922
11p	1162	0.09	0.14	-2.75	1	0.33	0.37	1.99	0.0478
11q	2133	0.21	0.24	0.342	1	0.15	0.19	-0.792	1
12p	804	0.33	0.39	1.87	0.146	0.14	0.21	-1.84	1
12q	2055	0.19	0.23	0.0409	1	0.20	0.24	0.227	0.653
13q	1092	0.14	0.23	-1.11	1	0.39	0.46	3.8	0.000225
14q	1829	0.09	0.14	-2.28	1	0.31	0.34	2.28	0.0246
15q	2082	0.05	0.08	-2.97	1	0.38	0.41	4.37	2.09e-05
16p	1378	0.11	0.17	-1.93	1	0.35	0.39	2.87	0.0046
16q	1070	0.03	0.09	-3.05	1	0.60	0.62	7.84	3.18e-14
17p	937	0.05	0.17	-1.67	1	0.69	0.73	10.1	0
17q	2298	0.11	0.21	-0.177	1	0.47	0.53	7.64	9.26e-14
18p	212	0.15	0.22	-2.12	1	0.31	0.36	0.647	0.445
18q	644	0.06	0.11	-3.52	1	0.44	0.47	3.71	0.000302
19p	1331	0.21	0.27	0.0619	1	0.22	0.28	0.232	0.653
19q	2402	0.14	0.22	0.0614	1	0.37	0.43	5.21	4.01e-07
20p	583	0.39	0.43	2.69	0.0273	0.09	0.15	-2.87	1
20q	1092	0.41	0.42	3.15	0.00885	0.02	0.03	-4.71	1
21p	92	0.09	0.15	-3.16	1	0.44	0.49	3.2	0.00165
21q	750	0.09	0.12	-3.53	1	0.31	0.34	0.739	0.412
22p	2	0.03	0.07	-3.92	1	0.62	0.63	6.45	3.43e-10
22q	1258	0.01	0.02	-3.9	1	0.60	0.60	7.9	3.1e-14
Xp	945	0.03	0.07	-3.39	1	0.61	0.62	7.74	5.37e-14
Xq	1533	0.06	0.12	-2.37	1	0.51	0.55	6.8	3.76e-11
