sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1689	2p	0	0	54700	54700	1	HOMDEL
X1689	4p	1	0	26774800	26774800	1	HETLOSS
X1689	4q	2	0	114095261	114095261	1	CNLOH
X1689	7q	5	2	75258063	88824016	0.85	AMP
X1689	8p	1	0	38197700	38197700	1	HETLOSS
X1689	10p	1	0	6699900	6699900	1	HETLOSS
X1689	11p	1	0	2139500	2139500	1	HETLOSS
X1689	12p	1	0	5819600	5819600	1	HETLOSS
X1689	12q	3	0	57808100	57808100	1	CNLOH & GAIN
X1689	15q	5	0	14989700	14989700	1	AMP (LOH)
X1689	20q	3	1	30451992	35174376	0.87	GAIN
X1689	21q	3	1	34790916	34790916	1	GAIN
X1689	23p	2	0	53974860.5	60224560.5	0.9	CNLOH
X1689	23q	2	0	95517730.5	95517730.5	1	CNLOH
