sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X544	1p	4	2	88574291.5	88574291.5	1	TETRAPLOID
X544	1q	4	2	113640322.5	123925846.5	0.92	TETRAPLOID
X544	2p	4	2	37445451	37445451	1	TETRAPLOID
X544	2q	4	2	140183760	148048873	0.95	TETRAPLOID
X544	3p	5	2	43613616	43613616	1	GAIN
X544	4p	2	0	2850706	2850706	1	LOSS BEFORE
X544	5q	4	2	82325817	82325817	1	TETRAPLOID
X544	6q	2	0	81009300	81009300	1	LOSS BEFORE
X544	7q	4	2	49862331	59047685	0.84	TETRAPLOID
X544	8q	6	2	45471742	47367142	0.96	AMP
X544	9p	2	0	11427196.5	11427196.5	1	LOSS BEFORE
X544	9q	2	0	93721005.5	93721005.5	1	LOSS BEFORE
X544	11p	4	2	14303511	14303511	1	TETRAPLOID
X544	11q	4	2	73655233	82233931	0.9	TETRAPLOID
X544	13q	2	0	13689462	13978762	0.98	LOSS BEFORE
X544	14q	3	0	25980334	25980334	1	CNLOH BEFORE & LOSS
X544	15q	3	1	68594400	68594400	1	LOSS AFTER
X544	16p	4	2	26372729.5	26372729.5	1	TETRAPLOID
X544	16q	4	2	52933261.5	52933261.5	1	TETRAPLOID
X544	17p	2	0	15951221.5	17059921.5	0.94	LOSS BEFORE
X544	18p	4	2	18113552.5	18113552.5	1	TETRAPLOID
X544	18q	2	0	57278400	62067147.5	0.92	LOSS BEFORE
X544	19p	4	2	20649650	20649650	1	TETRAPLOID
X544	20p	4	2	28149490	28149490	1	TETRAPLOID
X544	21q	4	2	29144320	34755658	0.84	TETRAPLOID
X544	22q	2	0	33942832	35469874	0.96	LOSS BEFORE
X544	23p	4	2	12030560.5	12030560.5	1	TETRAPLOID
X544	23q	4	2	94190321.5	94190321.5	1	TETRAPLOID
