sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1341	2p	2	1	25115451	27593151	0.91	DIPLOID
X1341	2q	2	1	139822722	147074192	0.95	DIPLOID
X1341	3p	2	1	18809616	18809616	1	DIPLOID
X1341	4p	2	1	9203506	9203506	1	DIPLOID
X1341	4q	2	1	139331994	139331994	1	DIPLOID
X1341	5p	1	0	30498000	30498000	1	HETLOSS
X1341	5q	2	1	85785751	98412457	0.87	DIPLOID
X1341	7q	2	1	53653713	59216997	0.91	DIPLOID
X1341	8p	1	0	27058200	27471400	0.98	HETLOSS
X1341	8q	2	1	34937772	42160847	0.83	DIPLOID
X1341	9p	2	1	7776796.5	7776796.5	1	DIPLOID
X1341	9q	2	1	83314103.5	93771003.5	0.89	DIPLOID
X1341	10q	2	1	30070196	33995196	0.88	DIPLOID
X1341	11p	1	0	18770600	18770600	1	HETLOSS
X1341	11q	2	1	59395098	60624284	0.98	DIPLOID
X1341	12q	2	1	52561416	62240674	0.84	DIPLOID
X1341	13q	4	1	34948900	34948900	1	GAIN
X1341	14q	2	1	29090845	31781124	0.92	DIPLOID
X1341	15q	1	0	29155555	29155555	1	HETLOSS
X1341	17p	1	0	20780902.5	20780902.5	1	HETLOSS
X1341	18p	2	1	18113552.5	18113552.5	1	DIPLOID
X1341	18q	2	1	56347580.5	61162685.5	0.92	DIPLOID
X1341	20p	2	1	22282090	22282090	1	DIPLOID
X1341	21q	2	1	34787416	34787416	1	DIPLOID
X1341	23q	2	1	78014144	78014144	1	DIPLOID
