sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2176	1p	1	0	120245620	122168611.5	0.98	HETLOSS
X2176	1q	2	1	119177365.5	125453001.5	0.95	DIPLOID
X2176	2p	2	1	26567951	26567951	1	DIPLOID
X2176	2q	2	1	142915199	148098699	0.96	DIPLOID
X2176	3p	1	0	89281600	91293216	0.98	HETLOSS
X2176	4p	1	0	50674806	50674806	1	HETLOSS
X2176	4q	1	0	139334894	139334894	1	HETLOSS
X2176	6p	2	1	28584011	28584011	1	DIPLOID
X2176	7p	1	0	59815836.5	59815836.5	1	HETLOSS
X2176	7q	1	0	99383927.5	99383927.5	1	HETLOSS
X2176	8q	2	1	98088805.5	99929368.5	0.98	DIPLOID
X2176	9p	1	0	40563400	40563400	1	HETLOSS
X2176	9q	1	0	55739351	56612251	0.98	HETLOSS
X2176	10q	1	0	89468016	91022580	0.98	HETLOSS
X2176	11p	1	0	16921800	16921800	1	HETLOSS
X2176	12q	2	1	30789255	32726807	0.94	DIPLOID
X2176	14q	1	0	79152000	80426485	0.98	HETLOSS
X2176	15q	1	0	81904600	81904600	1	HETLOSS
X2176	16p	2	1	35936013.5	35936013.5	1	DIPLOID
X2176	16q	2	1	45743946.5	52771889.5	0.87	DIPLOID
X2176	17p	1	0	24381921.5	24381921.5	1	HETLOSS
X2176	18p	2	1	18113452.5	18113452.5	1	DIPLOID
X2176	19q	2	1	29196739	32559287	0.9	DIPLOID
X2176	20p	2	1	27883890	27883890	1	DIPLOID
X2176	20q	2	1	34087076	36090176	0.94	DIPLOID
X2176	22q	1	0	36771179	36771179	1	HETLOSS
X2176	23p	2	1	60224960.5	60224960.5	1	DIPLOID
X2176	23q	2	1	95519039.5	95519039.5	1	DIPLOID
