sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2212	2p	3	1	6001751	6001751	1	GAIN
X2212	3p	1	0	219700	219700	1	HETLOSS
X2212	4q	2	1	77426849	94925021	0.82	DIPLOID
X2212	5p	1	0	20400	20400	1	HETLOSS
X2212	6p	1	0	2739800	2739800	1	HETLOSS
X2212	7p	1	0	1598500	1598500	1	HETLOSS
X2212	8p	1	0	19714800	19790000	1	HETLOSS
X2212	9p	1	0	22017500	22017500	1	HETLOSS
X2212	11p	1	0	7500	7500	1	HETLOSS
X2212	12p	1	0	4603600	4603600	1	HETLOSS
X2212	15q	1	0	17794100	20077707	0.89	HETLOSS
X2212	16q	2	0	43442630	52777669.5	0.82	CNLOH
X2212	17q	2	0	53369222	57338744.5	0.93	CNLOH
X2212	18p	4	1	8999843	8999843	1	GAIN
X2212	22q	2	0	29254344	35965178	0.81	CNLOH
X2212	23p	1	0	34359000	34359000	1	HETLOSS
