sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X603	1p	2	1	90240068.5	90240068.5	1	DIPLOID
X603	1q	2	1	124396635.5	125437954.5	0.99	DIPLOID
X603	2p	2	1	93124951	93124951	1	DIPLOID
X603	2q	2	1	148114115	148114115	1	DIPLOID
X603	3p	1	0	90883116	90883116	1	HETLOSS
X603	4p	1	0	49860406	49860406	1	HETLOSS
X603	4q	1	0	139254669	139254669	1	HETLOSS
X603	5p	1	0	38843800	38843800	1	HETLOSS
X603	5q	1	0	122417502	130480050	0.94	HETLOSS
X603	6p	1	0	59086011	59086011	1	HETLOSS
X603	6q	1	0	111448389	111448389	1	HETLOSS
X603	7q	2	1	59012686	59012686	1	DIPLOID
X603	8p	1	0	43406804.5	43406804.5	1	HETLOSS
X603	8q	1	0	98374395.5	99526102.5	0.99	HETLOSS
X603	9q	0	0	74771667	74771667	1	HOMDEL
X603	10p	2	1	40220801.5	40220801.5	1	DIPLOID
X603	10q	2	1	92432094.5	92432094.5	1	DIPLOID
X603	11q	1	0	52289188	58931605	0.89	HETLOSS
X603	12q	2	1	92303193	92303193	1	DIPLOID
X603	14q	1	0	87340400	88493553	0.99	HETLOSS
X603	15q	1	0	81143613	81994013	0.99	HETLOSS
X603	16p	1	0	26192297	32263517	0.81	HETLOSS
X603	16q	1	0	38225003	43329409	0.88	HETLOSS
X603	17p	1	0	23959419.5	23959419.5	1	HETLOSS
X603	17q	1	0	57744292.5	58421282.5	0.99	HETLOSS
X603	18p	1	0	17482252.5	17482252.5	1	HETLOSS
X603	18q	1	0	61972143.5	61972143.5	1	HETLOSS
X603	21q	1	0	34781901	34781901	1	HETLOSS
X603	22q	1	0	36205735	36792093	0.98	HETLOSS
X603	23p	1	0	56133660.5	56133660.5	1	HETLOSS
X603	23q	1	0	95265291.5	95265291.5	1	HETLOSS
