sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X472	1p	3	1	70464591.5	70906891.5	0.99	LOSS AFTER
X472	4p	2	0	41479306	41571206	1	LOSS BEFORE
X472	5p	1	0	20400	20400	1	LOSS BEFORE & AFTER
X472	6p	0	0	280300	280300	1	HOMDEL
X472	6q	3	0	57121289	66191689	0.86	CNLOH BEFORE & LOSS
X472	10q	2	0	39577589	45369951	0.87	LOSS BEFORE
X472	12p	1	0	55100	55100	1	LOSS BEFORE & AFTER
X472	12q	3	1	63568500	63568500	1	LOSS AFTER
X472	13q	3	1	22943887	26707621	0.86	LOSS AFTER
X472	14q	5	2	11546310	13396661	0.86	GAIN
X472	15q	2	0	860646	860646	1	LOSS BEFORE
X472	16p	3	0	21209328	21209328	1	CNLOH BEFORE & LOSS
X472	17p	2	0	20356963	23822971.5	0.85	LOSS BEFORE
X472	18p	4	2	18113652.5	18113652.5	1	TETRAPLOID
X472	18q	2	0	52699837	59894304.5	0.88	LOSS BEFORE
X472	19p	4	2	14592027	16903197	0.86	TETRAPLOID
X472	23p	1	0	17579400	17579400	1	LOSS BEFORE & AFTER
X472	23q	2	0	53313054	53313054	1	LOSS BEFORE
