sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X128	3p	7	0	3896616	3896616	1	TRUE:7:7:0
X128	3q	7	0	100186743	105858316	0.95	TRUE:7:7:0
X128	4p	0	0	91900	91900	1	HOMDEL
X128	4q	5	0	77446620	84078926	0.92	CNLOH BEFORE & GAIN
X128	5p	5	0	2263953.5	2263953.5	1	CNLOH BEFORE & GAIN
X128	5q	5	0	122895258.5	132891217.5	0.92	CNLOH BEFORE & GAIN
X128	6q	5	2	110354324	110355003	1	GAIN
X128	7q	6	0	49184140	59091192	0.83	AMP (LOH)
X128	9q	5	0	51124051	58489768	0.87	CNLOH BEFORE & GAIN
X128	10q	5	0	77841962	85467933	0.91	CNLOH BEFORE & GAIN
X128	11q	6	0	57349298	57428198	1	AMP (LOH)
X128	12p	0	0	7000	7000	1	HOMDEL
X128	12q	5	2	59924806	74163112	0.81	GAIN
X128	13q	5	0	40225854	47694607	0.84	CNLOH BEFORE & GAIN
X128	14q	4	1	85456800	87850000	0.97	CNLOH AFTER
X128	15q	4	1	61474900	62325500	0.99	CNLOH AFTER
X128	16q	4	0	43453638	43811238	0.99	CNLOH BEFORE
X128	17p	4	0	13785562.5	13952368.5	0.99	CNLOH BEFORE
X128	17q	5	0	49648345	57759355.5	0.86	CNLOH BEFORE & GAIN
X128	18p	6	0	7442650.5	7442650.5	1	AMP (LOH)
X128	20q	6	0	32909889	36087124	0.91	AMP (LOH)
X128	23q	3	1	84295861	84295861	1	LOSS AFTER
