sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-1665	1p	5	0	97486289	100514582.5	0.97	CNLOH BEFORE & GAIN
MDL17-1665	2p	1	0	4253551	4253551	1	LOSS BEFORE & AFTER
MDL17-1665	3p	5	0	5250816	5250816	1	CNLOH BEFORE & GAIN
MDL17-1665	6p	3	1	1253011	1253011	1	LOSS AFTER
MDL17-1665	9p	3	0	44281996.5	44281996.5	1	CNLOH BEFORE & LOSS
MDL17-1665	11p	1	0	241000	241000	1	LOSS BEFORE & AFTER
MDL17-1665	12p	4	2	26434629.5	26734829.5	0.99	TETRAPLOID
MDL17-1665	13q	5	0	93442896	93780519	1	CNLOH BEFORE & GAIN
MDL17-1665	14q	4	2	39333400	41268730	0.95	TETRAPLOID
MDL17-1665	16p	3	0	25697369	31393569	0.82	CNLOH BEFORE & LOSS
MDL17-1665	18p	2	0	14701200	14701200	1	LOSS BEFORE
MDL17-1665	20p	4	2	28149490	28149490	1	TETRAPLOID
MDL17-1665	23p	1	0	57756260.5	57756260.5	1	LOSS BEFORE & AFTER
MDL17-1665	23q	1	0	93002459.5	93149513.5	1	LOSS BEFORE & AFTER
