chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21p	chr21q	chr22p	chr22q	chrXp	chrXq
X2890	0	0	0	0	-0.364	0	0	0	-0.358	-0.358	0	0	0	0	0	0.416	0	0	0	0	0	0.287	0	-0.361	-0.377	0	0	-0.487	0	-0.454	0	-0.373	-0.373	0	0	0	0	-0.353	-0.353	0	0	0	0
X2902	0	0	0	0	0	0	-0.328	-0.328	0	0	0.573	0	0.474	0.474	-0.482	0	0.283	-0.301	0.308	0.308	-0.288	0	0.326	0.326	0	0	-0.331	0	-0.514	-0.332	-0.332	0.284	-0.193	-0.59	-0.59	0	0.637	0	0	-0.535	-0.535	-0.266	0
X2949	0	0	0.286	0.286	-0.319	0.594	-0.367	-0.367	-0.381	-0.381	1.54	-0.68	-0.341	-0.341	0.318	0.986	-0.671	-0.671	0.803	0	0.611	0.611	0	0	0.651	0	0	0.991	-0.695	0	0	0	0	-0.321	0	0.986	0.986	-0.788	-0.356	-0.322	-0.322	-1.041	-1.041
X2991	0	0	0	0	0	0	-0.298	-0.298	0	0	-0.368	-0.368	0	0	0	0	0	0	0	0	-0.644	-0.644	0.405	0.405	-0.298	-0.664	0	-0.349	-1.041	0	0	0.579	0	-0.624	-0.624	0	0	-0.654	-0.337	-0.622	-0.622	-0.299	0
X2998	0	0.314	0	0	0.367	1.694	-0.586	0	0	-0.463	0	0	-0.278	0	0.404	0.988	-0.582	-0.582	-0.258	0	0	0	0	0	0	0	0	-0.602	-0.602	-0.629	-0.629	0.627	-0.604	0	-0.648	0	0	-0.608	-0.608	-0.549	-0.549	-0.588	-0.588
X300	0	0	0	0	0.582	0.582	-0.672	-0.672	0.525	0.525	-0.678	-0.678	0	0	1.236	1.903	0	0	0	0	0	0.458	0	-0.537	0.629	0	0	0	-0.684	-0.564	0	-0.664	-0.664	-0.535	-0.535	0	0	0	0	0	0	-0.033	0.537
X301	0.68	1.064	0.67	0.67	-0.383	0.66	-0.404	-0.404	-0.412	-0.412	0	-0.423	0	0	-0.407	-0.407	-0.339	-0.339	-0.379	-0.379	0	0	0.561	0.561	0	0.316	-0.341	0	-0.868	-0.326	-0.326	-0.359	-0.359	-0.266	-0.266	0.509	0.509	-0.67	0	-0.872	-0.872	-0.882	-0.882
X3056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.287	0	-0.276	-0.276	-0.299	-0.299	-0.267	0	-0.35	-0.35	0	-0.29	0.803	-0.322	-0.322	-0.386	-0.386	0	0	-0.43	-0.43	0.38	0	-0.352	-0.352	-0.36	-0.36	0	0
X3059	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0.272	0.272	0	0	0	0	0	0	0	0	0	0	-0.284	-0.322	-0.322	0	0	0	0	0	-0.385	0.656	0.656	0	0	-0.317	-0.317	0.675	0.675
X3080	0	0	0	-0.687	0	0	-0.679	-0.679	0	-0.655	-0.715	-0.715	0	0	-0.297	0.747	-0.688	0	0	0	-0.552	0	0	0	-0.675	0	0	-0.701	-0.701	-0.703	-0.314	-0.337	-0.337	0	0	0	0	0	0	-0.686	-0.686	-0.727	-0.727
X3107	0	0	0.754	0.754	0	0.827	0	0	1.039	0	1.154	1.154	0.706	0.706	0.759	1.606	0	0	0.424	0	0.489	0	0.718	0	0	0	-0.267	-0.323	-0.323	-0.325	0.416	0.47	1.334	-0.491	-0.491	0	1.668	-0.264	-0.264	-0.312	-0.312	0	0
X3144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X3151	0.842	0.842	0.822	0.282	0	0.79	-0.359	-0.722	0	0	0	0	0.285	0.285	1.025	1.025	1.504	0	0	0.264	-0.726	-0.726	0	0	0	-0.724	-0.752	0	-0.721	-0.735	-0.735	0.845	0.845	-0.81	-0.81	1.052	1.052	1.109	1.109	-0.702	-0.702	0.712	0.712
X3225	0	0	0	0	0.254	0.254	0	0	-0.593	-0.593	0.678	0.678	0	0	-0.285	0.347	0	0	0	0	-0.52	0	0.667	-0.559	-0.007	0	-0.575	-0.558	-0.558	0	0	-0.579	0	-0.404	0	-0.583	0	-0.61	-0.61	0	-0.594	-0.663	-0.663
X3238	0	0	0.265	0.265	-0.491	1.505	-0.451	-0.451	0	0	0.224	-0.495	0.412	0.412	0	-0.367	-0.469	-0.469	0.928	0.511	-0.423	-0.423	0.887	0.887	-0.473	0	-0.453	1.607	0.667	-0.369	-0.369	0	-0.478	0	0	0	1.262	0	0	0	-0.372	-0.471	-0.471
X3297	0	0	0	0	0	0.293	0	0	0.347	0	-0.288	-0.288	0	0.705	-0.417	0	0	0	-0.323	0	0	0	0	0	-0.331	0	-0.386	-0.348	-0.348	1.017	-0.315	0.574	0.272	0	0	0.461	0.461	0.413	0.413	-0.355	0	-0.556	0
X3349	0	-0.299	0.034	-0.461	-0.468	0	-0.482	-0.482	0.433	-0.439	0	0.36	-0.049	0.412	-0.498	0.423	-0.402	0	0	0	-0.48	-0.48	0	0	-0.431	0	0	0	-0.49	-0.534	-0.534	-0.425	-0.425	0	0	0.446	0.446	-0.423	-0.423	0	-0.533	0	0
X3391	-0.255	0.692	0.631	0	0.347	0.347	-0.298	-0.298	0.555	0	0.35	0.35	0	0	1.571	1.571	0	0	0.334	0.334	0	0.485	0.26	0.26	0.346	0	0	-0.318	-0.318	0	0	-0.336	-0.336	0	0.413	1.055	1.055	0	0	0	0	-0.311	-0.311
X342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.806	0.806	0	0	0	0	0	0.811	0.811	0	0	0	0	0	0	-0.458	0	0	0	0	0
X356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X429	0	0	0	0	0	0	-0.707	-0.707	-0.748	-0.748	0	0	0	0	-0.629	0	-0.759	-0.759	-0.744	0	0	0	0	0	-0.751	-0.083	-0.767	0	0	-0.791	-0.791	-0.777	-0.777	-0.769	-0.769	-0.721	-0.721	-0.532	0	-0.773	-0.773	-0.732	-0.732
X451	0	0	0	0	0	0	0	0	-0.57	-0.304	-0.396	-0.396	0	0	-0.65	0	0	0	0	0	-0.29	-0.29	0	0	-1.008	-0.65	-0.291	-0.608	-0.608	-0.633	-0.633	0	-0.37	0	0	0.446	0.446	-0.344	0	-0.598	-0.598	-0.666	0
X472	0	0.321	0	0	0.36	0.36	-0.48	0	0.257	-0.333	0	0	-0.373	0	0.355	2.491	-0.456	0	-0.045	-0.399	0.764	0.764	0	0	0	0	-0.302	0	-0.463	-0.429	0	0.319	-0.521	0.402	1.325	0.373	1.194	-0.304	0	-0.285	0	-0.479	-0.479
X544	0	0	0	0	0	0	-0.615	-0.615	0	0	-0.588	-0.588	0	0	-0.584	0	-0.624	-0.624	-0.643	-0.643	0	0	0	0	-0.641	-0.586	0	0	0	-0.671	-0.671	-0.663	-0.663	0	-0.77	0	0	-0.605	-0.605	-0.712	-0.712	-0.659	0
X592	0	0	-0.82	0	0	0	-0.811	-0.811	0.416	0	0.72	0	0.007	0.792	0	1.126	0	0	0	0	-0.781	0	0.384	0.384	-0.857	0.832	0	0	-0.471	-0.742	-0.742	-0.86	-0.86	0	-0.749	0.913	0.913	0	0	-0.81	-0.81	-0.817	0
X603	0	0	0	0	0	0.677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544	0	0	0	0	0	0	-0.264	-0.264	0	0	0	0	0.584	0	0	0	0	0	0	0
X655	0.617	0	0	0.675	-0.633	0.869	-0.623	-0.623	0.709	0.709	0.089	-0.611	-0.307	0.338	0	0	0	0	0.609	0	-0.252	0	0	0	0	-0.454	0	-0.637	-0.637	-0.639	-0.639	-0.618	-0.618	0	0	0	0	-0.64	-0.64	-0.64	-0.64	-0.606	-0.606
X736	0	0.322	0	0	-0.11	0.449	-0.515	-0.515	-0.526	-0.526	-0.527	-0.527	0	0	0.084	0.589	-0.545	-0.545	0.412	0	0	0	0	0	-0.529	-0.497	0	0	-0.582	-0.567	-0.567	-0.566	-0.566	-0.542	0	0	0	0	0	-0.572	-0.572	-0.494	-0.494
X80	0	0.597	0	0	0	0.48	-0.191	0.375	0	0	-0.201	-0.699	0.453	0.453	-0.65	0	0	0	0	0	-0.717	0	0	0	0	0	-0.667	0	0	0	0	-0.718	-0.718	0	0	0	0	-0.145	-0.145	0	0	-0.717	-0.717
X860	0	0	0	0	0	0.508	0	0	0	-0.425	0	0	-0.502	0	-0.519	0	-0.516	-0.516	0	0	0.117	0.559	0.5	0	-0.503	0	0	-0.495	-0.495	-0.519	0	0	-0.504	0	0	-0.454	0	0	0	-0.382	-0.382	-0.539	-0.539
X88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.801	0.801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X935	-0.469	0.298	1.01	0	0	0	-0.405	-0.405	0	0	0.255	0.255	0.253	0	-0.471	0.183	-0.469	0	-0.255	0	-0.303	0	1.134	0.824	0	0	-0.515	-0.513	-0.513	0	0	0	0	0.899	0.555	0.253	0.253	0	0	-0.546	-0.546	-0.3	0
X93	0	0	0	0	0	0	-0.668	-0.668	0	0	-0.67	-0.67	-0.68	0	-0.683	-0.683	-0.557	0	-0.672	0	0	0	-0.644	-0.644	-0.673	0	0	0	-0.701	-0.687	-0.687	0	-0.721	0	-0.721	0	0	-0.619	-0.619	-0.685	-0.685	0	0
X94	0	0	0	0	0	0	-0.726	0	0	0	-0.756	-0.756	-0.494	0	0.009	0.79	0	0	-0.727	-0.727	-0.76	0.936	-0.681	-0.681	0	0	0	0	-0.661	-0.692	-0.692	-0.624	-0.624	0.275	-0.713	0	0	0	0	-0.696	-0.696	0	0
X970	0	0	0	0	0	0	0	0	0	0	0	-0.778	0	0	-0.798	2.428	-0.809	-0.809	0	0	-0.812	-0.812	0	0	-0.757	0.842	0	-0.781	-0.781	-0.797	-0.797	-0.826	-0.826	0	0	0	0	-0.479	0	-0.789	-0.789	-0.826	-0.826
X987	0	0.937	2.17	0	0.699	0.699	0	0	0	0	0.454	0	0.28	0.28	-1.036	0	0	0	-0.276	0	0	0	3.657	0	1.819	0	-0.287	0.256	0	0	0	0	0	0	0	0.755	0	0	0	-0.668	-0.668	0	0
X991	0.38	0.93	0	0	0	0	-0.545	-0.545	0.581	0.581	-0.416	-0.416	0	0	0.581	0.581	0	0	0.431	0.431	0	0	0	0	0.599	0	0.512	0.499	0.499	0.393	0.393	0	0	0	0	0.532	0.532	-0.543	-0.543	0	0	-0.549	0
