chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21p	chr21q	chr22p	chr22q	chrXp	chrXq
X1364	0.264	0	-0.343	-0.343	0	0	-0.498	-0.498	-0.39	0	-0.477	-0.477	0	0	0.452	0.739	-0.464	-0.464	0	0	0	0	0	0	-0.485	0.57	0	0.272	-0.419	-0.413	0.295	-0.486	-0.486	-0.317	0.325	0	0	-0.439	-0.439	-0.421	-0.421	-0.453	-0.453
X137	0.474	1.279	0	0	0.349	0.349	-0.492	-0.492	-0.501	-0.501	-0.452	-0.452	-0.511	0.36	0.271	0.271	0.9	0	-0.449	-0.449	-0.489	-0.093	-0.482	-0.482	0.257	0.888	-0.521	0.341	0	-0.441	0	0	0	0.329	0.329	0.362	0.362	-0.471	-0.471	-0.527	-0.527	-0.882	-0.882
X1410	0	0	0.674	0.674	-0.604	-0.604	-0.618	-0.618	-0.003	-0.602	0	0	-0.604	-0.604	-0.618	-0.618	-0.593	-0.593	0	0	0.68	0.68	0	-0.596	0	0	-0.609	-0.577	-0.577	-0.617	0	-0.647	-0.647	0	0	-0.632	0	-0.607	-0.607	-0.626	-0.626	-0.601	-0.601
X1419	0	0.593	0	0	0	0	-0.805	-0.805	0	0	-0.805	-0.805	0	0	0	0	0	0	0	0	-0.797	-0.797	0.693	0	-0.794	-0.79	-0.797	-0.785	-0.785	-0.783	-0.783	0.708	0	0	0	-0.783	0	-0.334	0	-0.778	-0.778	-0.806	-0.806
X1471	0	0	0	0	-0.31	0	-0.837	-0.837	0.269	0	0	-0.838	0	0	-0.857	0	0	0	-0.849	-0.849	-0.839	-0.839	0.419	0.419	-0.817	-0.812	0	-0.837	-0.837	-0.826	0.585	0	0	0	-0.827	0	0	-0.402	-0.402	0.428	-0.862	-1.275	-0.398
X1499	0	0	0	0	0	0	0	0	-0.585	-0.585	-0.636	-0.636	0.603	0	-0.673	-0.673	0	0	-0.659	-0.659	0	0	-0.65	-0.65	0	-0.665	-0.649	0	0	-0.639	-0.639	-0.657	-0.657	0	0	0	0	-0.59	-0.59	0	0	0	0.541
X1530	0.317	0.317	0	0.389	0	0	-0.565	-0.565	0.571	0	0.285	0.285	0	0	-0.737	-0.737	-0.641	-0.641	0	0	0.38	0.38	0	0	0	-0.562	0	-0.494	-0.494	-0.544	-0.544	0	0	-0.666	0.408	0.516	0	-0.526	-0.526	-0.676	0.561	-0.257	-0.257
X1548	0	0	0	0	0	0	-0.827	-0.827	0	0	-0.797	-0.797	0	0	0	0	-0.735	-0.735	-0.793	-0.793	0	0	0	0	0	-0.799	-0.798	-0.768	-0.768	-0.8	-0.8	0	0	0	-0.847	-0.63	0	-0.808	-0.808	-0.78	-0.78	0	0
X1552	0	0	0.383	0.383	0	0	-0.506	-0.506	0	0	0	-0.289	-0.52	1.253	-0.869	0.821	-0.441	-0.441	0	0	-0.063	0.417	-0.077	-0.488	-0.346	0	0	0.384	-0.093	-0.479	-0.479	0.334	0.334	0	0	0.491	0.491	-0.451	0	-0.526	-0.526	-0.553	-0.553
X1568	0.253	0	0	0	0	0	-0.454	-0.454	-0.389	-0.389	0	0	-0.515	0.666	0.576	0.576	-0.32	-0.32	0.145	-0.403	-0.481	-0.481	2.267	0	-0.678	0	0.996	-0.343	-0.343	-0.447	-0.447	-0.435	-0.876	0	0	0	0	-0.325	0	0	0	-0.932	-0.439
X1580	0	0	0	0	0.578	0.578	0	-0.563	0.498	0	0	-0.554	0	0	-0.532	0.011	0	0	-0.537	-0.537	0	0	-0.543	-0.543	-0.507	-0.514	-0.56	0	-1.158	-0.574	-0.574	-0.473	0	-0.627	-0.627	0.569	0.569	-0.552	-0.552	-0.532	0	-0.561	-0.561
