sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2593	1p	3	1	106312749	117271537.5	0.91	LOSS AFTER
X2593	2p	3	1	22688351	22688351	1	LOSS AFTER
X2593	3q	5	2	83799965	104179096	0.8	GAIN
X2593	4p	3	1	50674706	50674706	1	LOSS AFTER
X2593	4q	3	1	139379294	139379294	1	LOSS AFTER
X2593	5q	3	1	102321508	107593706	0.95	LOSS AFTER
X2593	7p	1	0	1231700	1231700	1	LOSS BEFORE & AFTER
X2593	7q	3	1	50656723	60913924	0.83	LOSS AFTER
X2593	8p	1	0	14330300	14330300	1	LOSS BEFORE & AFTER
X2593	9p	2	0	8395196.5	8395196.5	1	LOSS BEFORE
X2593	9q	2	0	92792937.5	93640837.5	0.99	LOSS BEFORE
X2593	10q	3	1	64497262	64497262	1	LOSS AFTER
X2593	11q	3	1	61369900	62497768	0.98	LOSS AFTER
X2593	12q	2	1	26677820	32604183	0.82	DOUBLE LOSS AFTER
X2593	13q	3	1	43298687	43298687	1	LOSS AFTER
X2593	15q	2	0	5483752	5483752	1	LOSS BEFORE
X2593	16p	2	1	28527684	28527684	1	DOUBLE LOSS AFTER
X2593	16q	2	0	43106780	43520405	0.99	LOSS BEFORE
X2593	18p	3	1	17488052.5	17488052.5	1	LOSS AFTER
X2593	18q	3	1	62085981.5	62085981.5	1	LOSS AFTER
X2593	20p	2	0	21261776	24450376	0.87	LOSS BEFORE
X2593	20q	5	2	31954549	33837303	0.94	GAIN
X2593	21q	4	1	34790716	34790716	1	CNLOH AFTER
X2593	22q	2	1	36000416	36790669	0.98	DOUBLE LOSS AFTER
X2593	23p	1	0	57109300	60224260.5	0.95	LOSS BEFORE & AFTER
X2593	23q	3	0	95518603.5	95518603.5	1	CNLOH BEFORE & LOSS
