sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-339	1p	4	2	55510484	55510484	1	TETRAPLOID
MDL18-339	3p	3	1	92016116	92016116	1	LOSS AFTER
MDL18-339	4p	1	0	193500	193500	1	LOSS BEFORE & AFTER
MDL18-339	4q	3	0	73324631	79005552	0.93	CNLOH BEFORE & LOSS
MDL18-339	5p	4	2	14266953.5	14266953.5	1	TETRAPLOID
MDL18-339	10q	3	1	75713547	87512138	0.87	LOSS AFTER
MDL18-339	11p	4	2	49522811	49522811	1	TETRAPLOID
MDL18-339	12p	1	0	235200	235200	1	LOSS BEFORE & AFTER
MDL18-339	15q	3	0	37570500	37570500	1	CNLOH BEFORE & LOSS
MDL18-339	16q	3	0	39700030	43572954	0.91	CNLOH BEFORE & LOSS
MDL18-339	17p	3	0	20501138	24446245.5	0.84	CNLOH BEFORE & LOSS
MDL18-339	18p	3	0	18113652.5	18113652.5	1	CNLOH BEFORE & LOSS
MDL18-339	18q	3	0	62086347.5	62086347.5	1	CNLOH BEFORE & LOSS
MDL18-339	23p	1	0	59893360.5	60194560.5	0.99	LOSS BEFORE & AFTER
MDL18-339	23q	1	0	95515712.5	95515712.5	1	LOSS BEFORE & AFTER
