sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X592	1p	5	2	56703503.5	58789842.5	0.96	GAIN
X592	2p	0	0	1965600	1965600	1	HOMDEL
X592	3p	4	2	48511616	48511616	1	TETRAPLOID
X592	4p	0	0	70700	70700	1	HOMDEL
X592	4q	2	0	88262173	88390497	1	LOSS BEFORE
X592	7q	5	0	57787515	66877053	0.86	CNLOH BEFORE & GAIN
X592	9q	4	2	35848991	39092348	0.92	TETRAPLOID
X592	13q	2	0	55796951	55796951	1	LOSS BEFORE
X592	14q	6	2	31745596	32956523	0.96	AMP
X592	15q	4	2	16850800	16866900	1	TETRAPLOID
X592	16p	4	2	35491891.5	36761467.5	0.97	TETRAPLOID
X592	17p	2	0	20193757.5	20348906.5	0.99	LOSS BEFORE
X592	18p	2	0	18113452.5	18113452.5	1	LOSS BEFORE
X592	18q	2	0	61591695.5	61591695.5	1	LOSS BEFORE
X592	19p	4	2	18786112	18786112	1	TETRAPLOID
X592	21q	3	1	32701403	34714921	0.94	LOSS AFTER
X592	22q	2	0	36542098	36542486	1	LOSS BEFORE
X592	23q	5	2	88958568	90799373	0.98	GAIN
