sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2438	1p	2	1	39235191.5	41924291.5	0.94	DIPLOID
X2438	2p	2	1	93125051	93125051	1	DIPLOID
X2438	2q	2	1	148114149	148114149	1	DIPLOID
X2438	3p	2	1	4073916	4073916	1	DIPLOID
X2438	3q	2	1	105897115	105897115	1	DIPLOID
X2438	4p	1	0	50101906	50674506	0.99	HETLOSS
X2438	4q	1	0	139332294	139332294	1	HETLOSS
X2438	6p	2	1	59085611	59085611	1	DIPLOID
X2438	7p	2	1	54970636.5	54970636.5	1	DIPLOID
X2438	7q	2	1	99337129.5	99378793.5	1	DIPLOID
X2438	8p	1	0	41248200	43278204.5	0.95	HETLOSS
X2438	8q	2	1	99895030.5	99895030.5	1	DIPLOID
X2438	9p	1	0	39921300	40513500	0.99	HETLOSS
X2438	9q	1	0	77029564	77029564	1	HETLOSS
X2438	10p	2	1	40592801.5	40592801.5	1	DIPLOID
X2438	10q	2	1	93015729.5	93015729.5	1	DIPLOID
X2438	11p	2	1	52621011	52621011	1	DIPLOID
X2438	11q	2	1	82235187	82235187	1	DIPLOID
X2438	12p	2	1	35965029.5	35965029.5	1	DIPLOID
X2438	12q	2	1	97257070.5	97257070.5	1	DIPLOID
X2438	13q	2	1	94395900	96134300	0.98	DIPLOID
X2438	14q	2	1	6547253	6547253	1	DIPLOID
X2438	16p	2	1	34774413.5	34774413.5	1	DIPLOID
X2438	16q	2	1	52889486.5	52889486.5	1	DIPLOID
X2438	17p	1	0	24488968.5	24488968.5	1	HETLOSS
X2438	17q	1	0	58271104.5	58501604.5	1	HETLOSS
X2438	18q	2	0	62086247.5	62086247.5	1	CNLOH
X2438	19p	2	1	22757890	25702690	0.89	DIPLOID
X2438	20p	2	1	28149590	28149590	1	DIPLOID
X2438	20q	2	1	36090710	36090710	1	DIPLOID
X2438	21q	2	1	34790816	34790816	1	DIPLOID
X2438	22q	1	0	36487645	36487645	1	HETLOSS
X2438	23p	1	0	60225060.5	60225060.5	1	HETLOSS
X2438	23q	1	0	95518939.5	95518939.5	1	HETLOSS
