sample,cval,dipLogR_flag,n_alternative_dipLogR,wgd,fga,n_dip_bal_segs,frac_dip_bal_segs,n_dip_imbal_segs,frac_dip_imbal_segs,n_amps,n_homdels,frac_homdels,n_homdels_clonal,frac_homdels_clonal,n_cn_states,n_segs,n_cnlr_clusters,n_lcn_na,n_loh,frac_loh,n_segs_subclonal,frac_segs_subclonal,n_segs_below_dipLogR,frac_below_dipLogR,n_segs_balanced_odd_tcn,frac_balanced_odd_tcn,n_segs_imbalanced_diploid_cn,frac_imbalanced_diploid_cn,n_segs_lcn_greater_mcn,frac_lcn_greater_mcn,n_snps,n_het_snps,frac_het_snps,n_snps_with_300x_in_tumor,n_het_snps_with_300x_in_tumor,n_het_snps_hom_in_tumor_1pct,n_het_snps_hom_in_tumor_5pct,frac_het_snps_hom_in_tumor_1pct,frac_het_snps_hom_in_tumor_5pct,mean_cnlr_residual,sd_cnlr_residual,n_segs_discordant_tcn,frac_discordant_tcn,n_segs_discordant_lcn,frac_discordant_lcn,n_segs_discordant_both,frac_discordant_both,n_segs_icn_cnlor_discordant,frac_icn_cnlor_discordant,mafr_median_all,mafr_median_clonal,mafr_n_gt_1
MDL15-1352,100,TRUE,0,TRUE,0.9,0,0,0,0,0,0,0,0,0,17,247,27,79,50,0.18,82,0.3,4,3e-04,24,0.15,22,0.097,66,0.23,324709,14253,0.044,7986,394,9245,7424,0.65,0.52,-0.087,0.74,66,0.25,1.3e+09,0.79,16,0.11,28,0.097,1.8,0.64,143
MDL15-1352,50,TRUE,0,FALSE,1,0,0,0,0,3,4,3e-04,4,3e-04,25,946,45,611,109,0.12,225,0.18,16,0.0012,67,0.28,31,0.017,198,0.26,324709,14253,0.044,7986,394,9245,7424,0.65,0.52,-0.084,0.73,262,0.27,7.3e+08,0.68,64,0.34,36,0.018,2.4,2.6,559
MDL15-2291,100,FALSE,0,TRUE,0.91,3,0.0027,0,0,5,5,0.00021,3,0.00012,28,418,47,175,97,0.16,114,0.24,30,0.015,38,0.14,17,0.041,113,0.35,324770,14259,0.044,14389,670,9355,7665,0.66,0.54,-0.097,0.86,131,0.26,1.2e+09,0.71,59,0.17,24,0.041,1.6,1.7,232
MDL15-2291,50,FALSE,0,FALSE,0.99,3,0.002,1,6.6e-05,5,6,0.00018,4,0.00014,30,1503,60,1093,145,0.089,293,0.16,156,0.025,153,0.24,74,0.077,161,0.14,324770,14259,0.044,14389,670,9355,7665,0.66,0.54,-0.084,0.83,374,0.32,5.5e+08,0.66,104,0.3,86,0.079,1.2,1.6,751
MDL16-2187,100,FALSE,0,TRUE,0.91,0,0,3,9e-04,1,5,0.00015,5,0.00015,14,239,23,55,49,0.14,78,0.28,9,0.0037,15,0.12,22,0.016,82,0.52,324803,14262,0.044,11821,614,8713,7513,0.61,0.53,-0.072,0.6,84,0.14,1.6e+09,0.78,25,0.017,28,0.018,1.4,2.1,130
MDL16-2187,50,FALSE,0,FALSE,0.95,0,0,0,0,1,5,2e-04,4,1e-04,18,771,30,425,156,0.2,236,0.27,32,0.01,63,0.25,43,0.041,176,0.3,324803,14262,0.044,11821,614,8713,7513,0.61,0.53,-0.071,0.6,271,0.24,7.3e+08,0.53,38,0.076,49,0.044,1.5,2.8,416
MDL16-2366,100,FALSE,0,FALSE,0.73,5,0.0075,14,0.044,0,5,0.00065,1,3.1e-05,15,259,38,75,100,0.31,42,0.089,145,0.43,14,0.054,72,0.29,78,0.28,321376,14074,0.044,186,4,8557,3934,0.61,0.28,-0.18,1,73,0.2,8.8e+08,0.5,51,0.22,75,0.29,1.9,2.8,153
MDL16-2366,50,FALSE,0,FALSE,0.91,8,0.01,20,0.027,1,7,0.00049,4,8.9e-05,17,879,50,431,337,0.32,140,0.13,472,0.41,42,0.092,77,0.091,285,0.3,321376,14074,0.044,186,4,8557,3934,0.61,0.28,-0.18,1,166,0.17,3e+08,0.25,68,0.17,100,0.11,2.3,3.4,533
MDL16-2565,100,FALSE,0,TRUE,0.39,0,0,1,0.0023,0,4,0.00042,4,0.00042,14,182,24,34,60,0.17,35,0.11,15,0.0068,9,0.04,50,0.63,60,0.12,323497,14186,0.044,1324,76,9218,5861,0.65,0.41,-0.24,1.1,80,0.4,1.9e+09,0.78,32,0.25,55,0.63,2.1,2.6,114
MDL16-2565,50,FALSE,0,FALSE,1,3,0.00044,0,0,0,6,0.00048,6,0.00048,17,762,40,404,199,0.19,179,0.18,67,0.027,54,0.14,36,0.026,193,0.24,323497,14186,0.044,1324,76,9218,5861,0.65,0.41,-0.24,1.1,155,0.16,5.9e+08,0.5,26,0.058,51,0.031,2.4,3.6,458
MDL16-2571,100,FALSE,0,TRUE,0.86,0,0,5,0.013,0,6,0.00014,6,0.00014,24,248,42,66,87,0.37,45,0.14,28,0.04,10,0.11,23,0.091,117,0.49,324636,14251,0.044,3439,227,8143,6899,0.57,0.48,-0.14,0.83,56,0.23,8.9e+08,0.47,15,0.077,26,0.091,2.9,3.4,164
MDL16-2571,50,FALSE,0,FALSE,0.97,0,0,12,0.0096,0,7,0.00018,7,0.00018,25,820,52,451,194,0.22,170,0.14,103,0.06,36,0.14,25,0.058,240,0.31,324636,14251,0.044,3439,227,8143,6899,0.57,0.48,-0.14,0.82,101,0.12,6.8e+08,0.54,46,0.14,33,0.061,3.3,4.2,558
MDL16-3157,100,FALSE,0,FALSE,0.25,24,0.44,12,0.071,0,5,0.001,2,2.1e-06,10,174,27,28,67,0.12,21,0.017,101,0.34,1,0.00041,70,0.79,49,0.11,314364,13829,0.044,1951,89,9228,4108,0.67,0.3,-0.3,1.3,49,0.08,2.2e+09,0.86,33,0.071,75,0.79,2.1,2.6,117
MDL16-3157,50,FALSE,0,FALSE,0.45,45,0.29,5,0.0013,0,23,0.0056,18,0.0025,15,692,45,275,247,0.12,107,0.035,405,0.38,24,0.0072,146,0.59,178,0.094,314364,13829,0.044,1951,89,9228,4108,0.67,0.3,-0.29,1.3,145,0.13,1.7e+09,0.83,70,0.13,182,0.59,2.3,3.1,417
MDL16-3467,100,FALSE,0,FALSE,0.39,10,0.017,1,0.0028,0,6,5e-04,3,7.6e-05,11,211,27,43,49,0.095,32,0.025,61,0.062,5,0.056,98,0.59,29,0.21,324396,14238,0.044,6255,272,9159,6858,0.64,0.48,-0.18,0.95,67,0.36,2.1e+09,0.9,57,0.42,103,0.59,1.9,2.6,132
