sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1364	1p	4	2	23346639.5	23346639.5	1	TETRAPLOID
X1364	2p	4	2	23752351	23752351	1	TETRAPLOID
X1364	3p	4	2	29448016	29448016	1	TETRAPLOID
X1364	4q	2	0	78849216	91685569	0.86	LOSS BEFORE
X1364	5q	4	2	105061800	106380926	0.99	TETRAPLOID
X1364	6q	2	0	86424300	86424300	1	LOSS BEFORE
X1364	8q	6	2	42485763	48742773	0.87	AMP
X1364	9q	2	0	56846518	59947173	0.95	LOSS BEFORE
X1364	12p	4	2	15132129.5	15132129.5	1	TETRAPLOID
X1364	12q	4	2	90792403.5	95523257.5	0.95	TETRAPLOID
X1364	13q	2	0	28229943	28229943	1	LOSS BEFORE
X1364	14q	5	1	31747900	31747900	1	LOSS & GAIN
X1364	15q	3	1	60356100	60356100	1	LOSS AFTER
X1364	16p	4	2	33677000	33677000	1	TETRAPLOID
X1364	16q	2	0	38531184	43785020	0.88	LOSS BEFORE
X1364	17p	2	0	14351602.5	14351602.5	1	LOSS BEFORE
X1364	18p	2	0	18113552.5	18113552.5	1	LOSS BEFORE
X1364	18q	2	0	62086247.5	62086247.5	1	LOSS BEFORE
X1364	19p	2	0	21551932	24023056	0.9	LOSS BEFORE
X1364	20p	4	2	11182469	13144556	0.85	TETRAPLOID
X1364	22q	2	0	31031147	36793244	0.84	LOSS BEFORE
X1364	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
