sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-1257	2p	1	0	4253551	4253551	1	HETLOSS
MDL18-1257	2q	2	1	143589048	148051009	0.97	DIPLOID
MDL18-1257	3p	1	0	28389800	34691316	0.82	HETLOSS
MDL18-1257	4p	2	1	40742106	50602806	0.81	DIPLOID
MDL18-1257	4q	2	1	135522294	139310794	0.97	DIPLOID
MDL18-1257	5p	1	0	2608500	2608500	1	HETLOSS
MDL18-1257	5q	2	1	76454406	81139985	0.94	DIPLOID
MDL18-1257	6p	1	0	300600	300600	1	HETLOSS
MDL18-1257	6q	2	1	94591887	105498569	0.9	DIPLOID
MDL18-1257	7p	1	0	22885836.5	22885836.5	1	HETLOSS
MDL18-1257	8q	2	1	83182701	92432576	0.9	DIPLOID
MDL18-1257	9p	2	1	7872196.5	7872196.5	1	DIPLOID
MDL18-1257	9q	2	1	90301462.5	93227762.5	0.97	DIPLOID
MDL18-1257	10q	2	1	38843867	45070253	0.86	DIPLOID
MDL18-1257	11p	1	0	3144100	3144100	1	HETLOSS
MDL18-1257	11q	2	1	51212676	56514189	0.91	DIPLOID
MDL18-1257	13q	2	0	72919815	85645915	0.85	CNLOH
MDL18-1257	16p	2	1	29074476	35043876	0.83	DIPLOID
MDL18-1257	17q	2	1	51798343	57632790.5	0.9	DIPLOID
MDL18-1257	18p	2	1	18113652.5	18113652.5	1	DIPLOID
MDL18-1257	18q	2	1	58947940.5	58947940.5	1	DIPLOID
MDL18-1257	19q	2	1	26353332	32274821	0.82	DIPLOID
MDL18-1257	20p	2	1	24457890	28149290	0.87	DIPLOID
MDL18-1257	20q	2	1	29684558	35935385	0.83	DIPLOID
MDL18-1257	21q	2	1	30881405	34785929	0.89	DIPLOID
MDL18-1257	22q	2	1	34067163	35817585	0.95	DIPLOID
MDL18-1257	23p	1	0	50098200	60222960.5	0.83	HETLOSS
MDL18-1257	23q	2	1	88210163.5	95304025.5	0.93	DIPLOID
