exp.Coef	lower.95	upper.95	p_val	FDR
1p	1.05578320235939	0.603871399948241	1.84588667467907	0.84896711579515	0.975222118629528
1q	1.06080352800689	0.700244775864594	1.60701538064664	0.78060156656381	0.964272523402354
2p	1.1503122011748	0.580511820634175	2.27939916662863	0.688177789942831	0.950792090453383
2q	0.637248842961418	0.304974956994121	1.33153912655029	0.230754739518542	0.703284859996427
3p	1.10028946708921	0.602459778360378	2.00949001887273	0.755797422604896	0.961923992406231
3q	0.673004247482832	0.334009805116725	1.35605215832406	0.267918041903401	0.703284859996427
4p	1.4524513175136	0.701931988484161	3.0054405047172	0.314397476944466	0.740882345661538
4q	1.17312313029983	0.55991403561887	2.45790923480487	0.672218161902412	0.950792090453383
5p	0.959825820591846	0.575790191816126	1.60000225597627	0.875033641304366	0.975222118629528
5q	1.2750205687511	0.742031087656434	2.19084817035468	0.379029356572753	0.791748534050763
6p	0.958111667384009	0.671822820511499	1.36639890630457	0.813223115685966	0.975222118629528
6q	0.866468394487898	0.551773978597081	1.36064313970606	0.533620857461576	0.902312879602016
7p	1.18725072869557	0.883154563042151	1.59605617382841	0.255572461567892	0.703284859996427
7q	1.18866929507821	0.846993536317849	1.66817647653393	0.317521005283516	0.740882345661538
8p	1.51515633356156	0.995875838880478	2.30520575507931	0.0522992358904787	0.703284859996427
8q	1.15912387133858	0.924009182750994	1.45406363290331	0.201720619990226	0.703284859996427
9p	0.735569514654975	0.451757129647487	1.19768449766793	0.21693581934156	0.703284859996427
9q	0.628076090323679	0.362710325806462	1.08758848913159	0.0968656928881091	0.703284859996427
10p	0.704696237062466	0.413731896829213	1.20028644234552	0.197718479191265	0.703284859996427
10q	0.701357172488202	0.404792115548195	1.21519630572468	0.205887951793898	0.703284859996427
11p	1.00830080873454	0.598467937468488	1.69878861881096	0.975222118629528	0.975222118629528
11q	0.791789440263117	0.460987758318181	1.35997216064784	0.397603229187197	0.791748534050763
12p	1.02567451575894	0.556367844175411	1.89085013321808	0.935259637567411	0.975222118629528
12q	0.795154901390045	0.384006077578929	1.64651382913244	0.537090999763105	0.902312879602016
13q	1.23972399905717	0.724009857905367	2.12278269012077	0.433576578170656	0.791748534050763
14q	0.599557709171283	0.327992462131906	1.09596862162689	0.0964715370419492	0.703284859996427
15q	0.639370532626549	0.366794809082935	1.11450507986531	0.114660811329922	0.703284859996427
16p	0.947374723594005	0.399163514205222	2.24849926149156	0.902432377040858	0.975222118629528
16q	1.15899986999528	0.582234094659655	2.30711445957881	0.67441920511826	0.950792090453383
17p	0.710805013078499	0.395932999496342	1.2760840022434	0.252884202020091	0.703284859996427
17q	1.14247601024777	0.580867290657823	2.24707339350006	0.699539710360518	0.950792090453383
18p	0.977153601137252	0.533874482506084	1.78848997564632	0.940265620415652	0.975222118629528
18q	0.572975120164151	0.317258791686619	1.03480343785527	0.0648152115834578	0.703284859996427
19p	0.853586351144238	0.449932038949645	1.61937714095812	0.627998445217053	0.950792090453383
19q	0.985998594103453	0.542290310342165	1.79275419278756	0.963130379059731	0.975222118629528
20p	1.10456942061504	0.663917338983988	1.83768902138475	0.701775114382259	0.950792090453383
20q	1.500996493751	0.932038541327681	2.41727179118949	0.0948254022565953	0.703284859996427
21p	0.926946311070895	0.584110760144414	1.47100434067591	0.747483980583453	0.961923992406231
21q	1.26445734996271	0.887704265014362	1.80110928029489	0.193596751738206	0.703284859996427
22q	0.746724832696837	0.469628358333489	1.18731751580079	0.217082082832644	0.703284859996427
Xp	0.764575847658049	0.417805074693727	1.39916018791909	0.383961702403741	0.791748534050763
Xq	0.800863562956037	0.464074637212697	1.38206744139882	0.425068437713049	0.791748534050763
