sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2587	1p	3	1	84494891.5	89743754.5	0.94	LOSS AFTER
X2587	2p	4	1	65760151	65760151	1	CNLOH AFTER
X2587	3p	4	1	3004216	3004216	1	CNLOH AFTER
X2587	4p	1	0	421000	421000	1	LOSS BEFORE & AFTER
X2587	4q	2	0	106507700	106507700	1	LOSS BEFORE
X2587	7p	0	0	3475236.5	3475236.5	1	HOMDEL
X2587	7q	3	0	63761890	68945450.5	0.92	CNLOH BEFORE & LOSS
X2587	8p	1	0	37431800	37431800	1	LOSS BEFORE & AFTER
X2587	8q	5	0	81100305	91455565	0.89	CNLOH BEFORE & GAIN
X2587	10p	4	2	23616601.5	23616601.5	1	TETRAPLOID
X2587	11q	3	1	65683498	65683498	1	LOSS AFTER
X2587	13q	4	1	88498528	94072028	0.94	CNLOH AFTER
X2587	14q	3	1	18881747	18881747	1	LOSS AFTER
X2587	15q	3	1	18853100	18853100	1	LOSS AFTER
X2587	16p	3	1	32168200	37275113.5	0.86	LOSS AFTER
X2587	17p	2	0	14367762.5	14367762.5	1	LOSS BEFORE
X2587	18q	3	1	53569526.5	61278660.5	0.87	LOSS AFTER
X2587	19q	3	1	31556042	32721694	0.96	LOSS AFTER
X2587	21q	4	2	34790816	34790816	1	TETRAPLOID
X2587	23p	1	0	52668060.5	59299060.5	0.89	LOSS BEFORE & AFTER
