sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1851	1p	3	1	66703000	75236335.5	0.89	LOSS AFTER
X1851	3p	3	1	14667616	14667616	1	LOSS AFTER
X1851	4p	1	0	28075500	28075500	1	LOSS BEFORE & AFTER
X1851	9p	4	2	5857796.5	5857796.5	1	TETRAPLOID
X1851	11p	0	0	92400	92400	1	HOMDEL
X1851	13q	5	0	14020451	14020451	1	CNLOH BEFORE & GAIN
X1851	15q	4	0	54341100	56901400	0.96	CNLOH BEFORE
X1851	16p	4	2	30388400	30388400	1	TETRAPLOID
X1851	16q	2	0	43693998	43693998	1	LOSS BEFORE
X1851	17p	2	0	22987900.5	23203419.5	0.99	LOSS BEFORE
X1851	18p	4	2	18113552.5	18113552.5	1	TETRAPLOID
X1851	19p	3	1	14678671	14678671	1	LOSS AFTER
X1851	19q	3	1	32250106	32250106	1	LOSS AFTER
X1851	20p	2	0	26617290	26648790	1	LOSS BEFORE
X1851	22q	3	0	32055233	36420789	0.88	CNLOH BEFORE & LOSS
X1851	23q	2	0	83818900	83818900	1	LOSS BEFORE
