sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X736	1p	2	1	23419591.5	23419591.5	1	DIPLOID
X736	2q	2	1	125464555	144150433	0.87	DIPLOID
X736	3p	1	0	51445000	51445000	1	HETLOSS
X736	4p	1	0	39990900	39990900	1	HETLOSS
X736	4q	1	0	87044794	87044794	1	HETLOSS
X736	5q	1	0	118315318	128426801	0.92	HETLOSS
X736	6p	1	0	6534611	6534611	1	HETLOSS
X736	6q	1	0	111336933	111336933	1	HETLOSS
X736	7p	1	0	9707500	9707500	1	HETLOSS
X736	7q	2	1	64367307	66686745	0.97	DIPLOID
X736	8p	1	0	26604000	26604000	1	HETLOSS
X736	8q	3	1	97191348	97191348	1	GAIN
X736	9p	1	0	39434400	39434400	1	HETLOSS
X736	9q	1	0	67912134	67912134	1	HETLOSS
X736	10q	2	1	82473000	82473000	1	DIPLOID
X736	11p	1	0	12396800	12396800	1	HETLOSS
X736	11q	2	1	63883200	63883200	1	DIPLOID
X736	12q	2	1	34488700	34488700	1	DIPLOID
X736	13q	1	0	96152851	96152851	1	HETLOSS
X736	14q	1	0	52474017	52476354	1	HETLOSS
X736	15q	2	1	82043900	82043900	1	DIPLOID
X736	16p	2	1	37276713.5	37276713.5	1	DIPLOID
X736	17p	1	0	14186004.5	14186004.5	1	HETLOSS
X736	17q	1	0	58523134.5	58523134.5	1	HETLOSS
X736	18p	2	1	15278503	15278503	1	DIPLOID
X736	18q	1	0	59090773	59090773	1	HETLOSS
X736	19q	2	1	32282531	32737131	0.99	DIPLOID
X736	20p	2	1	27845548	27845548	1	DIPLOID
X736	21q	2	1	34790916	34790916	1	DIPLOID
X736	23q	1	0	79845609	79845609	1	HETLOSS
