sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1530	1p	4	0	53409094	66234394	0.81	CNLOH & GAIN
X1530	3p	3	0	9406116	9406116	1	CNLOH & GAIN
X1530	4p	1	0	7170100	7433000	0.96	HETLOSS
X1530	4q	2	0	98106680	102090367	0.96	CNLOH
X1530	5p	1	0	26500	26500	1	HETLOSS
X1530	6p	1	0	89700	89700	1	HETLOSS
X1530	8p	1	0	34929700	35745600	0.98	HETLOSS
X1530	11q	5	2	49033291	59372722	0.83	AMP
X1530	12p	1	0	2922100	2922100	1	HETLOSS
X1530	15q	5	2	7119900	7119900	1	AMP
X1530	16p	2	0	34654971.5	34654971.5	1	CNLOH
X1530	18p	5	2	2923428	2923428	1	AMP
