test	cor.val	p_values	FDR
1q	kruskal.test	16.6484705821454	0.00226174568873226	0.0478728778317809
10q	kruskal.test	16.5767940732648	0.0023352623332576	0.0478728778317809
2p	kruskal.test	14.1282224453954	0.00689686913457314	0.0942572115058328
22q	kruskal.test	10.931301346123	0.0273470389675178	0.280307149417058
4p	kruskal.test	9.64524367207658	0.0468468649898319	0.329888550393433
12p	kruskal.test	9.12574304857815	0.058032209397121	0.329888550393433
18q	kruskal.test	8.87242749847259	0.064368497637743	0.329888550393433
Xp	kruskal.test	8.90432556482912	0.0635358851869529	0.329888550393433
4q	kruskal.test	8.22924952291805	0.0835323977671828	0.342482830845449
18p	kruskal.test	8.26320681689248	0.08239873098555	0.342482830845449
2q	kruskal.test	7.73392721018675	0.101825638779183	0.379531926358774
7q	kruskal.test	6.79864153840082	0.146919478023821	0.385883732507737
8p	kruskal.test	6.73472315950813	0.150588773661556	0.385883732507737
10p	kruskal.test	7.29835299147139	0.12093689606947	0.385883732507737
19p	kruskal.test	6.93837006115419	0.139181149799976	0.385883732507737
Xq	kruskal.test	7.26022200694415	0.122759249742431	0.385883732507737
6p	kruskal.test	6.24903733149349	0.181305950610414	0.437267292648646
8q	kruskal.test	5.99944964831652	0.19918937783693	0.453709138406341
12q	kruskal.test	5.23541721883831	0.263983741008381	0.569649125333874
13q	kruskal.test	5.06573176222171	0.280619259951148	0.575269482899853
7p	kruskal.test	4.85745056149519	0.302239138109034	0.590085936308113
1p	kruskal.test	4.71334787762362	0.317993812393418	0.592624832187733
9p	kruskal.test	4.29720951201989	0.367274653596931	0.62828811205042
19q	kruskal.test	4.29319173771775	0.367778407053904	0.62828811205042
5q	kruskal.test	3.82827931547977	0.4297442457187	0.67767361824872
16q	kruskal.test	3.88689552904237	0.421529227951603	0.67767361824872
3p	kruskal.test	3.52142209250596	0.474628553141714	0.720732247363344
17p	kruskal.test	3.07911910191043	0.544673421737202	0.797557510400903
11p	kruskal.test	2.7506113860925	0.600387768921066	0.848824087095301
3q	kruskal.test	2.44873256906149	0.65383894101068	0.887522842008319
6q	kruskal.test	2.23459574180114	0.6927007547382	0.887522842008319
17q	kruskal.test	2.28733450390772	0.683075953121397	0.887522842008319
20p	kruskal.test	2.09280152534159	0.718694980881444	0.892924067155733
5p	kruskal.test	1.35237053305338	0.852429535377869	0.93792622074266
9q	kruskal.test	1.47082716913887	0.831796198157668	0.93792622074266
11q	kruskal.test	1.09152762949079	0.89561410238362	0.93792622074266
14q	kruskal.test	0.996943644765113	0.910259078204862	0.93792622074266
15q	kruskal.test	0.803886841107676	0.93792622074266	0.93792622074266
16p	kruskal.test	0.941244974542692	0.918570413936085	0.93792622074266
20q	kruskal.test	1.67953475881833	0.794431718035491	0.93792622074266
21q	kruskal.test	0.944900084042611	0.918032640059611	0.93792622074266
