test	cor.val	p_values	FDR
12p	wilcox.test	NA	7.65041363909899e-09	3.13666959203059e-07
3q	wilcox.test	NA	1.26031445361707e-06	2.58083294704678e-05
21q	wilcox.test	NA	1.88841435149764e-06	2.58083294704678e-05
15q	wilcox.test	NA	6.93939847737406e-05	0.000711288343930841
20p	wilcox.test	NA	0.000245272051758764	0.00201123082442187
2p	wilcox.test	NA	0.000469043883244405	0.00274725703043152
12q	wilcox.test	NA	0.000411453459863033	0.00274725703043152
22q	wilcox.test	NA	0.00115929204142341	0.00594137171229496
4p	wilcox.test	NA	0.0021967112853899	0.0100072403001096
11p	wilcox.test	NA	0.00486071342239638	0.0199289250318251
11q	wilcox.test	NA	0.00686129634554883	0.0255739227425002
5q	wilcox.test	NA	0.00750194413457551	0.0256316424597997
20q	wilcox.test	NA	0.014631495182916	0.0461454848076582
6q	wilcox.test	NA	0.01654848189929	0.0484634112764921
1p	wilcox.test	NA	0.0192556922127624	0.0526322253815504
18p	wilcox.test	NA	0.0311020053485359	0.0796988887056231
19q	wilcox.test	NA	0.0468604743835068	0.113016438219046
18q	wilcox.test	NA	0.05499479886157	0.125265930740243
9p	wilcox.test	NA	0.0953242401260283	0.20569967606143
4q	wilcox.test	NA	0.112099552694895	0.229804083024534
1q	wilcox.test	NA	0.172352099855479	0.336496956860697
17p	wilcox.test	NA	0.194370994300817	0.362236853015159
7p	wilcox.test	NA	0.280353620887337	0.433425297934221
8q	wilcox.test	NA	0.27708825721251	0.433425297934221
10p	wilcox.test	NA	0.284556012176898	0.433425297934221
14q	wilcox.test	NA	0.285426415712779	0.433425297934221
16p	wilcox.test	NA	0.253398022518054	0.433425297934221
2q	wilcox.test	NA	0.318817067988037	0.466839278125339
8p	wilcox.test	NA	0.335651565428894	0.474541868364988
Xp	wilcox.test	NA	0.485435482589979	0.663428492872971
7q	wilcox.test	NA	0.622617004849729	0.823461199962545
16q	wilcox.test	NA	0.670174810624681	0.835316890926781
17q	wilcox.test	NA	0.672328229282531	0.835316890926781
19p	wilcox.test	NA	0.721148795868108	0.869620606782131
6p	wilcox.test	NA	0.893827135770108	0.971871420282083
10q	wilcox.test	NA	0.889954269336834	0.971871420282083
13q	wilcox.test	NA	0.839910682374926	0.971871420282083
Xq	wilcox.test	NA	0.900758877334614	0.971871420282083
3p	wilcox.test	NA	0.963410225865882	0.978055660352986
5p	wilcox.test	NA	0.961501842498178	0.978055660352986
9q	wilcox.test	NA	0.978055660352986	0.978055660352986
