sample	segment_count	included
X1032	513	yes
X103	416	yes
X1040	2459	yes
X106	2451	yes
X1097	3758	no
X1098	2746	no
X1172	2788	no
X1177	2866	no
X1192	2909	no
X1196	3091	no
X119	2849	no
X120	3014	no
X1230	3077	no
X1237	3052	no
X1265	2554	no
X1269	3313	no
X1283	2631	no
X128	2815	no
X1326	2583	no
X1341	3013	no
X1364	2442	yes
X137	2550	no
X1410	2985	no
X1419	2644	no
X1471	2900	no
X1499	2564	no
X1530	3475	no
X1548	2597	no
X1552	2137	yes
X1568	2763	no
X1580	2617	no
X1582	2719	no
X1593	2631	no
X1605	2880	no
X1634	1656	yes
X1652	3110	no
X1677	2394	yes
X1689	2918	no
X1718	1989	yes
X1751	2806	no
X1851	2903	no
X1922	2843	no
X1928	2586	no
X1979	3139	no
X2090	2840	no
X2120	2674	no
X2152	2892	no
X2176	2499	yes
X2212	3117	no
X2316	2611	no
X2354	2850	no
X2357	2664	no
X2360	2786	no
X2362	2628	no
X2374	2756	no
X23	2804	no
X2401	3980	no
X2412	2731	no
X2415	3678	no
X2429	3028	no
X2438	2568	no
X2443	2514	no
X2503	2964	no
X2529	2556	no
X2554	2977	no
X2556	2377	yes
X2577	2229	yes
X2587	2142	yes
X2593	3244	no
X2638	2736	no
X2648	2665	no
X2665	4284	no
X2700	2889	no
X2704	2920	no
X2716	3124	no
X2763	3938	no
X2773	2634	no
X2797	2899	no
X2816	2657	no
X2825	3010	no
X2890	3077	no
X2902	2837	no
X2949	2776	no
X2991	2775	no
X2998	2968	no
X300	2881	no
X301	2891	no
X3056	2987	no
X3059	2619	no
X3080	3079	no
X3107	3087	no
X3144	2697	no
X3151	2913	no
X3225	2835	no
X3238	3148	no
X3297	3095	no
X3349	2909	no
X3391	2841	no
X342	2713	no
X356	2785	no
X429	2472	yes
X451	2769	no
X472	3009	no
X544	2860	no
X592	3069	no
X603	2598	no
X655	2368	yes
X736	2803	no
X80	2974	no
X860	2272	yes
X88	2773	no
X935	2516	no
X93	2932	no
X94	3088	no
X970	2830	no
X987	2915	no
X991	2332	yes
