Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.24	0.25	1.87	0.437	0.06	0.08	-0.339	0.943
1q	2863	0.18	0.18	0.762	0.968	0.00	0.00	-1.36	0.976
2p	1500	0.18	0.19	0.0408	0.968	0.06	0.07	-1.08	0.974
2q	2495	0.12	0.12	-0.117	0.968	0.06	0.07	-0.774	0.974
3p	1531	0.06	0.06	-1.32	0.968	0.00	0.00	-1.89	0.976
3q	1708	0.35	0.35	1.96	0.437	0.00	0.00	-1.52	0.976
4p	693	0.06	0.12	-0.666	0.968	0.53	0.56	3.26	0.00473
4q	1467	0.00	0.00	-1.35	0.968	0.53	0.53	3.65	0.00185
5p	456	0.29	0.38	1.28	0.856	0.24	0.33	0.808	0.474
5q	2185	0.12	0.14	-0.0761	0.968	0.18	0.20	0.541	0.575
6p	1664	0.00	0.00	-1.73	0.968	0.18	0.18	0.00998	0.927
6q	1304	0.00	0.00	-1.55	0.968	0.41	0.41	2.28	0.0688
7p	926	0.06	0.07	-1.28	0.968	0.18	0.19	-0.236	0.943
7q	1717	0.24	0.25	0.815	0.968	0.06	0.08	-0.916	0.974
8p	795	0.24	0.36	1.17	0.856	0.35	0.46	2.13	0.0898
8q	1249	0.41	0.44	2.44	0.319	0.06	0.10	-0.763	0.974
9p	621	0.06	0.08	-1.18	0.968	0.29	0.31	0.822	0.474
9q	1610	0.00	0.00	-1.61	0.968	0.29	0.29	1.25	0.303
10p	767	0.18	0.20	-0.181	0.968	0.12	0.14	-0.691	0.974
10q	1968	0.12	0.12	-0.483	0.968	0.00	0.00	-1.69	0.976
11p	1162	0.00	0.00	-1.73	0.968	0.29	0.29	0.97	0.446
11q	2133	0.18	0.21	0.641	0.968	0.18	0.21	0.641	0.552
12p	804	0.18	0.18	-0.41	0.968	0.00	0.00	-1.97	0.976
12q	2055	0.06	0.06	-1.03	0.968	0.06	0.06	-1.03	0.974
13q	1092	0.06	0.11	-0.688	0.968	0.47	0.50	2.95	0.0115
14q	1829	0.18	0.20	0.337	0.968	0.12	0.14	-0.247	0.943
15q	2082	0.06	0.07	-0.947	0.968	0.12	0.12	-0.333	0.943
16p	1378	0.18	0.20	0.104	0.968	0.12	0.14	-0.445	0.963
16q	1070	0.06	0.09	-0.934	0.968	0.35	0.38	1.69	0.178
17p	937	0.12	0.18	-0.237	0.968	0.35	0.40	1.79	0.157
17q	2298	0.24	0.29	1.5	0.717	0.18	0.23	0.883	0.474
18p	212	0.06	0.08	-1.31	0.968	0.29	0.31	0.613	0.552
18q	644	0.00	0.00	-1.71	0.968	0.41	0.41	1.84	0.157
19p	1331	0.24	0.27	0.736	0.968	0.12	0.15	-0.348	0.943
19q	2402	0.06	0.07	-0.814	0.968	0.12	0.12	-0.168	0.943
20p	583	0.18	0.20	-0.261	0.968	0.12	0.14	-0.762	0.974
20q	1092	0.29	0.31	1.08	0.856	0.06	0.08	-1.03	0.974
21p	92	0.00	0.00	-1.84	0.968	0.41	0.41	1.51	0.233
21q	750	0.00	0.00	-1.76	0.968	0.35	0.35	1.32	0.286
22p	2	0.00	0.00	-1.86	0.968	0.41	0.41	1.46	0.237
22q	1258	0.00	0.00	-1.3	0.968	0.59	0.59	4.09	0.000473
Xp	945	0.06	0.12	-0.594	0.968	0.53	0.56	3.45	0.003
Xq	1533	0.06	0.14	-0.268	0.968	0.59	0.62	4.59	9.36e-05
