sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-3439	1p	2	1	74865600	84557391.5	0.89	DIPLOID
MDL17-3439	2p	1	0	6296951	6296951	1	HETLOSS
MDL17-3439	2q	2	1	126513760	147513269	0.86	DIPLOID
MDL17-3439	3p	2	1	92016116	92016116	1	DIPLOID
MDL17-3439	3q	2	1	105939486	105939486	1	DIPLOID
MDL17-3439	4p	2	1	40731106	40915006	1	DIPLOID
MDL17-3439	4q	2	1	135980694	139331294	0.98	DIPLOID
MDL17-3439	5p	1	0	1004400	1004400	1	HETLOSS
MDL17-3439	5q	2	1	77887581	80478313	0.97	DIPLOID
MDL17-3439	6p	1	0	195700	195700	1	HETLOSS
MDL17-3439	6q	2	1	99128966	99128966	1	DIPLOID
MDL17-3439	7p	2	1	15929836.5	15929836.5	1	DIPLOID
MDL17-3439	7q	2	1	80851105.5	97185691.5	0.83	DIPLOID
MDL17-3439	8p	2	1	32781004.5	32781004.5	1	DIPLOID
MDL17-3439	8q	2	1	100093312.5	100093312.5	1	DIPLOID
MDL17-3439	9p	2	1	25395596.5	25395596.5	1	DIPLOID
MDL17-3439	9q	2	1	92197565.5	93335275.5	0.99	DIPLOID
MDL17-3439	10q	2	1	85381839	87451039	0.98	DIPLOID
MDL17-3439	11p	2	1	49522811	52371411	0.95	DIPLOID
MDL17-3439	11q	2	1	78060147	78060147	1	DIPLOID
MDL17-3439	13q	2	1	93504284	93504284	1	DIPLOID
MDL17-3439	14q	2	1	87213947	88524341	0.99	DIPLOID
MDL17-3439	15q	2	1	69065900	69065900	1	DIPLOID
MDL17-3439	16p	2	1	26158169	32243450.5	0.81	DIPLOID
MDL17-3439	17q	2	1	54831877	58395799.5	0.94	DIPLOID
MDL17-3439	18p	2	1	18113652.5	18113652.5	1	DIPLOID
MDL17-3439	19p	2	1	23850257	25273782	0.94	DIPLOID
MDL17-3439	19q	2	1	30399672	32744964	0.93	DIPLOID
MDL17-3439	20p	2	1	23663152	28076416	0.84	DIPLOID
MDL17-3439	20q	2	1	31536401	36085354	0.87	DIPLOID
MDL17-3439	21q	2	1	32592313	34781313	0.94	DIPLOID
MDL17-3439	22q	2	1	34059459	36099560	0.94	DIPLOID
MDL17-3439	23p	2	1	60224960.5	60224960.5	1	DIPLOID
MDL17-3439	23q	2	1	90670639.5	93963539.5	0.96	DIPLOID
