sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL16-4031	2p	1	0	4207351	4207351	1	HETLOSS
MDL16-4031	3p	1	0	79777900	79777900	1	HETLOSS
MDL16-4031	4q	2	1	139332094	139332094	1	DIPLOID
MDL16-4031	5q	2	1	114670709	115602678	0.99	DIPLOID
MDL16-4031	6p	1	0	214700	214700	1	HETLOSS
MDL16-4031	7p	1	0	45843300	45843300	1	HETLOSS
MDL16-4031	8p	1	0	39662100	44464104.5	0.89	HETLOSS
MDL16-4031	9p	1	0	44441996.5	44441996.5	1	HETLOSS
MDL16-4031	10p	1	0	2946201.5	2946201.5	1	HETLOSS
MDL16-4031	11p	1	0	2097400	2097400	1	HETLOSS
MDL16-4031	11q	3	1	29129240	32455425	0.9	GAIN
MDL16-4031	12p	1	0	30664700	30664700	1	HETLOSS
MDL16-4031	12q	2	1	77904008	80200660	0.97	DIPLOID
MDL16-4031	13q	1	0	90508085	96075565	0.94	HETLOSS
MDL16-4031	14q	2	1	84844543	88329424	0.96	DIPLOID
MDL16-4031	15q	1	0	81888910	82086010	1	HETLOSS
MDL16-4031	16p	1	0	37266311.5	37266311.5	1	HETLOSS
MDL16-4031	18p	2	1	18113652.5	18113652.5	1	DIPLOID
MDL16-4031	18q	2	1	62086347.5	62086347.5	1	DIPLOID
MDL16-4031	19p	1	0	25728682	25728682	1	HETLOSS
MDL16-4031	19q	1	0	31413741	32725701	0.96	HETLOSS
MDL16-4031	20p	1	0	28143774	28143774	1	HETLOSS
MDL16-4031	20q	2	1	28789536	35647537	0.81	DIPLOID
MDL16-4031	22q	1	0	32482899	36771906	0.88	HETLOSS
MDL16-4031	23p	1	0	57730960.5	57730960.5	1	HETLOSS
