# Using amp_thresh=0.25, del_thresh=0.25
Sample	Low	High
P-0000012-T03-IM3	-0.775000	1.223000
P-0000082-T01-IM3	-0.823000	0.797000
P-0000208-T01-IM3	-0.574000	0.847000
P-0000235-T01-IM3	-0.831000	0.717000
P-0000299-T01-IM3	-0.548000	0.250000
P-0000302-T02-IM6	-0.250000	0.622000
P-0000363-T01-IM3	-0.549000	0.821000
P-0000458-T01-IM3	-0.250000	0.250000
P-0000563-T01-IM3	-0.627000	0.657000
P-0000604-T01-IM3	-0.250000	0.615000
P-0000670-T01-IM3	-0.250000	0.515000
P-0000681-T02-IM5	-0.250000	1.367000
P-0000689-T02-IM5	-0.533000	0.542000
P-0000731-T01-IM3	-0.715000	1.398000
P-0000826-T01-IM3	-0.250000	0.559000
P-0000894-T01-IM3	-0.736000	2.609000
P-0000913-T02-IM5	-0.561000	0.627000
P-0000978-T02-IM5	-0.703000	1.060000
P-0001093-T01-IM3	-0.250000	0.250000
P-0001121-T01-IM3	-0.734000	0.823000
P-0001171-T01-IM3	-0.849000	1.383000
P-0001340-T01-IM3	-0.250000	0.816000
P-0001365-T02-IM3	-0.587000	0.751000
P-0001385-T01-IM3	-0.542000	0.612000
P-0001633-T01-IM3	-0.624000	0.848000
P-0001665-T01-IM3	-0.566000	0.953000
P-0001830-T01-IM3	-0.250000	0.500000
P-0001836-T01-IM3	-0.737000	1.396000
P-0001867-T01-IM3	-0.762000	1.185000
P-0001955-T01-IM3	-1.183000	1.324000
P-0001977-T01-IM3	-0.503000	0.560000
P-0002028-T01-IM3	-0.673000	1.192000
P-0002151-T01-IM3	-0.530000	0.549000
P-0002160-T01-IM3	-0.622000	0.720000
P-0002225-T02-IM5	-0.610000	1.296000
P-0002247-T01-IM3	-0.522000	0.531000
P-0002252-T01-IM3	-1.048000	2.425000
P-0002295-T01-IM3	-0.860000	1.455000
P-0002320-T01-IM3	-0.538000	0.577000
P-0002351-T01-IM3	-0.603000	0.878000
P-0002444-T01-IM3	-0.595000	0.632000
P-0002485-T01-IM3	-0.250000	0.610000
P-0002546-T01-IM3	-0.250000	0.890000
P-0002559-T01-IM3	-0.619000	0.922000
P-0002637-T01-IM3	-0.848000	1.758000
P-0002639-T01-IM3	-0.250000	0.572000
P-0002731-T02-IM5	-0.733000	1.218000
P-0002751-T01-IM3	-0.552000	0.570000
P-0002758-T01-IM3	-1.091000	1.974000
P-0002766-T01-IM3	-0.588000	0.700000
P-0002794-T02-IM5	-0.528000	0.560000
P-0002806-T01-IM3	-0.657000	0.923000
P-0002826-T01-IM3	-0.605000	0.729000
P-0002874-T01-IM3	-0.920000	1.423000
