Chromosome Arm	P-0000012-T03-IM3	P-0000082-T01-IM3	P-0000208-T01-IM3	P-0000235-T01-IM3	P-0000299-T01-IM3	P-0000302-T02-IM6	P-0000363-T01-IM3	P-0000458-T01-IM3	P-0000563-T01-IM3	P-0000604-T01-IM3	P-0000670-T01-IM3	P-0000681-T02-IM5	P-0000689-T02-IM5	P-0000731-T01-IM3	P-0000826-T01-IM3	P-0000894-T01-IM3	P-0000913-T02-IM5	P-0000978-T02-IM5	P-0001093-T01-IM3	P-0001121-T01-IM3	P-0001171-T01-IM3	P-0001340-T01-IM3	P-0001365-T02-IM3	P-0001385-T01-IM3	P-0001633-T01-IM3	P-0001665-T01-IM3	P-0001830-T01-IM3	P-0001836-T01-IM3	P-0001867-T01-IM3	P-0001955-T01-IM3	P-0001977-T01-IM3	P-0002028-T01-IM3	P-0002151-T01-IM3	P-0002160-T01-IM3	P-0002225-T02-IM5	P-0002247-T01-IM3	P-0002252-T01-IM3	P-0002295-T01-IM3	P-0002320-T01-IM3	P-0002351-T01-IM3	P-0002444-T01-IM3	P-0002485-T01-IM3	P-0002546-T01-IM3	P-0002559-T01-IM3	P-0002637-T01-IM3	P-0002639-T01-IM3	P-0002731-T02-IM5	P-0002751-T01-IM3	P-0002758-T01-IM3	P-0002766-T01-IM3	P-0002794-T02-IM5	P-0002806-T01-IM3	P-0002826-T01-IM3	P-0002874-T01-IM3	P-0002890-T01-IM3	P-0002905-T01-IM3	P-0002912-T01-IM3	P-0002917-T01-IM3	P-0002921-T01-IM3	P-0002965-T01-IM3	P-0002969-T01-IM3	P-0003017-T01-IM3	P-0003034-T01-IM5	P-0003119-T01-IM5	P-0003132-T01-IM5	P-0003157-T01-IM5	P-0003229-T01-IM5	P-0003275-T01-IM5	P-0003322-T01-IM5	P-0003347-T01-IM5	P-0003368-T01-IM5	P-0003495-T01-IM5	P-0003562-T02-IM5	P-0003584-T01-IM5	P-0003735-T01-IM5	P-0003738-T02-IM5	P-0003782-T01-IM5	P-0003869-T01-IM5	P-0003913-T01-IM3	P-0003964-T01-IM3	P-0003970-T02-IM5	P-0004020-T01-IM5	P-0004054-T01-IM5	P-0004232-T01-IM5	P-0004279-T01-IM5	P-0004436-T01-IM5	P-0004442-T01-IM5	P-0004463-T01-IM5	P-0004472-T01-IM5	P-0004495-T01-IM5	P-0004517-T01-IM5	P-0004588-T01-IM5	P-0004701-T01-IM5	P-0004752-T01-IM5	P-0004759-T01-IM5	P-0004827-T01-IM5	P-0004890-T01-IM5	P-0004961-T02-IM5	P-0004996-T02-IM5	P-0005048-T01-IM5	P-0005115-T01-IM5	P-0005289-T01-IM5	P-0005295-T01-IM5	P-0005320-T01-IM5	P-0005510-T01-IM5	P-0005629-T02-IM5	P-0005721-T01-IM5	P-0005752-T01-IM5	P-0005792-T01-IM5	P-0005848-T01-IM5	P-0005898-T01-IM5	P-0005975-T01-IM5	P-0005981-T01-IM5	P-0006047-T02-IM5	P-0006071-T01-IM5	P-0006084-T01-IM5	P-0006114-T02-IM5	P-0006294-T01-IM5	P-0006312-T02-IM5	P-0006330-T01-IM5	P-0006343-T01-IM5	P-0006364-T01-IM5	P-0006415-T01-IM5	P-0006540-T01-IM5	P-0006642-T01-IM5	P-0006724-T01-IM5	P-0006768-T02-IM5	P-0006895-T01-IM5	P-0006954-T01-IM5	P-0006993-T01-IM5	P-0007084-T02-IM5	P-0007088-T02-IM5	P-0007101-T02-IM5	P-0007121-T01-IM5	P-0007123-T01-IM5	P-0007278-T01-IM5	P-0007418-T01-IM5	P-0007420-T01-IM5	P-0007493-T02-IM5	P-0007582-T01-IM5	P-0007583-T01-IM5	P-0007597-T01-IM5	P-0007619-T01-IM5	P-0007633-T01-IM5	P-0007757-T02-IM5	P-0007861-T01-IM5	P-0007879-T01-IM5	P-0007977-T01-IM5	P-0007978-T01-IM5	P-0008176-T01-IM5	P-0008239-T01-IM5	P-0008295-T01-IM5	P-0008322-T01-IM5	P-0008370-T01-IM5	P-0008406-T01-IM5	P-0008442-T02-IM5	P-0008715-T01-IM5	P-0008786-T01-IM5	P-0008848-T01-IM5	P-0008851-T01-IM5	P-0008935-T01-IM5	P-0008944-T01-IM5	P-0008976-T01-IM5	P-0009080-T01-IM5	P-0009202-T01-IM5	P-0009256-T01-IM5	P-0009274-T01-IM5	P-0009293-T01-IM5	P-0009319-T01-IM5	P-0009379-T01-IM5	P-0009419-T01-IM5	P-0009426-T01-IM5	P-0009469-T01-IM5	P-0009473-T01-IM5	P-0009501-T01-IM5	P-0009505-T01-IM5	P-0009521-T01-IM5	P-0009586-T01-IM5	P-0009655-T01-IM5	P-0009680-T01-IM5	P-0009763-T01-IM5	P-0009764-T01-IM5	P-0009833-T01-IM5	P-0009959-T01-IM5	P-0010024-T01-IM5	P-0010025-T01-IM5	P-0010065-T01-IM5	P-0010213-T01-IM5	P-0010256-T01-IM5	P-0010636-T01-IM5	P-0010648-T01-IM5	P-0010715-T01-IM5	P-0010736-T01-IM5	P-0010760-T01-IM5	P-0010840-T02-IM5	P-0010891-T01-IM5	P-0010986-T01-IM5	P-0011033-T01-IM5	P-0011036-T01-IM5	P-0011149-T01-IM5	P-0011180-T01-IM5	P-0011192-T01-IM5	P-0011244-T01-IM5	P-0011254-T01-IM5	P-0011499-T01-IM5	P-0011541-T01-IM5	P-0011559-T01-IM5	P-0012076-T01-IM5	P-0012192-T02-IM5	P-0012373-T01-IM5	P-0012427-T01-IM5	P-0012629-T01-IM5	P-0012729-T01-IM5	P-0012817-T01-IM5	P-0012846-T01-IM5	P-0012849-T01-IM5	P-0012866-T01-IM5	P-0012908-T01-IM5	P-0012931-T01-IM5	P-0013653-T01-IM5	P-0014172-T01-IM5	P-0014269-T01-IM6	P-0014451-T01-IM6	P-0014529-T01-IM6	P-0014599-T01-IM6	P-0014786-T01-IM6	P-0014818-T01-IM6	P-0015078-T01-IM6	P-0015296-T01-IM6	P-0015531-T01-IM6	P-0015556-T01-IM6	P-0015758-T01-IM6	P-0015771-T01-IM6	P-0015780-T01-IM6	P-0015785-T01-IM6	P-0015984-T01-IM6	P-0016033-T01-IM6	P-0016046-T01-IM6	P-0016646-T01-IM6	P-0016809-T01-IM6
6p	0.000	0.000	0.000	-0.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.412	0.000	0.000	0.000	0.000	0.000	-0.484	0.000	0.000	0.274	0.000	0.000	0.000	0.000	0.000	-0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.384	0.000	0.000	0.000	-0.324	0.000	0.000	0.000	-0.530	0.000	0.000	0.000	0.000	0.000	0.310	0.673	0.000	-0.528	0.000	0.432	0.000	0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.525	-0.599	0.462	0.000	0.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.302	0.000	0.360	0.000	-0.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.362	0.000	0.000	0.000	0.423	0.000	0.000	0.000	0.299	0.000	0.000	0.000	-0.269	0.000	0.000	0.873	0.315	0.000	0.000	0.000	0.000	0.000	0.763	0.000	0.000	0.000	-0.718	0.000	0.306	-0.298	0.000	0.940	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.000	0.000	-0.115	0.781	0.000	0.000	0.000	0.000	-0.275	0.000	0.000	-0.268	0.000	0.338	0.000	0.000	0.000	0.000	0.486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.400	0.300	-0.292	0.000	0.000	0.000	0.000	0.617	0.000	0.327	0.000	0.000	0.300	0.000	0.000	0.000	0.372	0.000	0.298	-0.301	0.000	0.000	0.000	0.000	0.000	0.410	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.276	-0.708	0.000	0.000	0.000	0.440	0.546	0.000	0.000	0.000	0.000	0.000	0.000	0.742	0.000	0.000	0.000	0.000
6q	0.000	-0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.412	0.000	0.000	0.000	-0.409	0.000	-0.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.262	-0.512	-0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.384	-0.610	0.000	0.000	-0.324	0.000	0.000	0.000	-0.530	0.000	-0.334	0.000	-0.841	0.000	0.000	-0.382	-0.303	-0.528	0.000	-0.316	0.000	-0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.417	0.000	-0.376	0.000	0.000	-0.599	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.302	0.000	0.000	-0.356	-0.324	0.000	0.000	-0.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.362	0.000	0.000	0.000	0.000	0.000	-0.448	0.000	0.299	0.000	0.000	0.000	-0.269	0.000	-0.330	-0.415	0.000	0.000	0.000	0.000	0.000	0.000	-0.362	0.000	0.000	0.000	-0.718	0.000	0.000	-0.298	0.000	-0.349	0.000	0.000	0.000	-0.379	0.000	0.000	-0.345	0.000	0.000	0.000	-0.560	0.000	0.000	0.000	-0.527	-0.573	0.000	0.000	0.000	0.000	-0.275	0.000	0.000	-0.268	0.000	0.000	0.000	0.000	0.000	-0.469	0.000	0.000	0.000	0.000	0.000	-0.312	0.000	0.000	0.000	0.000	-0.292	0.000	0.000	0.000	0.000	0.000	0.000	0.327	0.000	0.000	0.000	0.000	0.000	0.000	-0.549	0.000	-0.347	-0.282	0.000	0.000	0.000	-0.365	-0.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.276	0.000	0.000	0.456	0.000	-0.297	0.000	0.000	0.000	0.000	0.000	-0.535	-0.534	0.742	-0.264	0.000	-0.366	0.000
7p	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.322	0.000	0.638	0.309	0.000	0.000	0.348	0.000	0.000	0.283	0.000	0.306	0.000	0.000	0.703	0.000	0.415	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.665	0.272	0.000	0.000	0.000	0.640	0.000	1.201	0.000	0.422	0.320	0.440	0.000	0.000	0.000	0.290	0.000	0.772	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.000	0.000	0.380	0.000	0.356	0.743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.416	0.000	0.000	1.139	0.366	0.344	0.851	0.544	0.457	0.000	-0.683	0.000	0.000	0.000	1.066	0.000	0.463	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.356	0.000	0.000	0.000	0.000	0.314	0.433	1.277	0.000	0.000	0.000	0.000	0.569	0.000	0.000	0.000	0.000	0.000	0.000	0.704	0.000	0.295	0.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.543	0.000	0.000	0.000	0.409	0.311	0.000	0.000	0.812	0.000	0.000	0.000	0.000	0.000	0.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.301	0.000	0.000	0.000	0.000	0.346	0.436	0.000	0.000	0.305	0.000	0.803	0.000	0.337	0.000	0.000	0.419	0.000	0.000	0.000	0.000	0.422	0.468	0.288	0.000	0.000	0.000	0.000	0.000	0.759	0.000	0.326	-0.672	0.000	0.000	0.000	0.000	0.000	0.000	0.389	0.485	0.571	0.798	0.000	0.000	0.000	0.516	0.000	0.564	0.522	0.000	1.436	0.581	0.000	0.000	0.000	0.404	0.474	0.000	0.414	0.000	0.000	0.812	0.000
7q	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.322	0.000	0.638	0.000	0.000	0.000	0.000	0.000	0.000	0.707	0.000	0.306	0.000	0.000	0.703	0.000	0.415	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.272	0.000	0.000	0.000	0.000	0.000	1.201	0.000	0.765	0.320	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.000	0.000	0.380	0.000	0.356	0.000	0.000	0.000	-0.408	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.416	0.000	0.000	0.000	0.366	0.344	0.851	0.544	0.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.114	-0.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.711	0.000	0.000	0.000	0.000	0.356	0.000	0.000	0.000	0.000	0.314	0.433	0.278	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.356	0.000	0.295	0.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.543	0.000	0.000	0.000	0.000	0.311	0.000	0.000	0.000	0.000	-0.430	0.000	0.000	0.000	0.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.346	0.436	0.000	0.000	0.305	0.000	0.803	0.000	0.337	0.000	0.000	0.419	0.000	0.000	0.000	0.000	0.422	0.468	0.288	0.000	0.000	0.000	0.000	0.000	0.759	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.389	0.485	0.000	0.000	0.000	0.000	0.000	0.516	0.582	0.564	1.335	0.000	1.439	0.000	0.000	0.000	0.000	0.404	0.474	0.000	0.414	0.000	0.000	-0.385	0.000
8p	-0.330	-0.312	0.000	-0.522	0.000	0.000	-0.299	0.000	0.000	0.000	0.000	0.000	0.000	-0.276	0.000	-0.486	0.000	0.000	0.000	0.303	-0.599	0.000	0.000	-0.292	0.000	0.000	0.000	0.000	-0.459	0.260	0.310	0.000	0.000	0.000	-0.281	0.000	-0.541	-0.435	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.291	-0.284	-0.563	-0.261	0.281	0.000	0.000	0.000	0.000	0.000	0.000	-0.390	0.000	-0.362	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.993	0.000	0.000	0.000	0.000	-0.311	-0.077	0.264	0.000	0.000	-0.466	-0.424	-0.493	0.000	0.000	0.000	0.000	0.000	-0.704	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.746	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.707	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.360	0.000	0.000	-0.330	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.425	-0.452	0.385	0.000	0.000	0.000	0.888	0.000	0.000	0.000	-0.556	0.000	0.000	-0.311	0.000	0.000	0.000	0.000	-0.385	0.000	0.285	3.014	0.000	-0.482	0.000	0.000	-0.313	0.000	-0.619	0.000	-0.333	0.000	0.000	-0.554	0.000	0.000	0.277	0.000	0.000	0.000	0.000	0.000	-0.380	0.000	0.282	-0.371	0.000	0.278	0.000	0.306	0.000	-0.301	-0.453	0.000	0.000	-0.443	0.000	0.000	0.000	0.000	0.000	0.000	-0.374	0.000	0.000	0.000	0.000	0.000	-0.305	0.000	0.000	0.000	0.000	0.000	0.000	-0.270	0.000	0.000	-0.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.433	0.000	0.000	-0.641	-0.321	-0.394	0.000	-0.379	-0.450	-0.409	0.000	0.000	0.000	0.556	0.000	0.000	0.546	-0.368	0.000	0.000
8q	0.000	0.547	0.000	0.467	0.000	0.372	0.448	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.000	0.000	0.000	0.000	0.000	0.303	0.000	0.000	0.000	0.000	0.591	0.000	0.000	0.000	-0.459	0.260	0.310	0.297	0.000	0.000	0.909	0.281	1.010	0.000	0.000	0.290	0.000	0.000	0.000	0.000	0.000	0.000	0.968	0.000	0.000	0.000	0.000	0.291	0.000	0.569	0.000	0.281	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.513	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.994	0.000	0.000	0.000	0.000	0.281	0.515	0.264	0.000	0.274	0.000	0.000	1.468	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.980	0.000	-0.410	0.000	0.746	0.000	0.592	0.770	0.000	0.000	0.000	0.000	0.274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.115	0.000	0.377	0.000	0.777	0.665	0.000	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.420	0.000	0.336	0.706	1.836	0.000	0.000	0.922	0.888	0.000	0.000	0.000	0.461	0.504	0.530	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.285	3.657	0.000	0.000	0.361	0.000	0.329	0.000	-0.619	0.000	0.401	0.000	0.550	0.520	0.000	0.000	0.791	0.000	0.000	0.000	0.000	0.000	0.681	0.283	0.282	-0.043	0.000	0.278	0.000	0.306	0.000	0.000	-0.453	0.000	0.000	0.681	0.000	0.000	0.000	0.000	1.134	0.585	-0.374	0.000	0.000	0.000	0.394	0.000	0.404	0.740	0.000	0.349	0.000	0.000	0.000	0.440	0.000	0.000	0.583	0.347	0.000	0.000	0.000	0.000	0.000	0.000	1.017	0.000	0.443	0.000	0.495	0.000	0.000	0.000	0.429	0.000	0.000	0.912	0.580	0.000	0.000	0.000	0.468	0.556	0.000	0.000	0.546	0.000	0.000	0.000
9p	0.000	0.000	0.000	-0.581	0.000	0.000	0.571	0.000	0.000	0.000	0.000	0.000	0.000	-0.465	0.000	0.000	0.000	-0.298	0.000	0.000	-0.349	0.000	-0.337	0.000	0.000	0.000	0.000	-0.428	-0.374	-0.648	0.000	-0.331	0.000	0.000	0.000	0.000	2.175	0.000	0.000	0.000	-0.345	0.000	0.561	0.000	-0.598	0.000	-0.428	0.000	0.000	0.000	0.000	0.000	0.465	-0.601	0.000	0.000	0.000	-0.336	0.000	0.000	0.000	0.000	0.000	0.000	-0.388	0.000	0.000	0.000	0.000	-0.392	0.000	0.000	-0.315	0.000	0.000	0.000	0.000	0.000	-0.650	0.000	0.000	0.000	-0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.776	0.000	-0.406	0.000	-0.493	0.000	0.000	-0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.910	0.000	0.000	-0.388	-0.352	0.000	-0.428	-0.661	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.423	-0.268	0.000	0.000	0.000	0.000	0.000	0.925	0.000	0.000	0.000	0.000	0.662	-0.374	-0.261	-0.626	-0.394	-0.551	0.000	0.000	0.000	0.000	0.000	0.000	-0.383	0.000	0.000	-0.746	0.000	0.000	-0.294	0.000	-0.410	-0.540	0.000	0.000	0.000	0.000	0.505	-0.654	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.388	0.000	0.000	0.000	0.000	0.000	-0.603	0.000	0.000	0.000	0.000	0.000	-0.294	0.000	0.000	0.000	-0.709	0.000	-0.326	-0.434	0.000	0.000	0.000	0.000	0.000	0.000	-0.410	-0.618	-0.562	0.000	0.000	0.000	0.000	-0.253	0.000	0.000	0.000	0.000	-0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.283	0.000	1.473	0.000	0.000	0.000	0.372	-0.491	0.000	0.000	0.000	0.000	-0.517	0.000	0.000	0.000	-0.412	0.000
9q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.349	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.374	-0.648	0.000	0.000	0.000	0.000	0.000	0.000	0.981	0.000	0.000	0.000	0.000	0.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.341	-0.601	0.000	0.000	0.000	-0.336	0.000	0.000	0.000	0.000	0.000	0.000	-0.388	0.000	0.000	0.000	0.000	0.768	0.000	0.000	-0.315	0.000	0.000	0.000	0.000	0.000	-0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.388	0.311	0.000	0.491	-0.661	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.662	-0.374	0.458	-0.626	-0.394	-0.295	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.632	0.000	0.000	-0.294	0.000	0.000	-0.540	0.000	0.000	0.000	0.000	0.505	-0.285	0.475	0.000	0.000	0.000	0.000	0.000	0.000	-0.388	0.000	0.000	0.000	0.000	0.000	0.253	0.000	0.000	0.000	0.000	0.000	-0.294	0.000	0.000	0.000	0.000	0.000	-0.326	-0.291	0.000	0.000	0.000	0.000	0.000	0.000	-0.410	-0.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.283	0.000	0.000	0.000	0.000	-0.484	0.000	-0.491	0.000	0.000	0.000	0.000	-0.517	0.000	0.000	0.000	0.000	0.000
10p	0.000	0.000	0.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.000	0.000	0.000	0.000	0.000	-0.393	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.408	-0.615	0.000	0.000	0.000	0.000	0.000	0.000	-0.167	0.534	0.000	0.000	0.000	0.000	0.000	0.000	-0.483	0.000	0.000	0.000	-0.643	0.000	0.000	0.000	-0.297	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.375	0.000	0.000	0.000	0.435	-0.316	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.402	0.000	0.000	0.331	0.000	0.000	0.000	-0.381	0.000	0.000	0.000	0.749	0.000	0.000	0.000	0.000	-0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.275	-0.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.287	0.000	0.000	0.407	-0.514	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.498	0.000	0.000	1.799	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.295	-0.462	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.389	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.376	0.000	-0.271	0.000	0.000	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.000	0.000	0.000	0.000	0.000	-0.393	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.615	0.000	0.000	0.000	0.000	0.000	0.000	-0.521	0.534	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.296	0.000	0.000	0.000	0.000	0.000	-0.668	0.000	0.000	0.000	-0.580	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.402	0.000	0.000	0.019	0.000	0.000	0.000	-0.381	0.000	0.000	0.000	-0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.275	0.695	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.287	0.000	0.000	0.407	-0.514	0.000	0.000	0.000	0.000	0.000	-0.544	0.000	0.000	0.000	0.592	0.000	0.000	0.000	0.287	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.295	-0.462	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.327	0.000	0.000	0.000	0.000	0.000	0.000	-0.416	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.389	0.000	0.000	0.000	0.000	-0.361	0.000	0.000	-0.428	0.000	0.000	0.000	0.000	0.000	0.000	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.411	0.000	0.000	0.000	-0.414	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.311	0.000	0.000	0.000	0.532	0.000	-0.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.614	0.480	0.000	0.000	0.000	0.000	0.261	0.073	0.000	0.000	0.000	0.428	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.470	0.000	0.000	0.000	0.000	0.000	0.000	-0.783	0.000	0.000	0.000	0.000	0.000	-0.690	-0.478	0.000	0.000	0.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.000	-0.271	-0.278	0.000	0.946	0.000	0.000	0.000	0.000	0.000	0.000	1.377	0.000	0.000	0.000	-0.418	0.000	0.000	0.000	0.296	0.000	0.405	0.000	0.000	0.000	0.476	0.000	-0.265	0.000	0.000	0.308	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.304	0.000	0.000	0.000	0.505	0.000	0.000	0.000	0.000	0.000	0.257	0.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.574	0.395	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.471	0.000	-0.291	-0.296	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
