sample	segment_count	included
X103	133	yes
X1032	126	yes
X1040	112	yes
X106	139	yes
X1097	278	yes
X1098	165	yes
X1172	173	yes
X1177	189	yes
X119	187	yes
X1192	177	yes
X1196	205	yes
X120	197	yes
X1230	238	yes
X1237	308	yes
X1265	150	yes
X1269	303	yes
X128	172	yes
X1283	194	yes
X1326	60	yes
X1341	172	yes
X1364	134	yes
X137	116	yes
X1410	485	yes
X1419	146	yes
X1471	230	yes
X1499	98	yes
X1530	357	yes
X1548	170	yes
X1552	133	yes
X1568	192	yes
X1580	274	yes
X1582	132	yes
X1593	175	yes
X1605	157	yes
X1634	163	yes
X1652	190	yes
X1677	81	yes
X1689	296	yes
X1718	165	yes
X1751	205	yes
X1851	172	yes
X1922	163	yes
X1928	98	yes
X1979	329	yes
X2090	190	yes
X2120	109	yes
X2152	243	yes
X2176	120	yes
X2212	319	yes
X23	119	yes
X2316	87	yes
X2354	200	yes
X2357	128	yes
X2360	156	yes
X2362	197	yes
X2374	203	yes
X2401	211	yes
X2412	116	yes
X2415	142	yes
X2429	148	yes
X2438	82	yes
X2443	217	yes
X2503	205	yes
X2529	179	yes
X2554	231	yes
X2556	97	yes
X2577	89	yes
X2587	128	yes
X2593	149	yes
X2638	164	yes
X2648	169	yes
X2665	332	yes
X2700	209	yes
X2704	54	yes
X2716	277	yes
X2763	171	yes
X2773	89	yes
X2797	204	yes
X2816	130	yes
X2825	174	yes
X2890	148	yes
X2902	181	yes
X2949	177	yes
X2991	137	yes
X2998	197	yes
X300	197	yes
X301	194	yes
X3056	92	yes
X3059	59	yes
X3080	191	yes
X3107	344	yes
X3144	89	yes
X3151	214	yes
X3225	151	yes
X3238	206	yes
X3297	223	yes
X3349	140	yes
X3391	209	yes
X342	118	yes
X356	146	yes
X429	182	yes
X451	242	yes
X472	302	yes
X544	118	yes
X592	198	yes
X603	88	yes
X655	88	yes
X736	105	yes
X80	184	yes
X860	95	yes
X88	74	yes
X93	173	yes
X935	163	yes
X94	237	yes
X970	212	yes
X987	247	yes
X991	69	yes
