Chromosome Arm	X103	X1032	X1040	X106	X1097	X1098	X1172	X1177	X119	X1192	X1196	X120	X1230	X1237	X1265	X1269	X128	X1283	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X23	X2316	X2354	X2357	X2360	X2362	X2374	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X93	X935	X94	X970	X987	X991
18p	-0.713	-0.284	0.163	0.000	0.000	0.000	0.000	-0.372	-0.213	0.000	0.000	0.000	-0.420	0.000	0.000	-0.143	0.000	-0.630	0.000	0.000	-0.473	0.000	-0.629	0.807	0.138	-0.665	0.243	0.000	0.251	-0.385	-0.476	0.000	0.347	0.655	0.419	0.279	0.000	-0.446	0.280	0.385	0.501	0.894	0.000	-0.271	0.000	0.000	-0.478	-0.018	1.484	0.000	-0.340	0.000	0.296	0.694	0.604	0.184	0.401	-0.398	-0.242	0.633	0.000	0.000	0.000	0.000	0.537	0.000	0.000	-0.240	0.000	0.000	0.546	0.000	0.000	0.000	-0.109	0.570	0.000	-0.298	0.301	-0.276	-0.398	0.231	0.000	0.556	0.063	-0.675	-0.409	0.000	0.000	-0.708	0.465	-0.170	0.707	-0.612	0.000	0.543	0.000	-0.396	0.000	0.000	0.000	0.000	0.390	0.000	-0.855	0.000	-0.677	0.000	-0.734	0.000	0.000	0.000	0.000	0.000	-0.831	0.248	0.000
18q	-0.722	-0.284	0.163	-0.163	-0.101	-0.615	-0.870	0.000	0.109	0.000	0.000	0.000	-0.420	-0.599	0.000	0.000	-0.344	-0.630	0.000	0.000	-0.473	0.000	-0.629	0.000	0.138	-0.665	0.243	0.000	0.000	-0.941	0.000	0.000	0.347	-0.433	-0.057	0.000	-0.197	-0.156	-0.103	0.018	-0.667	0.894	0.000	-0.271	0.000	-0.597	-0.478	-0.202	0.657	-0.470	-0.340	-0.282	-0.336	-0.844	0.604	-0.483	0.000	-0.398	-0.242	0.000	0.000	0.258	0.000	0.000	-0.199	0.000	0.000	0.000	0.000	-0.642	-0.324	0.000	0.000	0.000	-0.512	-0.653	0.000	-0.298	-0.060	-0.289	-0.398	-0.298	-0.146	0.000	-0.598	-0.675	-0.135	-0.341	0.000	-0.313	1.286	-0.170	0.707	0.000	-0.479	0.258	0.000	-0.396	0.000	0.000	-0.759	-0.337	-0.113	-0.671	-0.855	0.000	-0.687	-0.511	-0.734	-0.519	0.000	-0.689	0.000	-0.534	-0.831	0.138	0.000
19p	0.000	0.321	0.000	0.000	1.106	-0.005	0.000	0.429	0.501	-0.104	-0.888	0.205	-0.340	0.000	-0.842	-0.474	-0.256	0.249	0.000	0.247	-0.209	0.294	0.000	0.000	-0.834	0.000	-0.344	0.000	0.000	0.000	-0.628	0.100	-0.459	0.403	-0.146	-0.215	0.000	0.000	-0.113	0.000	-0.158	0.283	0.000	-0.478	0.000	-0.082	-0.529	0.000	0.734	-0.369	-0.387	-0.344	-0.356	-0.665	-0.348	-0.244	0.497	0.000	-0.289	-0.837	0.000	-0.602	-0.176	1.128	-0.108	-0.567	0.000	0.000	-0.336	0.000	-0.176	1.082	0.000	-0.023	0.367	-0.314	-0.172	0.000	-0.209	-0.118	-0.150	-0.585	-0.328	-0.720	-0.663	0.000	-0.816	0.000	0.109	0.000	-0.476	0.000	-0.760	-0.459	0.302	-0.110	-0.114	0.198	0.000	0.000	-0.784	0.000	0.568	0.000	-0.594	0.000	0.000	-0.404	0.141	0.000	0.000	0.000	0.968	-0.057	0.000	-0.107	-0.120
19q	0.000	0.000	-0.217	0.000	0.000	-0.510	0.000	0.429	0.000	-0.280	-0.888	0.205	-0.340	0.000	-0.842	-0.474	-0.256	0.249	-0.801	0.247	-0.062	0.294	0.000	0.000	-0.834	0.000	0.000	-0.709	0.000	0.000	-0.628	0.000	-0.459	0.403	-0.146	-0.215	0.000	0.000	-0.113	0.197	-0.158	0.283	0.000	-0.478	0.000	-0.547	-0.529	0.000	0.000	-0.369	0.000	0.000	-0.356	0.000	-0.690	-0.244	0.497	0.000	-0.468	-1.058	0.633	-0.441	-0.176	0.652	-0.297	-0.567	0.000	0.000	-0.336	-0.558	0.148	0.676	0.000	-0.164	0.000	-0.314	-0.172	0.000	-0.209	-0.330	-0.150	-0.585	0.253	-0.720	-0.663	-0.583	-0.309	-0.425	-0.247	0.000	0.484	0.000	-0.760	0.000	0.000	-0.110	0.000	0.198	0.000	0.000	-0.784	0.000	0.971	-0.733	-0.724	0.199	0.000	0.000	0.141	0.000	0.000	-0.649	0.226	-0.472	0.000	-0.107	-0.120
20p	0.000	0.198	0.000	0.000	-0.716	0.874	-0.895	0.819	0.843	0.621	0.000	0.000	-0.472	0.642	0.000	0.705	0.320	-0.601	0.000	0.000	0.000	0.362	-0.620	-0.800	0.000	0.000	0.446	-0.783	0.489	0.155	0.535	0.000	0.771	0.805	0.173	-0.219	0.000	-0.554	0.142	0.000	-0.526	1.514	0.000	0.000	0.454	0.536	-0.168	0.000	0.131	0.478	-0.296	-0.103	0.000	-0.877	1.187	0.464	0.000	-0.164	0.000	-0.167	0.000	0.666	0.000	0.905	0.286	0.538	0.000	0.000	-0.151	0.579	0.000	-0.108	0.925	0.103	0.470	0.662	0.000	0.620	-0.190	0.462	0.000	-0.148	0.351	-0.302	0.000	0.000	0.000	0.472	0.647	0.000	0.509	0.000	0.749	-0.635	0.000	0.440	0.477	1.009	0.000	0.000	-0.703	0.421	0.076	0.000	0.910	0.695	0.000	0.000	0.000	-0.431	0.000	0.000	0.257	-0.105	0.000	1.126	0.463
20q	0.000	0.198	0.000	0.176	0.000	0.874	-0.176	0.819	1.538	0.621	0.803	-0.331	0.932	0.642	0.796	0.839	0.320	0.000	0.000	0.141	0.227	0.362	-0.620	0.000	0.000	0.000	-0.109	-0.627	0.489	0.155	0.535	0.000	0.771	1.121	0.000	-0.049	0.000	0.000	0.000	0.000	0.000	0.708	0.000	0.000	0.936	0.536	0.000	0.000	0.131	0.478	0.000	-0.103	0.363	0.000	1.187	0.247	0.213	0.000	0.000	0.000	0.000	0.896	0.000	0.905	0.286	0.538	0.000	0.289	0.466	0.579	0.000	0.709	0.000	0.103	0.000	0.000	0.000	0.620	0.133	0.462	0.000	0.639	0.864	-0.302	0.000	0.000	0.439	0.000	0.647	0.000	1.033	0.000	0.749	0.000	0.958	0.440	0.477	1.162	0.000	0.000	0.000	0.145	0.774	0.000	0.910	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.600	0.183	0.000	0.000	0.463
21p	-0.773	0.000	-0.115	0.000	-0.786	-0.285	0.000	0.000	-0.149	0.296	0.000	0.000	0.000	-0.246	0.000	0.000	-0.216	0.000	0.000	0.000	0.222	0.000	-0.602	0.000	0.000	0.000	0.206	-0.755	0.000	-0.382	-0.866	0.000	0.000	0.000	0.153	-0.125	-0.245	0.000	0.000	0.400	-0.629	0.340	0.000	-0.490	0.000	0.548	-0.444	-0.213	0.000	-0.161	-0.338	0.478	0.308	0.000	-0.275	0.000	0.205	-0.382	-0.634	-0.116	0.000	-0.103	0.189	0.511	-0.275	-0.425	0.000	0.113	0.174	-1.294	-0.135	-0.287	-0.530	0.000	0.000	0.000	0.000	0.000	0.172	0.000	-0.315	-0.035	-0.343	-0.340	-0.494	-0.496	0.000	-0.350	0.124	0.000	-0.170	-0.130	0.851	-0.598	0.181	0.392	0.000	0.497	0.000	0.000	0.000	0.000	0.000	-0.527	-0.191	0.000	0.000	0.000	0.628	0.000	0.000	-0.589	-0.112	0.000	0.000	-0.201	-0.590
21q	-0.773	0.000	-0.115	0.000	-0.786	-0.285	0.000	0.000	-0.149	0.000	0.000	0.000	0.000	-0.246	0.000	0.000	-0.216	0.000	0.000	0.000	-0.263	-0.457	-0.602	0.000	-0.364	0.000	0.206	-0.755	-0.503	-0.382	0.000	0.000	-0.191	0.000	0.153	0.000	-0.245	0.000	0.000	0.511	-0.629	0.340	0.000	0.815	0.000	0.548	-0.444	-0.213	0.000	-0.161	-0.338	0.000	0.308	0.000	-0.275	0.000	0.205	-0.382	-0.634	-0.460	0.000	0.748	0.189	0.511	-0.275	-0.425	0.000	0.113	0.174	-0.616	-0.135	-0.287	0.000	0.000	0.000	0.000	0.000	-0.230	0.172	0.000	-0.315	0.192	-0.343	-0.340	-0.494	0.000	-0.376	-0.350	0.124	0.000	-0.170	-0.130	0.851	-0.598	0.000	0.392	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.191	0.000	0.000	0.000	0.628	0.000	0.000	-0.589	0.000	0.000	0.000	0.124	-0.590
22q	-0.804	-0.246	-0.259	-0.170	0.152	-0.290	-0.904	-0.411	-0.361	-0.432	-0.926	0.000	-0.378	-0.549	-0.877	-0.962	0.000	-0.587	-0.813	0.463	-0.476	-0.230	-0.596	-0.816	-0.837	0.000	0.000	-0.709	-0.496	0.000	0.000	-0.786	-0.427	-0.338	-0.417	0.000	0.000	-0.531	-0.235	-0.449	0.000	-0.123	-0.755	-0.223	-0.376	-0.654	-0.223	-0.341	0.000	-0.598	-0.398	-0.191	-0.238	-0.591	0.705	-0.320	-0.222	-0.500	-0.624	-0.520	-0.736	-0.216	-0.255	0.000	-0.558	-0.412	0.000	-0.149	-0.236	-1.301	-0.195	-0.528	0.000	-0.175	0.119	-0.733	-0.200	0.177	-0.204	-0.337	0.277	-0.515	-0.359	-0.707	-0.632	0.000	-0.896	-0.395	-0.331	-0.641	-0.377	0.000	-0.713	-0.566	-0.363	0.000	-0.478	0.000	0.000	-0.115	-0.796	-0.634	-0.216	-0.650	-0.831	-0.254	-0.631	-0.574	0.116	-0.536	0.000	-0.706	-0.536	-0.055	-0.792	-0.701	-0.271
Xp	0.000	0.000	-0.225	-0.186	-0.843	-1.337	0.000	-0.861	-0.714	-1.061	-0.905	-0.583	-0.886	-0.582	-0.866	-0.598	-0.683	0.000	0.000	0.000	-0.455	-0.870	-0.608	-0.828	-1.267	0.000	0.118	0.000	-0.555	-0.898	-0.602	0.000	-0.048	-0.403	-0.180	0.000	0.000	-0.384	0.000	-0.392	-0.731	-0.733	0.000	0.000	-0.583	0.000	-0.374	0.195	-0.757	0.353	-0.297	-0.596	-0.664	0.000	-0.522	-0.436	0.000	0.100	-0.621	-0.474	-0.782	-0.619	-0.463	0.000	-0.376	-0.415	-0.388	-0.440	-0.497	0.000	0.000	-0.699	0.000	0.000	-0.619	-0.712	-0.172	-0.265	-0.349	-0.516	0.000	-0.285	-1.045	-0.281	-0.592	-0.580	-0.902	0.000	0.701	-0.718	-0.400	-0.140	0.000	-0.669	-0.448	-0.777	0.000	-0.377	0.000	0.000	0.000	-0.671	-0.508	-0.750	-0.831	-0.196	-0.633	0.000	-0.679	-0.519	0.000	-0.151	-0.637	0.112	-0.837	-0.337	-0.510
Xq	0.621	-0.255	-0.225	-0.186	-0.843	-0.965	0.000	-0.861	-0.714	-1.061	-0.905	-0.583	-0.886	-0.582	-0.866	-0.598	-0.683	0.000	0.000	0.000	-0.455	-0.870	-0.608	-0.828	-0.367	0.622	0.000	0.000	-0.555	-0.406	-0.602	0.000	-0.410	-0.403	-0.007	0.258	0.000	-0.384	0.000	-0.392	-0.547	-0.733	0.000	0.275	0.000	0.000	-0.374	0.195	-0.111	-0.239	-0.297	-0.202	-0.348	0.000	0.000	-0.436	0.000	0.100	-0.621	-1.027	-0.782	-0.955	-0.463	0.386	-0.343	-0.415	-0.388	-0.440	0.000	0.000	0.000	-0.699	0.000	0.000	0.000	-0.712	0.000	-0.265	-0.349	-0.516	0.000	0.000	-1.045	0.000	-0.592	0.000	-0.902	0.000	0.701	-0.718	-0.400	-0.140	0.723	-0.669	-0.448	-0.304	0.000	-0.377	0.000	0.000	0.000	0.000	-0.508	0.000	0.000	0.000	-0.633	-0.501	-0.679	-0.519	0.000	-0.151	-0.637	0.112	-0.837	-0.337	-0.510
