# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
X103	-0.904000	0.843000
X1032	-0.556000	0.920000
X1040	-0.385000	0.446000
X106	-0.301000	0.278000
X1097	-0.943000	1.527000
X1098	-1.437000	2.002000
X1172	-1.004000	1.027000
X1177	-0.961000	1.729000
X119	-0.814000	2.420000
X1192	-1.161000	1.179000
X1196	-1.036000	0.987000
X120	-0.781000	0.767000
X1230	-1.001000	1.414000
X1237	-1.290000	1.307000
X1265	-0.980000	0.896000
X1269	-1.062000	1.102000
X128	-0.783000	0.987000
X1283	-0.743000	0.642000
X1326	-0.913000	0.839000
X1341	-0.978000	1.016000
X1364	-0.588000	1.123000
X137	-0.970000	1.480000
X1410	-0.736000	0.793000
X1419	-0.928000	0.907000
X1471	-1.367000	0.458000
X1499	-0.774000	0.722000
X1530	-0.928000	0.916000
X1548	-0.936000	0.100000
X1552	-1.112000	1.134000
X1568	-1.041000	2.418000
X1580	-1.228000	0.721000
X1582	-0.927000	0.917000
X1593	-0.560000	0.871000
X1605	-0.547000	1.438000
X1634	-0.517000	0.580000
X1652	-0.389000	0.554000
X1677	-0.345000	0.679000
X1689	-0.967000	1.959000
X1718	-0.335000	0.644000
X1751	-0.549000	1.035000
X1851	-1.122000	1.738000
X1922	-0.833000	2.591000
X1928	-0.866000	2.285000
X1979	-0.600000	0.915000
X2090	-0.759000	1.511000
X2120	-0.754000	2.964000
X2152	-0.689000	1.383000
X2176	-0.441000	0.726000
X2212	-0.890000	1.886000
X23	-1.199000	0.899000
X2316	-0.498000	0.452000
X2354	-0.696000	0.578000
X2357	-0.764000	1.057000
X2360	-1.007000	1.928000
X2362	-1.280000	1.287000
X2374	-0.594000	1.826000
X2401	-0.614000	0.597000
X2412	-0.727000	0.260000
X2415	-0.752000	0.226000
X2429	-1.174000	1.337000
X2438	-0.882000	0.733000
X2443	-1.055000	0.996000
X2503	-0.563000	0.972000
X2529	-0.597000	1.228000
X2554	-0.667000	0.886000
X2556	-0.956000	1.326000
X2577	-0.502000	0.848000
X2587	-0.540000	0.529000
X2593	-0.597000	0.696000
X2638	-1.401000	1.290000
X2648	-0.545000	0.646000
X2665	-0.850000	1.182000
X2700	-0.671000	1.025000
X2704	-0.421000	0.608000
X2716	-0.719000	1.218000
X2763	-0.858000	0.762000
X2773	-0.508000	0.683000
X2797	-0.568000	1.152000
X2816	-0.449000	0.432000
X2825	-0.616000	0.822000
X2890	-0.558000	0.612000
X2902	-0.685000	0.739000
X2949	-1.145000	1.582000
X2991	-1.113000	0.656000
X2998	-0.763000	0.828000
X300	-0.776000	1.288000
X301	-1.002000	1.104000
X3056	-0.525000	0.572000
X3059	-0.431000	0.801000
X3080	-0.833000	0.751000
X3107	-1.137000	1.430000
X3144	-0.339000	0.370000
X3151	-0.877000	1.350000
X3225	-0.769000	1.253000
X3238	-0.581000	1.926000
X3297	-0.877000	0.866000
X3349	-0.614000	0.632000
X3391	-0.723000	1.262000
X342	-0.100000	0.920000
X356	-0.215000	0.333000
X429	-0.896000	0.228000
X451	-1.100000	0.521000
X472	-0.663000	2.715000
X544	-0.850000	0.231000
X592	-0.955000	1.108000
X603	-0.354000	0.795000
X655	-0.787000	0.844000
X736	-0.674000	0.718000
X80	-0.834000	0.728000
X860	-0.636000	0.641000
X88	-0.100000	0.901000
X93	-0.806000	0.100000
X935	-0.963000	1.165000
X94	-0.868000	0.789000
X970	-0.937000	1.754000
X987	-0.902000	2.631000
X991	-0.713000	0.741000
