Chromosome Arm	MDL15-1352	MDL15-2291	MDL16-2187	MDL16-2366	MDL16-2565	MDL16-2571	MDL16-3157	MDL16-3467	MDL16-3681	MDL16-372	MDL16-3785	MDL16-4031	MDL16-4342	MDL16-4473	MDL16-4671	MDL16-4853	MDL16-5150	MDL16-5262	MDL17-137	MDL17-1665	MDL17-1897	MDL17-2054	MDL17-2071	MDL17-2084	MDL17-2385	MDL17-2416	MDL17-2508	MDL17-2917	MDL17-3055	MDL17-3392	MDL17-3439	MDL17-3683	MDL17-377	MDL17-379	MDL17-3883	MDL17-5117	MDL17-5120	MDL17-5335	MDL17-681	MDL17-682	MDL17-911	MDL18-1257	MDL18-1935	MDL18-2281	MDL18-2288	MDL18-2673	MDL18-3105	MDL18-337	MDL18-339	MDL18-473	MDL18-604	MDL18-93
7q	0.440	0.000	0.000	0.406	0.000	0.707	0.000	0.000	0.715	1.099	0.000	0.366	0.000	0.000	0.000	0.000	0.570	0.362	0.401	0.000	0.000	0.000	0.000	0.000	0.561	0.000	0.440	0.000	0.000	0.340	0.000	0.000	0.000	0.425	0.000	0.000	0.310	0.000	0.000	0.306	0.661	0.000	0.000	0.000	0.807	0.758	0.277	0.000	0.252	0.000	0.000	0.000
8p	-0.328	0.000	0.000	0.065	0.000	0.556	0.000	0.000	-0.328	1.057	0.000	0.695	0.000	0.000	1.733	-0.276	0.572	0.454	0.543	0.000	0.000	0.000	0.000	0.000	0.879	0.244	0.536	0.000	-0.459	0.000	0.000	0.894	0.000	0.912	0.000	-0.942	0.321	0.860	0.000	0.000	0.479	0.000	0.000	0.000	-0.288	-0.482	-0.472	0.000	0.403	0.000	0.000	0.417
8q	0.000	0.000	0.000	0.474	0.000	1.508	0.000	0.000	0.000	1.057	0.000	1.161	0.000	0.000	1.733	0.000	0.572	0.454	0.543	0.000	0.000	0.000	0.000	0.000	1.551	0.596	0.890	0.000	0.000	0.000	0.000	0.894	0.000	0.912	0.000	0.000	0.876	0.860	0.000	0.000	0.479	0.000	0.000	0.000	0.000	-0.482	0.000	0.000	0.403	0.000	0.000	0.417
9p	0.000	0.000	0.000	0.000	0.000	-0.362	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	-0.331	0.000	0.367	0.000	0.000	0.000	0.000	0.325	0.000	0.000	1.263	-0.300	-0.346	0.000	-0.476	-0.259	0.000	0.000	0.000	0.000	0.000	-0.322	-0.423	0.000	0.000	0.407	0.000	0.000	0.000	0.000	0.000	-0.426	0.000	0.000	0.000	0.000	0.000	0.000
9q	0.000	0.000	0.000	0.000	0.000	-0.362	0.000	0.000	0.000	0.000	0.000	0.815	0.000	0.000	-0.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.355	-0.300	-0.346	0.000	-0.476	-0.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.426	0.000	0.000	0.000	0.000	0.000	0.000
10p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	2.042	0.000	0.000	0.000	0.000	0.000	0.000	0.476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.338	-0.336	0.396	0.000	0.000	0.415	0.000	0.000	0.000	0.000	0.000	0.974	0.271	0.000	-0.300	0.000	0.000	0.000	0.000	0.278	-0.844	0.447	-0.260	0.000	0.000	0.000	0.000	0.545
10q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.974	0.271	0.000	-0.300	0.000	0.000	0.000	0.000	0.278	0.000	0.447	-0.260	0.000	0.000	0.000	0.000	0.000
11p	0.000	0.000	0.000	0.000	0.000	-0.182	0.000	0.000	-0.480	2.626	0.000	0.399	0.000	0.000	0.359	0.308	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.720	0.530	-0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.435	0.000	0.513	0.000	0.000	0.000	0.265	0.000	0.000	0.000	0.000	-0.446	-0.516	0.000	0.000	0.268	0.000	0.000	0.000
11q	0.000	0.000	0.000	0.000	0.000	-0.523	0.000	0.000	0.610	2.626	0.000	0.399	0.000	0.000	0.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.720	0.530	-0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.435	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.516	0.000	0.000	0.268	0.000	0.000	0.000
12p	0.000	0.000	0.000	0.725	0.000	0.381	0.000	0.000	-0.058	1.096	0.000	-0.433	0.000	0.000	0.000	0.311	-0.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.411	0.314	-0.095	0.000	0.000	0.000	0.314	0.000	0.000	0.424	0.000	0.000	0.298	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.887	0.000	0.000	0.319	0.000	0.298	0.362
