# Using amp_thresh=0.25, del_thresh=0.25
Sample	Low	High
MDL15-1352	-1.201000	0.690000
MDL15-2291	-1.081000	0.250000
MDL16-2187	-0.947000	0.555000
MDL16-2366	-1.346000	1.007000
MDL16-2565	-1.030000	0.250000
MDL16-2571	-0.801000	1.889000
MDL16-3157	-1.277000	0.250000
MDL16-3467	-0.829000	0.250000
MDL16-3681	-1.543000	1.544000
MDL16-372	-0.250000	2.876000
MDL16-3785	-1.161000	0.527000
MDL16-4031	-1.144000	1.756000
MDL16-4342	-1.192000	0.250000
MDL16-4473	-0.793000	0.250000
MDL16-4671	-0.707000	1.983000
MDL16-4853	-0.624000	0.561000
MDL16-5150	-1.038000	0.866000
MDL16-5262	-1.317000	0.704000
MDL17-137	-1.132000	0.793000
MDL17-1665	-1.310000	0.931000
MDL17-1897	-1.340000	0.250000
MDL17-2054	-0.687000	0.606000
MDL17-2071	-0.250000	0.250000
MDL17-2084	-1.338000	0.250000
MDL17-2385	-0.924000	3.716000
MDL17-2416	-1.215000	0.914000
MDL17-2508	-1.354000	1.140000
MDL17-2917	-1.229000	0.250000
MDL17-3055	-0.974000	1.079000
MDL17-3392	-1.177000	0.753000
MDL17-3439	-0.568000	0.564000
MDL17-3683	-1.029000	1.562000
MDL17-377	-1.189000	0.250000
MDL17-379	-0.747000	1.162000
MDL17-3883	-0.791000	0.250000
MDL17-5117	-1.207000	1.297000
MDL17-5120	-1.074000	1.304000
MDL17-5335	-1.014000	1.110000
MDL17-681	-0.824000	0.933000
MDL17-682	-0.757000	0.888000
MDL17-911	-1.344000	0.911000
MDL18-1257	-1.162000	0.528000
MDL18-1935	-1.187000	0.540000
MDL18-2281	-1.013000	0.580000
MDL18-2288	-1.311000	1.065000
MDL18-2673	-1.415000	1.497000
MDL18-3105	-1.095000	0.753000
MDL18-337	-0.886000	0.250000
MDL18-339	-1.498000	0.853000
MDL18-473	-0.595000	0.250000
MDL18-604	-1.194000	0.923000
MDL18-93	-0.615000	1.087000
