Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.13	0.14	0.801	0.458	0.02	0.02	-1.78	0.997
1q	2863	0.29	0.29	4.16	0.000173	0.00	0.00	-2.13	0.997
2p	1500	0.21	0.21	1.41	0.282	0.00	0.00	-2.62	0.997
2q	2495	0.15	0.16	0.858	0.458	0.02	0.02	-1.96	0.997
3p	1531	0.19	0.21	1.31	0.313	0.08	0.10	-0.871	0.997
3q	1708	0.35	0.35	4.36	9.3e-05	0.00	0.00	-2.33	0.997
4p	693	0.19	0.20	0.776	0.458	0.06	0.07	-1.61	0.997
4q	1467	0.12	0.12	-0.479	0.994	0.04	0.04	-1.94	0.997
5p	456	0.35	0.36	3.6	0.000968	0.04	0.06	-1.71	0.997
5q	2185	0.12	0.12	-0.0173	0.908	0.08	0.09	-0.795	0.997
6p	1664	0.13	0.15	0.2	0.822	0.10	0.11	-0.538	0.997
6q	1304	0.04	0.05	-1.87	0.994	0.17	0.18	0.64	0.863
7p	926	0.46	0.46	6.03	3.62e-08	0.00	0.00	-2.29	0.997
7q	1717	0.38	0.38	5.17	2.47e-06	0.00	0.00	-2.26	0.997
8p	795	0.31	0.36	3.67	0.000873	0.15	0.22	1.01	0.613
8q	1249	0.35	0.35	4.08	0.000191	0.02	0.03	-1.96	0.997
9p	621	0.10	0.12	-0.86	0.994	0.17	0.19	0.491	0.958
9q	1610	0.02	0.02	-2.24	0.994	0.15	0.16	0.343	0.997
10p	767	0.19	0.21	0.96	0.453	0.10	0.12	-0.744	0.997
10q	1968	0.08	0.08	-1.03	0.994	0.06	0.06	-1.41	0.997
11p	1162	0.19	0.21	1.1	0.416	0.08	0.10	-1.02	0.997
11q	2133	0.15	0.16	0.759	0.458	0.06	0.07	-1.17	0.997
12p	804	0.23	0.24	1.61	0.229	0.06	0.07	-1.47	0.997
12q	2055	0.19	0.20	1.57	0.229	0.06	0.07	-1.11	0.997
13q	1092	0.10	0.11	-0.728	0.994	0.15	0.17	0.325	0.997
14q	1829	0.23	0.24	2.18	0.0786	0.04	0.05	-1.57	0.997
15q	2082	0.04	0.05	-1.48	0.994	0.23	0.24	2.36	0.0438
16p	1378	0.02	0.02	-2.21	0.994	0.21	0.22	1.41	0.341
16q	1070	0.02	0.02	-2.33	0.994	0.19	0.20	0.839	0.719
17p	937	0.10	0.13	-0.431	0.994	0.27	0.30	2.65	0.0214
17q	2298	0.21	0.22	2.09	0.0878	0.04	0.05	-1.45	0.997
18p	212	0.06	0.07	-1.87	0.994	0.15	0.16	-0.219	0.997
18q	644	0.02	0.02	-2.5	0.994	0.17	0.18	0.234	0.997
19p	1331	0.00	0.00	-2.28	0.994	0.42	0.42	5.62	7.01e-08
19q	2402	0.06	0.07	-0.882	0.994	0.23	0.24	2.68	0.0214
20p	583	0.21	0.22	1.03	0.435	0.04	0.05	-2.02	0.997
20q	1092	0.19	0.19	0.784	0.458	0.00	0.00	-2.76	0.997
21p	92	0.02	0.11	-0.526	0.994	0.83	0.84	12.4	0
21q	750	0.15	0.17	0.0934	0.865	0.08	0.09	-1.28	0.997
22p	2	0.00	0.00	-1.82	0.994	0.71	0.71	9.96	0
22q	1258	0.00	0.00	-2.21	0.994	0.46	0.46	6.33	1.06e-09
Xp	945	0.02	0.07	-0.96	0.994	0.71	0.73	11.2	0
Xq	1533	0.04	0.12	-0.289	0.994	0.67	0.70	11.3	0
