sample	segment_count	included
MDL15-1352	940	yes
MDL15-2291	1492	yes
MDL16-2187	764	yes
MDL16-2366	875	yes
MDL16-2565	756	yes
MDL16-2571	810	yes
MDL16-3157	689	yes
MDL16-3467	868	yes
MDL16-3681	861	yes
MDL16-372	788	yes
MDL16-3785	1000	yes
MDL16-4031	960	yes
MDL16-4342	897	yes
MDL16-4473	840	yes
MDL16-4671	1195	yes
MDL16-4853	883	yes
MDL16-5150	1218	yes
MDL16-5262	860	yes
MDL17-137	961	yes
MDL17-1665	946	yes
MDL17-1897	1215	yes
MDL17-2054	1149	yes
MDL17-2071	690	yes
MDL17-2084	901	yes
MDL17-2385	844	yes
MDL17-2416	868	yes
MDL17-2508	854	yes
MDL17-2917	995	yes
MDL17-3055	773	yes
MDL17-3392	890	yes
MDL17-3439	798	yes
MDL17-3683	1322	yes
MDL17-377	917	yes
MDL17-379	838	yes
MDL17-3883	928	yes
MDL17-5117	1237	yes
MDL17-5120	890	yes
MDL17-5335	1271	yes
MDL17-681	1020	yes
MDL17-682	1056	yes
MDL17-911	760	yes
MDL18-1257	1117	yes
MDL18-1935	934	yes
MDL18-2281	1227	yes
MDL18-2288	779	yes
MDL18-2673	1072	yes
MDL18-3105	970	yes
MDL18-337	1001	yes
MDL18-339	1055	yes
MDL18-473	762	yes
MDL18-604	843	yes
MDL18-93	812	yes
