test	cor.val	p_values	FDR
2q	kruskal.test	6.70606439151842	0.152260937332313	0.780098260062084
7p	kruskal.test	7.16855462613079	0.127244500874957	0.780098260062084
7q	kruskal.test	6.48988835248836	0.165428614913902	0.780098260062084
8p	kruskal.test	7.96138639539007	0.0930029449667528	0.780098260062084
9q	kruskal.test	6.77367182328893	0.148343063133351	0.780098260062084
16q	kruskal.test	6.48827495173568	0.165530657000405	0.780098260062084
19p	kruskal.test	7.53014317631061	0.110387428112637	0.780098260062084
19q	kruskal.test	7.62577060681801	0.106289524617199	0.780098260062084
Xp	kruskal.test	6.39938943762546	0.171241081477043	0.780098260062084
3p	kruskal.test	4.44322872730979	0.349332260255117	0.860931670865407
3q	kruskal.test	5.45802016610848	0.243444259139059	0.860931670865407
4q	kruskal.test	5.01823721566337	0.285431356671876	0.860931670865407
6p	kruskal.test	4.38034893605438	0.356971668407608	0.860931670865407
8q	kruskal.test	5.65395874602044	0.226524186421972	0.860931670865407
11q	kruskal.test	5.22432319669186	0.2650451143929	0.860931670865407
16p	kruskal.test	4.58210694153806	0.332922431902701	0.860931670865407
21q	kruskal.test	4.84917070114011	0.303126535507374	0.860931670865407
1q	kruskal.test	3.33502209755649	0.503402513827476	0.898201448048592
2p	kruskal.test	3.17765754445961	0.52854717780232	0.898201448048592
4p	kruskal.test	4.00603137774852	0.405190206888674	0.898201448048592
5q	kruskal.test	3.69384981568285	0.449021065534158	0.898201448048592
9p	kruskal.test	3.74849303792359	0.441112224130452	0.898201448048592
10p	kruskal.test	2.65394056394834	0.61729813630368	0.898201448048592
10q	kruskal.test	2.6278080468315	0.621905036716192	0.898201448048592
15q	kruskal.test	3.54171053045835	0.471564573627095	0.898201448048592
17p	kruskal.test	3.24762643983177	0.517272981697558	0.898201448048592
18p	kruskal.test	2.93650853102521	0.568506154579892	0.898201448048592
18q	kruskal.test	2.7054412909653	0.60826279274584	0.898201448048592
22q	kruskal.test	2.55220212220885	0.635313219351443	0.898201448048592
14q	kruskal.test	2.32475557670343	0.676265624693057	0.924229687080511
5p	kruskal.test	1.82379780988834	0.76812563982214	0.955942442280905
6q	kruskal.test	1.33987907957744	0.854574053060712	0.955942442280905
11p	kruskal.test	2.02015352538557	0.732051910935589	0.955942442280905
12p	kruskal.test	1.60420066588208	0.808036945686171	0.955942442280905
12q	kruskal.test	1.15163591283134	0.885995434309132	0.955942442280905
13q	kruskal.test	1.22160322044128	0.874529142269197	0.955942442280905
20p	kruskal.test	1.18734945969244	0.880177022887029	0.955942442280905
20q	kruskal.test	1.47794428266795	0.830541047566778	0.955942442280905
Xq	kruskal.test	0.994522815276056	0.910625369338962	0.957324106228139
1p	kruskal.test	0.613712656488775	0.961527777633065	0.961527777633065
17q	kruskal.test	0.720854524435226	0.948732450051012	0.961527777633065
