Chromosome Arm	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9	Pat02	Pat03	Pat04	Pat06	Pat07	Pat08	Pat100	Pat101	Pat103	Pat104	Pat105	Pat106	Pat109	Pat11	Pat110	Pat113	Pat115	Pat117	Pat118	Pat119	Pat121	Pat123	Pat124	Pat126	Pat127	Pat128	Pat129	Pat13	Pat130	Pat131	Pat132	Pat133	Pat135	Pat138	Pat139	Pat14	Pat140	Pat143	Pat147	Pat148	Pat15	Pat151	Pat157	Pat159	Pat16	Pat160	Pat162	Pat163	Pat165	Pat166	Pat167	Pat168	Pat17	Pat170	Pat171	Pat174	Pat175	Pat18	Pat19	Pat21	Pat24	Pat25	Pat27	Pat28	Pat29	Pat32	Pat33	Pat36	Pat37	Pat38	Pat39	Pat40	Pat41	Pat43	Pat44	Pat45	Pat46	Pat47	Pat49	Pat50	Pat54	Pat55	Pat56	Pat57	Pat58	Pat59	Pat60	Pat62	Pat63	Pat64	Pat66	Pat67	Pat70	Pat71	Pat73	Pat74	Pat76	Pat77	Pat78	Pat79	Pat80	Pat81	Pat82	Pat83	Pat85	Pat86	Pat88	Pat90	Pat92	Pat98	CR0095	CR04885	CR06670	CR1509	CR22640	CR3665	CR4880	CR6126	CR6161	CR7623	CR9306	CR9699	CRNR0244	CRNR2472	CRNR4941	LSD0167	LSD2057	LSD3484	LSD4691	LSD4744	LSD6819	LSDNR1120	LSDNR1650	LSDNR3086	LSDNR9298	NR1867	NR2137	NR3156	NR3549	NR4018	NR4045	NR4083	NR4631	NR4810	NR4949	NR5784	NR6689	NR6721	NR6842	NR8727	NR8815	NR9341	NR9445	NR9449	NR9521	NR9705	NR9765	PR03803	PR12117	PR4035	PR4046	PR4077	PR4091	PR4092	SD0346	SD1494	SD2051	SD2056	SD5038	SD5118	SD5934	SD6336	SD6494	SD7357
1p	0.725	0.000	-0.455	0.440	0.431	0.000	0.524	0.000	0.000	0.000	0.459	-0.314	0.000	0.000	0.000	0.000	0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.055	0.516	0.000	0.000	0.000	-0.735	0.000	0.000	-0.437	0.000	0.000	0.375	0.000	0.466	0.000	1.127	0.000	0.000	0.000	0.642	-1.293	0.000	0.000	0.000	-0.624	0.000	0.000	0.674	0.000	0.721	0.000	0.006	0.000	0.000	0.000	0.627	0.000	-0.617	0.000	0.000	0.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.569	0.000	0.000	0.000	-0.391	0.000	0.000	0.000	0.000	0.000	-0.667	0.000	0.000	0.261	0.398	0.000	0.000	0.000	0.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.377	0.888	0.575	0.563	-0.528	0.000	-0.575	0.052	0.412	0.000	0.000	0.840	0.000	0.000	1.867	0.000	0.000	0.000	0.000	0.761	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.052	0.000	0.000	0.746	-0.616	0.000	0.000	0.000	0.000	0.296	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.511	1.163	0.000	-0.263	0.000	0.000	0.000	0.107	0.000	-0.252	0.000	0.000	0.319	0.000	0.000	0.000	0.331	0.000	0.000	0.000	0.000	0.406	0.000	0.000	-0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.488	0.000	0.000	-0.308	0.288	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000
1q	0.000	0.691	0.731	0.440	0.431	0.000	0.524	0.000	0.898	0.000	0.907	0.722	0.000	0.000	0.263	0.373	0.257	1.004	0.000	0.000	0.000	0.000	0.767	0.000	0.419	0.516	0.000	1.529	0.000	0.000	0.355	0.000	1.456	0.681	0.000	0.375	0.000	0.981	0.000	0.454	0.000	0.000	0.531	0.000	-1.293	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.740	0.721	0.343	0.328	0.775	0.260	0.000	0.627	0.000	-0.021	0.000	0.328	0.484	0.000	0.000	0.000	0.000	0.000	0.475	0.879	0.000	1.925	0.915	0.000	0.000	0.610	0.000	0.000	0.515	0.000	2.635	0.590	0.000	0.315	0.000	0.000	0.000	0.000	0.000	0.398	0.000	0.000	0.725	0.664	0.000	0.000	0.301	0.000	0.306	0.000	0.000	0.000	0.323	0.550	0.000	0.000	0.000	0.736	0.000	0.000	0.000	0.888	0.575	0.563	0.000	0.886	-0.222	0.447	0.412	0.000	0.000	0.840	0.000	0.633	1.867	0.000	0.000	0.000	0.000	0.761	0.417	0.000	0.000	0.000	0.631	0.337	0.374	0.000	0.419	0.000	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.923	0.365	0.000	0.000	0.000	0.504	0.000	0.442	0.799	1.163	0.642	0.000	0.000	0.349	-0.299	0.564	0.000	-0.252	0.000	0.000	0.319	0.000	0.000	0.000	0.000	0.000	0.415	0.000	0.322	0.406	0.774	1.307	-0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.732	0.000	0.000	0.587	0.000	0.000	1.349	0.000	0.000	0.000	0.843	0.936	0.000	0.000	0.000	-0.468	0.000	0.333	0.325	-0.601	0.660
2p	0.563	0.000	-0.320	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.479	0.000	0.000	0.000	0.000	0.292	0.000	0.432	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.491	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.586	0.000	0.000	0.000	0.000	0.000	0.000	-0.544	0.000	-1.293	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.791	0.596	0.000	0.000	0.000	0.000	0.000	-0.320	0.000	-0.629	0.000	-0.271	0.406	-0.827	0.000	0.000	0.000	0.424	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.040	-0.607	0.530	0.000	0.000	0.000	0.000	0.293	0.302	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.368	0.355	0.000	0.000	0.000	0.000	-0.388	0.000	0.000	0.000	0.000	0.000	-0.411	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.311	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483	0.427	0.390	0.000	0.000	0.000	0.371	-0.837	0.000	0.403	0.733	0.000	0.000	0.000	0.000	0.000	0.000	0.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.460	0.000	-0.504	0.000	0.000	0.579	0.000	0.000	0.288	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.552	0.000	-0.473	-0.308	0.000	0.000	0.000	-0.430	0.000	-0.299	-0.598	0.000	0.000	0.000	0.000	-0.294	-0.615	0.000
2q	0.000	1.451	-0.320	0.000	0.000	0.000	0.000	0.000	0.000	0.564	0.479	0.000	0.000	0.000	0.000	0.000	0.000	0.432	0.270	0.000	0.000	-0.294	0.000	0.000	0.000	0.491	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.586	0.000	0.000	0.000	0.000	0.000	0.000	-0.544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.596	0.000	0.000	0.000	0.000	0.000	-0.320	0.000	-0.629	0.000	0.000	0.406	-0.827	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	-0.250	0.000	-0.712	0.000	0.000	0.000	0.483	0.427	0.390	0.000	0.000	0.000	0.000	-0.837	0.000	0.000	0.733	0.000	0.000	0.000	0.000	0.000	0.000	0.489	0.000	0.395	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.460	0.000	-0.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.473	-0.308	0.000	0.000	0.000	-0.430	0.000	0.000	-0.598	0.370	0.000	0.000	0.000	-0.294	-0.615	0.000
3p	-0.316	0.393	-0.490	0.000	0.000	0.000	0.440	0.000	0.000	0.775	0.569	-0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.556	0.585	0.000	0.000	-0.488	0.253	0.000	-0.692	-0.723	0.000	0.000	0.501	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.480	0.000	-1.293	0.000	0.000	0.000	-0.744	-0.074	0.000	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.330	0.000	-0.654	0.000	0.000	0.277	0.000	0.000	0.000	0.000	1.558	0.000	0.000	0.000	0.000	0.527	0.000	-0.557	0.000	0.844	0.000	0.000	0.000	0.000	0.000	0.557	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.360	-0.481	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.420	0.000	0.000	0.000	0.000	-0.864	0.000	0.000	0.000	-0.804	0.000	0.338	0.000	0.000	0.476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.338	0.000	0.000	0.035	0.000	0.000	0.000	0.402	0.000	-0.449	0.000	-0.732	0.365	0.000	0.000	0.000	0.261	0.000	-0.033	0.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.346	-0.570	0.000	-0.398	0.000	0.000	0.000	0.510	0.000	0.000	0.000	0.000	0.000	0.000	0.372	0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.789	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.486	0.000	0.000	-0.298	-0.605	0.385	0.350	0.288	0.000	0.354	0.000	0.568
3q	-0.316	0.393	0.000	-0.350	0.000	0.000	0.440	0.000	0.000	0.775	0.569	-0.318	0.000	0.000	0.000	0.000	0.535	-0.383	0.000	0.000	0.000	0.556	0.585	0.000	0.000	-0.488	0.253	0.000	0.000	0.000	0.000	0.000	0.501	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.480	0.000	-0.501	0.000	0.000	0.000	0.000	-0.444	0.000	-0.552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.330	0.000	0.596	0.000	0.000	0.277	-0.859	0.000	0.000	0.000	0.000	0.000	-0.692	0.000	0.000	0.527	0.000	-0.014	0.000	0.828	0.000	0.000	0.000	0.000	-1.001	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.255	0.000	0.000	0.000	0.000	0.000	-0.360	0.000	0.000	0.000	0.000	0.000	0.000	0.286	0.000	-0.420	0.000	0.000	0.000	0.000	-0.864	0.000	0.000	0.000	-0.804	0.000	0.338	0.000	0.000	0.476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.338	0.000	-0.672	0.375	0.000	0.000	0.000	0.402	1.412	-0.449	0.000	-0.732	0.365	0.000	0.000	0.000	0.261	0.000	0.250	0.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.346	0.000	0.301	-0.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.372	0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.789	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.486	0.000	0.000	0.297	0.000	0.000	0.350	0.288	0.000	0.354	0.000	0.568
4p	0.000	-0.320	-0.316	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.467	-0.319	0.000	-0.477	0.000	0.000	-1.293	0.478	0.000	0.000	0.000	0.000	0.000	0.000	-0.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.534	0.561	0.000	0.000	0.000	-0.469	0.000	-0.296	0.000	-0.553	0.000	0.599	0.000	0.000	0.000	0.000	0.000	0.766	0.000	-0.600	0.000	0.000	0.000	-0.311	0.000	0.000	0.000	0.252	0.000	0.000	0.000	0.256	0.000	0.000	0.000	0.000	0.349	0.000	0.000	0.000	-0.317	0.000	-0.560	0.000	-0.573	0.000	0.000	0.000	0.000	0.000	0.775	0.000	-0.658	0.000	0.000	0.000	-1.005	0.000	-0.494	-0.500	-0.314	0.000	0.762	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.408	0.000	-0.521	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.444	-0.310	0.000	-0.495	0.000	0.965	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.822	0.000	0.000	0.000	0.000	0.374	0.000	0.000	0.000	0.000	0.000	0.000	-0.845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.256	-0.512	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.000	-0.513	0.000	0.000	0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.398	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.327	0.000	0.000	-0.264	0.000	0.000	0.000	-0.277	0.326	-0.309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4q	-0.308	-0.320	-0.316	0.000	0.000	-0.377	0.000	0.000	0.000	0.000	0.000	-0.319	0.000	-0.477	0.000	0.000	-1.293	-0.327	0.000	0.000	0.000	0.000	0.000	0.000	-0.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.534	0.561	0.000	0.000	0.000	-0.469	0.000	-0.296	0.000	0.000	0.000	0.599	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.600	0.000	0.000	0.000	-0.311	0.000	0.000	0.000	0.252	0.000	0.000	0.000	-0.522	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.751	-0.317	0.000	-0.560	0.000	-0.573	0.000	0.000	0.000	0.000	0.000	0.775	0.000	-0.658	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	-0.314	0.000	0.762	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.521	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.358	-0.310	0.000	-0.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.374	0.000	0.000	0.000	0.000	0.000	0.000	-0.845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.256	-0.512	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.000	-0.513	-0.429	0.000	0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.398	-0.290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.327	0.000	0.000	-0.264	-0.551	0.000	0.000	-0.277	0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.426	0.000	0.000	0.000	-0.468	0.000
5p	0.000	0.000	0.000	-0.480	0.000	0.000	0.475	0.000	0.000	0.000	-0.476	0.000	0.000	0.000	0.000	0.622	0.000	0.531	0.380	0.000	0.000	0.000	0.000	0.000	0.000	0.479	0.407	0.302	-0.701	-0.716	0.557	0.000	0.000	0.000	0.000	0.000	0.000	0.366	-0.284	-0.709	0.000	0.000	0.407	0.000	-1.293	0.000	0.000	0.000	0.000	0.319	0.000	0.000	0.000	0.000	-0.275	-0.631	0.000	0.309	0.000	-0.738	0.000	0.437	-0.440	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.657	0.000	-0.280	0.000	0.000	0.000	-0.508	-0.732	-0.484	0.000	0.000	0.000	0.000	0.064	0.339	0.000	0.000	-0.282	-0.842	-0.678	0.000	-0.529	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.288	0.000	0.000	-0.320	0.000	0.000	0.398	-0.530	0.000	0.000	0.292	0.000	-0.838	0.000	-0.769	-0.292	-0.795	0.000	0.420	0.000	0.000	-0.576	-0.004	0.000	0.376	0.000	1.981	0.000	0.000	0.000	-0.356	-0.330	0.000	0.000	0.000	0.000	0.000	-0.595	0.000	0.000	0.000	0.495	0.000	0.518	-0.555	0.000	0.425	0.000	0.000	0.296	0.000	0.000	0.000	-0.356	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.464	0.000	0.293	0.000	0.000	0.453	0.000	0.000	0.000	0.523	0.000	-0.406	0.000	0.000	0.000	0.000	0.000	-0.688	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.688	0.000	0.000	0.000	0.432	0.000	0.000	-0.277	0.707	0.000	-0.484	0.000	0.000	-0.616	0.000	0.000	-0.460	0.000	0.000	0.840	1.894	1.001
5q	0.000	0.000	0.000	-0.480	0.000	-0.342	0.475	0.000	0.000	0.000	-0.476	0.000	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.053	0.000	0.302	-0.701	-0.716	0.557	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.709	0.000	0.000	1.151	-0.689	-1.293	0.000	0.000	0.000	0.000	0.319	0.000	-0.382	0.000	0.000	-0.275	-0.631	0.000	0.000	0.000	-0.302	0.000	0.437	-0.440	0.000	0.000	0.000	0.000	0.000	0.443	-0.558	0.000	0.000	0.000	0.000	0.000	0.000	-0.508	-1.293	0.000	0.000	0.000	0.000	0.000	-0.566	-0.555	0.000	0.000	-0.282	-0.310	-0.678	0.000	-0.529	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.288	-0.547	0.000	0.000	0.000	0.000	0.000	-0.530	0.000	0.000	0.292	0.000	-0.838	0.000	-0.769	0.000	-0.795	0.000	0.000	0.387	0.000	-0.576	-0.383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.330	0.000	0.000	0.000	0.000	0.000	-0.595	0.000	0.000	0.000	0.000	0.000	0.518	-0.876	0.000	0.425	0.000	0.000	0.000	0.000	0.000	-0.406	-0.356	0.000	0.000	-0.261	-0.514	0.000	0.000	0.000	0.000	0.000	-0.296	-0.464	0.000	0.326	0.000	0.000	0.453	0.000	-0.251	0.000	0.523	0.000	-0.637	0.000	-0.367	0.000	0.000	0.000	-0.688	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.688	0.000	0.000	0.000	-0.007	0.000	0.000	-0.277	0.000	0.000	-0.484	0.000	0.000	-0.616	0.000	0.000	-0.460	0.000	0.000	0.000	1.894	0.000
