# Using amp_thresh=0.25, del_thresh=0.25
Sample	Low	High
Pt1	-1.098000	0.975000
Pt10	-1.005000	2.047000
Pt11	-0.762000	0.981000
Pt12	-0.764000	1.744000
Pt13	-0.728000	1.172000
Pt14	-0.673000	1.095000
Pt15	-0.791000	1.560000
Pt16	-0.250000	0.760000
Pt17	-0.722000	1.148000
Pt18	-0.674000	1.025000
Pt19	-0.743000	1.197000
Pt2	-0.935000	0.972000
Pt20	-0.505000	0.636000
Pt21	-1.543000	2.965000
Pt22	-0.508000	0.558000
Pt23	-0.710000	1.285000
Pt24	-1.543000	1.309000
Pt25	-0.850000	1.315000
Pt26	-0.562000	0.630000
Pt27	-0.910000	0.956000
Pt28	-0.250000	0.250000
Pt29	-0.578000	1.453000
Pt3	-1.014000	1.325000
Pt30	-0.250000	0.677000
Pt31	-0.763000	0.885000
Pt32	-1.543000	1.245000
Pt33	-0.250000	0.657000
Pt34	-0.823000	2.108000
Pt35	-0.951000	0.996000
Pt36	-0.985000	0.250000
Pt37	-0.782000	1.301000
Pt38	-0.250000	0.250000
Pt4	-0.790000	1.706000
Pt5	-0.865000	2.355000
Pt6	-0.250000	1.552000
Pt7	-0.703000	2.276000
Pt9	-0.250000	0.650000
Pat02	-0.998000	1.231000
Pat03	-0.597000	0.653000
Pat04	-0.959000	1.377000
Pat06	-0.515000	0.568000
Pat07	-0.890000	1.268000
Pat08	-0.938000	1.401000
Pat100	-0.939000	1.425000
Pat101	-1.543000	3.907000
Pat103	-0.250000	0.250000
Pat104	-0.250000	1.855000
Pat105	-0.250000	0.250000
Pat106	-1.131000	0.926000
Pat109	-0.694000	1.070000
Pat11	-0.250000	0.691000
Pat110	-0.850000	0.924000
Pat113	-1.126000	1.125000
Pat115	-0.828000	1.475000
Pat117	-0.909000	0.921000
Pat118	-0.909000	1.301000
Pat119	-1.110000	1.253000
Pat121	-0.250000	0.880000
Pat123	-0.250000	1.117000
Pat124	-1.052000	1.627000
Pat126	-1.164000	1.745000
Pat127	-0.950000	1.927000
Pat128	-0.796000	1.888000
Pat129	-0.901000	2.146000
Pat13	-0.731000	0.734000
Pat130	-1.109000	0.652000
Pat131	-0.250000	0.250000
Pat132	-0.691000	0.622000
Pat133	-0.712000	0.693000
Pat135	-1.093000	1.808000
Pat138	-0.780000	1.255000
Pat139	-1.189000	1.865000
Pat14	-0.604000	1.466000
Pat140	-0.250000	2.175000
Pat143	-0.920000	2.251000
Pat147	-0.250000	0.250000
Pat148	-0.857000	0.841000
Pat15	-1.543000	2.346000
Pat151	-0.734000	1.099000
Pat157	-1.135000	1.997000
Pat159	-1.115000	1.015000
Pat16	-1.077000	0.809000
Pat160	-1.147000	2.885000
Pat162	-1.543000	1.356000
Pat163	-0.952000	0.807000
Pat165	-0.957000	0.818000
Pat166	-1.022000	1.651000
Pat167	-0.932000	3.907000
Pat168	-1.543000	2.072000
Pat17	-0.928000	0.928000
Pat170	-0.831000	1.145000
Pat171	-0.787000	0.665000
Pat174	-0.643000	0.960000
Pat175	-0.753000	0.250000
Pat18	-0.733000	1.793000
Pat19	-0.907000	1.035000
Pat21	-0.547000	0.250000
Pat24	-1.007000	2.049000
Pat25	-0.613000	0.947000
Pat27	-0.795000	0.816000
Pat28	-0.632000	0.605000
Pat29	-0.797000	1.132000
Pat32	-0.250000	1.699000
Pat33	-0.865000	0.658000
Pat36	-0.588000	0.573000
Pat37	-0.798000	1.796000
Pat38	-0.638000	0.648000
Pat39	-0.780000	0.776000
Pat40	-0.974000	1.297000
Pat41	-1.046000	1.051000
Pat43	-0.851000	1.860000
Pat44	-1.113000	0.997000
Pat45	-1.165000	1.282000
Pat46	-0.967000	1.438000
Pat47	-1.043000	1.008000
Pat49	-0.834000	0.813000
Pat50	-1.073000	1.123000
Pat54	-1.167000	1.136000
Pat55	-0.825000	1.142000
Pat56	-0.764000	1.990000
Pat57	-1.042000	2.325000
Pat58	-0.885000	1.083000
Pat59	-0.633000	0.600000
Pat60	-0.250000	2.229000
Pat62	-0.929000	0.692000
Pat63	-0.857000	1.121000
Pat64	-1.127000	2.231000
Pat66	-0.808000	1.883000
Pat67	-0.932000	0.971000
Pat70	-1.030000	2.393000
Pat71	-0.606000	0.620000
Pat73	-0.936000	1.071000
Pat74	-1.124000	0.975000
Pat76	-0.966000	0.786000
Pat77	-0.646000	0.723000
Pat78	-0.250000	0.250000
Pat79	-0.949000	0.989000
Pat80	-0.860000	1.595000
Pat81	-0.902000	1.399000
Pat82	-0.829000	1.662000
Pat83	-0.699000	1.983000
Pat85	-0.250000	0.745000
Pat86	-1.010000	1.703000
Pat88	-0.688000	0.996000
Pat90	-1.155000	1.385000
Pat92	-0.250000	0.250000
Pat98	-1.317000	2.285000
CR0095	-0.777000	1.744000
CR04885	-1.047000	0.937000
CR06670	-0.672000	1.173000
