sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2362	3p	5	2	29814516	29814516	1	GAIN
X2362	8p	1	0	36118600	36118600	1	LOSS BEFORE & AFTER
X2362	9q	1	0	30810598	33912298	0.91	LOSS BEFORE & AFTER
X2362	10q	3	1	32619314	38625114	0.84	LOSS AFTER
X2362	11p	1	0	3931500	3931500	1	LOSS BEFORE & AFTER
X2362	13q	1	0	96152851	96152851	1	LOSS BEFORE & AFTER
X2362	14q	2	0	64250365	64603675	0.99	LOSS BEFORE
X2362	15q	3	0	23686562	23786462	1	CNLOH BEFORE & LOSS
X2362	16p	3	1	31092545	31092545	1	LOSS AFTER
X2362	17p	2	0	15212154.5	15557052.5	0.98	LOSS BEFORE
X2362	18p	3	1	7305460.5	8837028.5	0.83	LOSS AFTER
X2362	18q	4	2	53384800	62085890.5	0.86	TETRAPLOID
X2362	19p	4	2	19309496	19309496	1	TETRAPLOID
X2362	20p	4	1	13019715	13019715	1	CNLOH AFTER
X2362	20q	5	2	29004331	35832166	0.81	GAIN
X2362	21q	3	1	34255166	34786785	0.98	LOSS AFTER
X2362	23q	4	1	61191369	71963454	0.85	CNLOH AFTER
