sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL16-5150	1p	4	2	65118400	74067191.5	0.88	TETRAPLOID
MDL16-5150	2p	3	0	6296951	6789151	0.93	CNLOH BEFORE & LOSS
MDL16-5150	3p	4	2	13525316	13727716	0.99	TETRAPLOID
MDL16-5150	4p	4	2	40731106	40731106	1	TETRAPLOID
MDL16-5150	4q	4	2	114526094	134882294	0.85	TETRAPLOID
MDL16-5150	5q	3	0	93537074	106869212	0.88	CNLOH BEFORE & LOSS
MDL16-5150	6p	2	0	1585511	1585511	1	LOSS BEFORE
MDL16-5150	6q	2	0	89498498	109980627	0.81	LOSS BEFORE
MDL16-5150	7p	1	0	597200	597200	1	LOSS BEFORE & AFTER
MDL16-5150	8q	4	2	66443301	72761804	0.91	TETRAPLOID
MDL16-5150	9p	2	1	5365496.5	5365496.5	1	DOUBLE LOSS AFTER
MDL16-5150	10q	3	0	36520700	41104776	0.89	CNLOH BEFORE & LOSS
MDL16-5150	11p	1	0	2262500	2262500	1	LOSS BEFORE & AFTER
MDL16-5150	13q	3	0	94762135	96149235	0.99	CNLOH BEFORE & LOSS
MDL16-5150	15q	3	1	26042793	27268693	0.96	LOSS AFTER
MDL16-5150	18p	5	0	12200952.5	12200952.5	1	CNLOH BEFORE & GAIN
MDL16-5150	18q	4	2	59124019	61923256.5	0.95	TETRAPLOID
MDL16-5150	21q	4	2	25266405	30733412	0.82	TETRAPLOID
MDL16-5150	22q	2	1	29274475	34937917	0.84	DOUBLE LOSS AFTER
MDL16-5150	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
MDL16-5150	23q	2	0	89032974.5	95517722.5	0.93	LOSS BEFORE
