Chromosome Arm	X1032	X103	X1040	X106	X1097	X1098	X1172	X1177	X1192	X1196	X119	X120	X1230	X1237	X1265	X1269	X1283	X128	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X2316	X2354	X2357	X2360	X2362	X2374	X23	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X935	X93	X94	X970	X987	X991
1p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.478	0.000	0.000	0.000	0.000	-0.555	0.000	0.254	0.000	0.000	0.000	0.000	0.264	0.474	0.000	0.000	0.000	0.000	0.319	0.000	0.000	0.253	0.000	0.000	0.000	0.382	0.000	0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.340	0.000	0.382	0.000	-0.279	0.000	0.000	0.000	0.256	0.000	0.000	0.000	0.000	-0.418	0.000	0.000	0.000	0.000	0.000	0.469	0.462	0.374	0.801	0.000	0.000	0.000	-0.623	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.680	0.000	0.000	0.000	0.000	0.000	0.842	0.000	0.000	0.000	0.000	-0.255	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.298	0.000	0.000	0.000	0.937	0.380
1q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.829	1.044	0.873	0.923	0.000	0.000	0.000	0.835	0.000	0.000	0.000	0.000	0.000	0.000	1.279	0.000	0.593	0.000	0.000	0.319	0.000	0.000	0.000	0.000	0.000	0.000	0.382	0.000	0.318	0.000	0.000	0.000	0.000	0.000	0.582	0.000	0.340	0.000	0.382	0.000	0.000	0.000	0.000	0.439	0.256	0.000	0.000	0.000	0.000	-0.418	0.000	0.000	0.718	0.000	0.466	0.469	0.462	0.374	0.801	0.000	0.000	0.000	0.612	0.000	0.000	0.000	0.000	-0.478	0.000	0.457	0.000	0.000	0.647	0.000	0.000	0.000	0.000	0.314	0.000	1.064	0.000	0.000	0.000	0.000	0.000	0.842	0.000	0.000	0.000	-0.299	0.692	0.000	0.000	0.000	0.000	0.321	0.000	0.000	0.000	0.000	0.322	0.597	0.000	0.000	0.298	0.000	0.000	0.000	0.937	0.930
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.000	0.000	0.000	0.000	0.000	0.918	0.000	0.000	0.000	0.000	0.000	0.000	-0.343	0.000	0.674	0.000	0.000	0.000	0.000	0.000	0.384	0.000	0.000	0.000	0.000	-0.078	0.000	0.000	0.000	-0.338	0.000	0.000	0.000	0.281	0.000	0.300	0.495	0.334	0.661	0.563	0.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.681	0.000	0.500	0.324	0.270	0.423	0.378	0.000	0.000	0.000	1.177	0.548	0.000	0.000	0.000	0.000	0.000	0.312	0.894	0.000	-0.367	0.000	0.000	0.286	0.000	0.000	0.000	0.670	0.000	0.000	0.000	0.754	0.000	0.822	0.000	0.265	0.000	0.034	0.631	0.000	0.000	0.000	0.000	0.000	0.000	-0.820	0.000	0.000	0.000	0.000	0.000	0.000	1.010	0.000	0.000	0.000	2.170	0.000
2q	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.418	1.005	0.000	0.000	0.870	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.343	0.000	0.674	0.000	0.000	0.000	0.390	0.000	0.384	0.000	0.000	0.000	0.000	-0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.281	0.000	0.300	0.495	0.334	0.000	0.000	0.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.681	0.000	0.500	0.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.548	0.000	0.000	0.000	0.000	0.000	0.312	0.000	0.000	-0.367	0.000	0.000	0.286	0.000	0.000	0.000	0.670	0.000	0.000	-0.687	0.754	0.000	0.282	0.000	0.265	0.000	-0.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3p	0.000	0.000	-0.251	0.000	-0.848	0.557	-0.809	0.304	0.000	0.000	0.329	-0.634	0.155	-0.559	0.000	0.978	0.620	0.605	0.000	0.000	0.000	0.349	-0.613	0.000	-0.310	0.000	0.000	0.000	0.000	0.000	0.578	0.000	0.497	0.000	0.000	0.000	0.000	0.576	0.463	0.000	0.000	1.363	0.000	0.407	0.853	0.444	0.406	0.000	0.000	-0.273	-0.303	-0.321	-0.612	0.483	0.000	0.000	0.000	0.000	0.000	-0.351	0.507	0.316	0.000	0.482	0.000	0.000	0.000	0.000	0.000	0.651	0.000	0.000	0.000	0.250	-0.401	0.000	0.000	0.439	0.000	0.000	-0.364	0.000	-0.319	0.000	0.367	0.582	-0.383	0.000	0.000	0.000	0.000	0.000	0.000	0.254	-0.491	0.000	-0.468	0.347	0.000	0.000	0.000	0.000	0.360	0.000	0.000	0.000	-0.633	-0.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.699	0.000
3q	0.000	0.000	0.000	0.000	1.186	0.557	0.000	0.304	0.536	0.000	0.329	0.376	0.542	0.000	0.000	0.978	0.620	0.605	0.000	0.893	0.000	0.349	-0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.578	0.000	0.497	0.675	0.000	0.000	0.000	0.576	0.463	0.599	0.559	1.363	0.000	0.407	0.853	0.444	0.406	0.000	1.321	0.630	-0.303	0.000	1.840	0.483	0.614	0.000	0.000	0.000	0.000	0.000	0.000	0.316	0.290	0.482	0.000	1.191	0.461	0.313	0.699	0.651	0.000	0.000	0.000	0.250	0.946	0.000	0.264	0.705	0.000	0.000	0.000	0.000	0.594	0.000	1.694	0.582	0.660	0.000	0.000	0.000	0.827	0.000	0.914	0.254	1.505	0.293	0.000	0.347	0.000	0.000	0.000	0.000	0.360	0.000	0.000	0.677	0.869	0.449	0.480	0.508	0.000	0.000	0.000	0.000	0.000	0.699	0.000
4p	0.000	-0.771	0.000	0.000	0.245	0.000	-0.890	-0.427	0.000	-0.916	0.000	-0.573	-0.879	-0.566	-0.870	-0.576	-0.618	-0.260	0.000	0.000	-0.498	-0.492	-0.618	-0.805	-0.837	0.000	-0.564	-0.827	-0.505	-0.454	0.000	-0.609	0.000	-0.466	-0.267	0.000	0.000	-0.660	0.000	-0.365	-0.010	-0.335	0.000	-0.302	0.000	0.000	0.000	-0.277	0.000	0.000	0.000	-0.330	-0.900	0.000	-0.258	-0.621	-0.492	0.000	-0.570	-0.447	-0.780	-0.181	0.000	0.000	0.000	1.276	0.000	0.000	0.000	0.000	0.000	-0.726	-0.463	0.000	-0.467	0.000	0.000	-0.265	0.000	0.000	0.000	-0.328	-0.367	-0.298	-0.586	-0.672	-0.404	0.000	0.000	-0.679	0.000	0.000	-0.363	0.000	-0.479	0.000	-0.482	-0.298	0.000	0.000	-0.707	0.000	-0.480	-0.615	-0.811	0.000	-0.623	-0.515	-0.191	0.000	0.000	-0.405	-0.668	-0.726	0.000	0.000	-0.545
4q	-0.259	-0.771	0.000	0.000	0.000	0.000	-0.890	-0.427	0.000	-0.916	0.000	-0.573	-0.879	-0.566	-0.870	-0.576	-0.618	-0.260	0.000	0.000	-0.498	-0.492	-0.618	-0.805	-0.837	0.000	-0.564	-0.827	-0.505	-0.454	-0.563	0.000	0.000	-0.466	-0.267	0.000	0.000	-0.403	0.000	-0.365	0.472	-0.335	0.000	-0.302	0.000	0.000	0.000	-0.277	0.000	0.000	0.000	-0.330	-0.900	0.000	-0.258	-0.621	-0.492	0.000	-0.570	-0.447	-0.780	-0.654	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.726	-0.463	0.000	-0.467	-0.540	0.000	-0.265	0.000	0.000	0.000	-0.328	-0.367	-0.298	0.000	-0.672	-0.404	0.000	0.000	-0.679	0.000	0.000	-0.726	0.000	-0.479	0.000	-0.482	-0.298	0.000	0.000	-0.707	0.000	0.000	-0.615	-0.811	0.000	-0.623	-0.515	0.375	0.000	0.000	-0.405	-0.668	0.000	0.000	0.000	-0.545
5p	0.779	0.000	0.000	0.000	-0.354	-0.324	-0.899	-0.436	0.000	0.000	-1.258	0.000	1.174	-0.600	0.000	-0.473	0.000	0.000	0.000	0.000	-0.390	-0.501	-0.003	0.000	0.269	-0.585	0.571	0.000	0.000	-0.389	0.498	0.000	0.542	0.896	0.000	0.000	0.000	0.968	0.266	0.000	1.622	1.136	-0.732	-0.034	0.000	0.380	0.568	0.000	1.479	-0.297	0.306	0.000	0.000	0.000	0.000	0.273	-0.113	0.000	0.000	-0.452	0.000	-0.310	0.000	-0.503	-0.026	0.457	0.000	0.000	0.000	-0.633	0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.258	0.000	-0.389	-0.358	0.000	-0.381	0.000	0.000	0.525	-0.412	0.000	0.749	0.000	1.039	0.000	0.000	-0.593	0.000	0.347	0.433	0.555	0.000	0.000	-0.748	-0.570	0.257	0.000	0.416	0.000	0.709	-0.526	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581
5q	0.255	0.000	0.000	0.000	-0.851	-0.324	-0.899	0.000	0.000	0.000	0.000	0.000	1.174	-0.600	0.000	-0.473	0.000	0.000	0.000	0.000	0.000	-0.501	-0.602	0.000	0.000	-0.585	0.000	0.000	0.000	-0.389	0.000	0.000	0.252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.732	-0.290	0.000	0.380	0.568	0.000	0.000	-0.297	0.000	0.000	0.000	0.000	0.000	0.000	-0.469	0.000	0.000	-0.452	0.000	-0.310	0.000	-0.503	-0.534	0.000	0.000	0.000	0.000	-0.633	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.019	0.000	0.000	-0.358	0.000	-0.381	0.000	-0.463	0.525	-0.412	0.000	0.000	-0.655	0.000	0.000	0.000	-0.593	0.000	0.000	-0.439	0.000	0.000	0.000	-0.748	-0.304	-0.333	0.000	0.000	0.000	0.709	-0.526	0.000	-0.425	0.000	0.000	0.000	0.000	0.000	0.000	0.581
6p	-0.266	0.000	0.000	0.000	0.405	0.267	0.000	-0.008	1.659	-0.912	0.640	-0.586	-0.378	0.000	-0.881	0.548	-0.270	0.820	0.000	0.000	-0.477	-0.452	0.000	-0.805	0.000	-0.636	0.287	-0.797	0.000	0.000	0.000	0.000	0.259	0.000	0.000	0.668	0.000	0.342	0.000	0.000	0.446	2.220	0.000	0.690	0.258	0.480	0.000	0.000	0.000	-0.293	0.441	0.000	0.716	1.105	0.312	0.309	0.000	0.000	-0.596	1.140	0.000	0.364	0.000	0.286	0.000	-0.356	0.000	0.000	0.000	0.375	0.000	-0.310	-0.496	0.000	0.000	0.000	0.000	0.785	0.000	-0.910	0.000	0.573	1.540	-0.368	0.000	-0.678	0.000	0.000	0.000	-0.715	1.154	0.000	0.000	0.678	0.224	-0.288	0.000	0.350	0.000	0.000	0.000	-0.380	0.000	-0.588	0.720	0.000	0.089	-0.527	-0.201	0.000	0.000	0.255	-0.670	-0.756	0.000	0.454	-0.416
6q	-0.266	0.000	0.000	0.000	0.000	0.000	0.000	-0.427	-0.550	-0.912	0.640	-0.586	0.000	0.000	-0.881	0.815	-0.270	0.000	0.000	0.000	-0.477	-0.452	0.000	-0.805	-0.838	-0.636	0.287	-0.797	-0.289	0.000	-0.554	-0.746	0.000	0.000	0.000	0.000	0.000	0.342	0.000	0.323	0.446	0.000	-0.744	-0.669	0.258	0.000	0.000	0.000	0.000	-0.293	-0.312	0.000	0.000	0.738	0.312	-0.300	-0.431	0.000	-0.596	0.000	0.000	-0.279	0.000	0.000	0.000	-0.356	0.000	0.000	0.000	0.000	0.000	0.000	-0.496	0.000	0.000	-0.601	0.000	0.785	0.000	-0.910	0.000	0.000	-0.680	-0.368	0.000	-0.678	-0.423	0.000	0.000	-0.715	1.154	0.000	0.000	0.678	-0.495	-0.288	0.360	0.350	0.000	0.000	0.000	-0.380	0.000	-0.588	0.000	0.000	-0.611	-0.527	-0.699	0.000	0.000	0.255	-0.670	-0.756	-0.779	0.000	-0.416
7p	0.000	-0.771	0.000	0.000	-0.860	0.512	-0.895	-0.454	0.512	0.000	0.391	-0.341	0.000	0.000	0.000	0.464	0.000	0.302	0.000	0.000	0.000	-0.511	-0.604	0.000	0.000	0.603	0.000	0.000	-0.519	-0.515	0.000	0.000	0.695	0.842	-0.275	0.000	0.000	0.253	0.000	-0.337	0.621	-0.289	0.836	-0.312	-0.612	0.265	0.000	-0.307	0.000	0.000	0.000	0.000	0.000	0.477	0.348	0.000	0.000	0.000	0.000	0.000	0.000	-0.397	0.253	0.745	0.427	-0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.494	0.000	0.379	0.000	0.000	0.000	0.000	0.366	0.000	0.474	-0.341	0.000	-0.278	0.000	0.000	0.000	0.000	0.000	0.706	0.000	0.285	0.000	0.412	0.000	-0.049	0.000	0.000	0.000	0.000	0.000	-0.373	0.000	0.007	0.000	-0.307	0.000	0.453	-0.502	0.000	0.253	-0.680	-0.494	0.000	0.280	0.000
7q	0.000	0.752	0.000	0.000	1.258	0.512	0.790	0.437	0.512	0.000	0.391	0.000	0.000	0.000	0.000	0.464	0.000	0.302	0.000	0.000	0.000	0.360	-0.604	0.000	0.000	0.000	0.000	0.000	0.470	0.666	0.000	0.751	0.000	0.842	-0.275	0.000	0.000	0.253	0.000	0.000	0.621	-0.289	0.836	0.000	0.000	0.265	0.338	-0.307	0.000	0.473	0.000	0.000	0.000	0.477	0.348	0.421	0.000	0.000	0.000	0.000	0.000	-0.397	0.253	0.745	0.427	0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.494	0.000	1.456	0.000	0.000	0.000	0.000	0.366	0.000	0.474	-0.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.706	0.000	0.285	0.000	0.412	0.705	0.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.792	0.000	0.338	0.000	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.280	0.000
8p	0.280	-0.745	-0.298	0.000	0.000	1.102	-0.187	0.022	-0.066	0.000	-0.700	-0.621	0.655	-0.582	0.000	0.433	-0.648	-0.678	0.000	-0.817	0.452	0.271	-0.608	0.000	-0.857	-0.673	-0.736	0.000	-0.870	0.576	-0.575	0.874	0.000	-0.491	-0.276	0.000	0.000	-0.857	0.000	0.656	-0.413	-0.659	1.401	0.269	0.000	1.955	0.531	-0.260	-0.825	0.000	-0.291	0.245	0.160	-0.797	0.326	0.705	-0.442	-0.367	0.000	-0.432	-0.787	-0.615	0.000	-1.009	0.593	-0.363	-0.013	0.000	0.000	0.000	-0.288	0.705	-0.529	0.566	1.016	-0.563	0.495	-0.131	0.000	-0.407	0.000	-0.482	0.318	0.000	0.404	1.236	-0.407	-0.287	0.271	-0.297	0.759	0.290	1.025	-0.285	0.000	-0.417	-0.498	1.571	0.000	0.000	-0.629	-0.650	0.355	-0.584	0.000	0.000	0.000	0.084	-0.650	-0.519	0.000	-0.441	2.495	0.009	-0.798	-1.036	0.581
8q	0.533	-0.745	-0.298	0.000	0.000	0.650	0.661	0.430	0.971	0.000	1.979	0.000	1.580	-0.582	0.000	0.433	0.000	0.817	0.000	0.000	0.739	0.271	-0.608	0.000	0.000	-0.673	-0.736	0.000	0.822	0.576	-0.032	1.481	0.000	0.000	0.000	0.000	0.428	1.812	0.000	0.656	0.000	0.873	2.112	0.582	1.286	2.637	0.531	0.000	1.279	0.000	0.340	0.927	1.041	0.387	0.326	0.705	-0.442	0.000	0.000	0.000	0.000	-0.615	0.000	0.526	0.593	0.470	0.275	0.267	0.000	-0.660	0.000	0.705	0.000	0.566	1.533	-0.563	0.495	0.251	0.291	-0.407	0.416	0.000	0.986	0.000	0.988	1.903	-0.407	0.000	0.271	0.747	1.606	0.290	1.025	0.347	-0.367	0.000	0.423	1.571	0.000	0.000	0.000	0.000	2.491	0.000	1.126	0.000	0.000	0.589	0.000	0.000	0.000	0.212	2.965	0.790	2.428	0.000	0.581
9p	0.624	0.000	-0.253	0.000	0.000	-0.656	0.000	-0.413	-0.533	-0.876	2.755	-0.642	1.112	-0.580	-0.827	0.000	0.000	0.000	0.000	0.000	-0.464	0.900	-0.593	0.000	0.000	0.000	-0.641	-0.735	-0.490	-0.320	0.000	-0.122	0.322	-0.380	0.000	0.000	0.000	-0.421	0.319	-0.323	0.925	-0.306	0.543	0.051	-0.291	0.314	-0.392	-0.272	-0.849	0.000	0.000	-0.667	-0.893	0.360	-0.515	-0.377	0.000	0.000	-0.511	-0.127	-0.787	0.000	0.000	-0.512	0.431	-0.428	0.000	0.000	0.000	-0.510	0.000	0.000	0.345	0.000	0.499	-0.655	0.000	0.109	0.000	-0.377	0.000	0.283	-0.671	0.000	-0.582	0.000	-0.317	-0.276	0.000	-0.688	0.000	0.000	1.504	0.000	-0.469	0.000	-0.402	0.000	0.000	0.000	-0.759	0.000	-0.456	-0.624	0.000	0.000	0.000	-0.545	0.000	-0.516	0.000	-0.469	-0.557	0.000	-0.809	0.000	0.000
9q	0.624	0.000	-0.253	0.000	0.000	-0.656	-0.766	-0.413	-0.533	-0.876	-0.634	-0.642	-0.366	-0.580	-0.827	0.000	0.000	0.000	0.000	0.000	-0.464	0.000	-0.593	0.000	0.000	0.000	-0.641	-0.735	-0.490	-0.320	0.000	-0.383	-0.281	-0.380	0.000	0.000	0.000	-0.421	0.000	-0.323	0.439	-0.306	0.000	-0.296	-0.291	-0.673	-0.392	-0.272	0.000	0.000	0.000	-0.349	-0.893	-0.232	-0.515	-0.377	0.000	0.000	-0.511	-0.461	-0.787	0.000	0.000	-0.512	-0.342	-0.428	0.000	0.000	0.000	0.000	0.000	0.832	0.345	0.000	0.499	-0.655	0.000	-0.295	0.000	-0.377	0.000	-0.301	-0.671	0.000	-0.582	0.000	-0.317	-0.276	0.000	0.000	0.000	0.000	0.000	0.000	-0.469	0.000	0.000	0.000	0.000	0.000	-0.759	0.000	0.000	-0.624	0.000	0.000	0.000	-0.545	0.000	-0.516	0.000	0.000	0.000	0.000	-0.809	0.000	0.000
10p	0.000	-0.745	0.000	0.000	0.000	0.005	0.744	0.433	0.739	-0.904	0.330	0.000	0.000	-0.578	-0.862	0.681	-0.260	0.000	0.000	0.000	0.000	-0.449	0.000	0.794	-0.849	-0.659	0.000	-0.793	0.000	0.145	-0.537	0.000	0.000	0.753	0.000	0.000	0.000	1.533	0.000	-0.360	-0.557	0.767	0.000	-0.324	0.639	0.000	0.954	0.000	1.502	0.000	0.000	0.000	0.858	0.000	0.000	-0.571	-0.358	0.000	0.000	0.000	0.000	-0.596	0.592	0.001	0.343	-0.022	0.000	0.000	0.000	0.000	0.521	-0.690	-0.505	0.000	0.600	0.000	0.251	0.195	0.000	0.000	0.000	0.308	0.803	0.000	-0.258	0.000	-0.379	-0.299	0.000	0.000	0.424	0.000	0.000	0.000	0.928	-0.323	0.000	0.334	0.000	0.000	-0.744	0.000	-0.045	-0.643	0.000	0.000	0.609	0.412	0.000	0.000	0.000	-0.255	-0.672	-0.727	0.759	-0.276	0.431
10q	0.000	0.000	0.000	0.000	0.000	-0.320	0.000	0.000	-0.435	0.000	0.000	0.000	0.000	0.000	0.000	-0.907	-0.260	0.000	0.000	0.000	0.000	-0.449	0.000	0.794	-0.849	-0.659	0.000	-0.793	0.000	-0.403	-0.537	0.000	0.000	0.753	0.000	0.000	0.000	0.000	0.000	-0.360	-0.557	0.379	0.000	-0.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.858	0.000	0.000	-0.571	0.000	0.000	0.000	-0.884	0.000	-0.596	0.592	-0.471	0.000	0.417	0.000	0.000	0.000	0.000	0.000	-0.690	0.000	0.000	0.600	0.000	0.000	-0.319	0.000	0.000	0.000	0.308	0.000	0.000	0.000	0.000	-0.379	-0.299	0.000	0.000	0.000	0.000	0.264	0.000	0.511	0.000	0.000	0.334	0.000	0.000	0.000	0.000	-0.399	-0.643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.727	0.759	0.000	0.431
11p	0.000	-0.779	0.000	0.000	0.000	-0.613	0.000	-0.288	-0.304	0.000	0.434	0.000	-0.535	-0.578	0.000	0.000	0.000	0.341	0.000	0.000	0.000	-0.489	0.680	-0.797	-0.839	0.000	0.382	0.000	-0.062	-0.481	0.000	-0.627	0.396	0.000	-0.256	0.000	0.000	-0.420	0.000	0.405	-0.618	0.000	0.000	-0.269	0.000	0.000	-0.392	0.000	0.000	0.000	0.290	0.000	-0.899	0.866	0.000	0.000	0.000	0.000	0.000	-0.452	0.000	0.000	0.000	-0.495	0.000	-0.404	0.000	0.000	0.000	0.000	0.000	0.000	-0.513	0.000	-0.495	0.000	0.000	-0.289	0.000	-0.372	0.000	-0.288	0.611	-0.644	0.000	0.000	0.000	-0.267	0.000	-0.552	0.489	0.000	-0.726	-0.520	-0.423	0.000	-0.480	0.000	0.000	0.000	0.000	-0.290	0.764	0.000	-0.781	0.000	-0.252	0.000	-0.717	0.117	0.000	-0.303	0.000	-0.760	-0.812	0.000	0.000
11q	0.000	0.000	0.000	0.289	0.000	-0.613	0.000	0.000	0.000	0.000	0.434	0.000	0.673	-0.578	0.000	0.000	0.000	0.341	0.000	0.000	0.000	-0.093	0.680	-0.797	-0.839	0.000	0.382	0.000	0.418	-0.481	0.000	0.000	0.396	0.000	-0.256	0.000	0.000	-0.108	0.000	-0.336	0.521	0.000	0.000	-0.269	0.000	0.927	-0.012	0.000	0.749	0.000	0.290	0.355	0.000	0.472	0.000	0.000	0.000	0.000	0.000	-0.452	0.000	0.000	0.000	0.522	0.000	-0.404	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.660	0.000	0.000	-0.289	0.319	-0.372	0.287	0.000	0.611	-0.644	0.000	0.458	0.000	0.000	0.000	0.000	0.000	0.000	-0.726	0.000	-0.423	0.000	-0.480	0.485	0.000	0.000	0.000	-0.290	0.764	0.000	0.000	0.000	0.000	0.000	0.000	0.559	0.000	0.000	0.000	0.936	-0.812	0.000	0.000
12p	-0.281	0.000	0.000	0.000	0.000	1.488	-0.869	1.682	-0.469	0.000	0.986	0.000	-0.395	0.000	0.000	0.336	-0.613	0.000	0.000	0.000	0.000	-0.482	0.000	0.693	0.419	-0.650	0.000	0.000	-0.076	2.267	-0.543	0.740	0.565	1.342	-0.257	0.000	0.000	0.000	0.000	0.000	0.463	-0.282	-0.670	0.282	0.505	0.442	0.648	0.000	0.000	-0.272	0.000	0.394	-0.874	0.473	1.124	0.000	0.000	0.000	0.260	1.042	0.000	0.000	0.000	0.388	0.000	1.035	0.000	0.000	0.000	0.626	0.000	0.000	-0.481	0.000	0.433	0.000	0.606	-0.274	0.000	0.000	0.000	0.326	0.000	0.405	0.000	0.000	0.561	-0.350	0.000	0.000	0.718	0.000	0.000	0.667	0.887	0.000	0.000	0.260	0.806	0.000	0.000	0.000	0.000	0.000	0.384	0.544	0.000	0.000	0.000	0.500	0.801	1.134	-0.644	-0.681	0.000	0.874	0.000
