Chromosome Arm	X1032	X103	X1040	X106	X1097	X1098	X1172	X1177	X1192	X1196	X119	X120	X1230	X1237	X1265	X1269	X1283	X128	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X2316	X2354	X2357	X2360	X2362	X2374	X23	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X935	X93	X94	X970	X987	X991
19p	0.254	0.000	0.258	0.000	1.060	-0.091	0.000	0.459	0.260	0.000	0.330	0.305	0.000	1.224	0.000	-0.454	0.637	0.000	0.000	0.278	-0.317	0.329	0.000	0.000	0.000	0.000	-0.665	0.000	0.000	0.000	-0.613	0.000	-0.370	0.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.279	0.000	0.000	-0.302	1.757	-0.477	0.000	0.838	0.000	-0.264	-0.346	0.000	-0.765	0.000	-0.351	0.519	0.000	0.463	0.413	0.000	-0.284	0.000	1.127	0.000	-0.551	0.000	0.000	-0.438	0.000	0.410	1.026	0.000	0.000	0.411	-0.282	0.000	0.000	0.000	0.000	0.000	-0.590	-0.321	-0.624	0.000	-0.535	-0.266	-0.430	0.000	0.000	-0.491	0.000	-0.811	-0.404	0.000	0.000	0.000	0.000	0.000	0.000	-0.769	0.000	0.402	0.000	0.000	0.000	0.000	-0.542	0.000	0.000	0.000	0.899	0.000	0.275	0.000	0.000	0.000
19q	0.000	0.000	0.258	0.000	0.000	-0.533	0.000	0.459	-0.409	-0.870	0.000	0.305	0.000	-0.528	-0.778	-0.454	0.637	0.000	-0.772	-0.453	0.325	0.329	0.000	0.000	-0.827	0.000	0.409	-0.847	0.000	0.000	-0.613	0.000	-0.370	0.347	0.000	-0.369	0.000	0.000	0.000	0.000	0.000	0.279	0.000	0.000	0.000	1.197	-0.477	0.000	0.000	0.000	-0.264	-0.346	0.000	-0.765	0.000	-0.351	0.519	0.000	-0.431	-0.989	0.551	-0.284	0.000	0.784	-0.428	-0.551	0.000	0.000	-0.438	-0.721	0.410	-0.588	0.000	0.000	0.000	-0.282	0.000	-0.504	0.000	-0.360	0.000	-0.590	0.000	-0.624	-0.648	-0.535	-0.266	-0.430	-0.386	0.000	-0.491	0.000	-0.811	0.000	0.000	0.000	0.000	0.413	0.000	0.000	-0.769	0.000	1.325	-0.770	-0.749	0.000	0.000	0.000	0.000	0.000	0.000	0.555	-0.721	-0.713	0.000	0.000	0.000
20p	0.000	0.000	0.000	0.280	-0.738	0.862	-0.728	0.859	0.616	0.000	0.864	0.000	-0.451	0.684	0.971	0.512	-0.453	0.396	0.000	0.000	0.000	0.362	-0.632	-0.783	0.000	0.000	0.518	-0.630	0.492	0.000	0.569	0.000	0.886	0.382	0.000	0.409	0.000	0.000	0.000	0.000	-0.619	0.961	0.000	0.341	0.514	0.450	0.000	0.000	0.000	0.000	0.000	0.394	0.000	1.202	0.286	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.895	0.000	0.608	0.000	0.000	0.000	0.537	0.000	0.000	0.929	0.000	0.000	0.527	0.000	0.609	0.000	0.550	0.000	0.000	0.986	0.000	0.000	0.000	0.509	0.380	0.655	0.000	0.000	0.000	1.052	-0.583	0.000	0.461	0.446	1.055	0.000	0.000	-0.721	0.446	0.373	0.000	0.913	0.584	0.000	0.000	0.000	-0.454	0.000	0.253	0.000	0.000	0.000	0.755	0.532
20q	0.000	0.000	0.000	0.280	0.000	0.862	0.000	0.859	0.616	0.974	1.201	-0.313	1.591	0.684	0.971	1.754	0.000	0.396	0.000	0.000	0.000	0.362	0.000	0.000	0.000	0.000	0.000	0.000	0.492	0.000	0.569	0.000	0.886	1.014	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.561	0.000	0.341	1.143	0.450	0.000	0.000	0.000	0.000	0.000	0.394	0.000	1.202	0.286	0.500	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.895	0.000	0.608	0.000	0.000	0.640	0.537	0.000	0.919	0.000	0.000	0.000	0.000	0.000	0.609	0.000	0.550	0.000	0.637	0.986	0.000	0.000	0.000	0.509	0.000	0.655	0.000	1.668	0.000	1.052	0.000	1.262	0.461	0.446	1.055	0.000	0.000	-0.721	0.446	1.194	0.000	0.913	0.000	0.000	0.000	0.000	0.000	0.000	0.253	0.000	0.000	0.000	0.000	0.532
21p	0.000	-0.656	0.000	0.000	-0.819	0.000	0.000	-0.330	0.000	-0.501	0.000	-0.535	-0.363	-0.583	-0.491	-0.512	0.000	-0.327	-0.466	0.000	-0.439	-0.471	-0.607	-0.334	-0.398	-0.590	-0.525	-0.808	-0.450	-0.325	-0.552	0.000	0.000	0.000	-0.331	0.000	0.000	0.000	0.000	0.810	-0.582	0.370	0.000	0.650	0.000	0.090	-0.010	0.000	0.000	-0.307	0.454	0.339	-0.438	-0.276	0.000	-0.296	0.000	-0.456	-0.593	0.000	0.000	1.503	0.000	0.503	0.000	-0.427	0.000	0.000	0.266	-0.664	0.000	0.000	-0.806	0.000	0.000	0.000	0.000	-0.876	0.000	0.000	-0.353	0.000	-0.788	-0.654	-0.608	0.000	-0.670	-0.352	0.000	0.000	-0.264	0.000	1.109	-0.610	0.000	0.413	-0.423	0.000	-0.458	0.000	-0.532	-0.344	-0.304	-0.605	0.000	0.000	-0.640	0.000	-0.145	0.000	0.000	0.000	-0.619	0.000	-0.479	0.000	-0.543
21q	0.000	-0.656	0.000	0.000	-0.819	0.000	0.000	0.000	0.000	0.000	-0.400	-0.535	0.000	-0.583	0.000	0.000	0.000	-0.327	0.000	0.000	-0.439	-0.471	-0.607	0.000	-0.398	-0.590	-0.525	-0.808	0.000	0.000	-0.552	0.000	0.000	0.000	-0.331	0.000	0.000	0.000	0.000	0.810	-0.582	0.370	0.000	0.650	0.000	0.349	-0.451	0.000	0.000	-0.307	0.000	0.339	0.000	-0.276	0.000	0.000	0.000	-0.456	-0.593	0.000	0.000	1.503	0.000	0.503	0.000	-0.427	0.000	0.000	0.266	-0.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.876	0.000	0.000	-0.353	0.000	-0.356	-0.337	-0.608	0.000	0.000	-0.352	0.000	0.000	-0.264	0.000	1.109	-0.610	0.000	0.413	-0.423	0.000	0.000	0.000	0.000	0.000	0.000	-0.605	0.000	0.000	-0.640	0.000	-0.145	0.000	0.000	0.000	-0.619	0.000	0.000	0.000	-0.543
22p	0.000	-0.780	0.000	0.000	0.000	-0.272	-0.847	-0.400	-0.410	-0.878	-0.715	0.000	-0.378	-0.593	-0.814	-0.580	-0.631	0.000	-0.786	0.000	-0.421	-0.527	-0.626	-0.778	0.428	0.000	-0.674	-0.780	-0.526	0.000	-0.540	0.000	0.000	0.000	-0.294	0.000	0.000	0.560	0.000	-0.293	0.000	0.277	-0.705	-0.300	-0.265	-0.717	0.000	-0.281	0.000	-0.545	0.000	-0.283	-0.863	0.175	0.000	-0.535	-0.278	-0.446	-0.515	-0.391	-0.777	0.000	0.000	-0.431	-0.644	-0.380	0.000	0.000	-0.319	-1.293	0.000	-0.542	0.000	0.000	-0.494	-0.705	-0.265	0.000	0.000	-0.342	0.000	-0.535	-0.314	-0.622	-0.549	0.000	-0.872	-0.360	-0.318	-0.744	-0.312	0.000	-0.702	0.000	0.000	-0.355	0.000	0.000	0.000	0.000	-0.773	-0.598	-0.285	-0.712	-0.810	0.000	-0.640	-0.572	0.000	-0.382	0.000	-0.546	-0.685	-0.696	-0.789	-0.668	0.000
22q	0.000	-0.780	0.000	0.000	0.000	-0.272	-0.847	-0.400	-0.410	-0.878	-0.400	0.000	-0.378	-0.593	-0.814	-0.933	-0.631	0.000	-0.786	0.000	-0.421	-0.527	-0.626	-0.778	-0.862	0.000	0.563	-0.780	-0.526	0.000	0.000	-0.789	0.000	0.000	-0.294	-0.262	0.000	-0.482	0.000	-0.293	0.000	0.000	-0.705	0.000	-0.265	-0.717	0.000	-0.281	0.000	0.000	0.000	-0.283	-0.863	0.175	0.000	-0.535	-0.278	-0.446	-0.515	-0.391	-0.777	0.000	0.000	0.000	-0.644	-0.380	0.000	0.000	-0.319	-1.293	0.000	-0.542	0.000	0.000	-0.494	-0.705	-0.265	0.000	0.000	-0.342	0.000	-0.535	-0.314	-0.622	-0.549	0.000	-0.872	-0.360	-0.318	-0.744	-0.312	0.000	-0.702	-0.594	-0.372	0.000	-0.533	0.000	0.000	0.000	-0.773	-0.598	0.000	-0.712	-0.810	0.000	-0.640	-0.572	0.000	-0.382	0.000	-0.546	-0.685	-0.696	-0.789	-0.668	0.000
Xp	0.000	0.000	0.000	0.000	-0.857	-1.293	0.000	-0.859	-1.058	-0.889	-0.735	-0.574	-0.893	-0.587	-0.864	-0.724	0.000	-0.678	0.000	0.000	-0.453	-0.882	-0.601	-0.806	-1.275	0.000	-0.256	0.000	-0.552	-0.932	-0.561	0.000	-0.062	-0.501	0.000	0.284	0.000	-0.353	0.000	-0.426	-0.559	-0.797	0.000	0.000	-0.575	0.000	0.000	0.000	-0.495	-0.295	-0.287	-0.663	0.000	-0.451	-0.497	-0.012	0.000	0.000	-0.562	-1.062	-0.794	0.000	-0.435	0.341	-0.284	-0.403	-0.398	-0.419	-0.594	0.000	0.000	-0.804	0.000	0.000	-0.468	-0.602	0.000	-0.327	-0.319	-0.532	0.000	-0.266	-1.041	-0.299	-0.588	-0.033	-0.882	0.000	0.674	-0.727	0.000	0.000	0.712	-0.663	-0.471	-0.556	0.000	-0.311	0.000	0.000	-0.732	-0.666	-0.483	-0.659	-0.817	0.000	-0.606	-0.494	-0.717	-0.539	0.000	-0.300	0.000	0.000	-0.826	0.000	-0.549
Xq	-0.259	0.698	0.000	0.000	-0.857	-1.293	0.000	-0.859	-1.058	-0.889	-0.735	-0.574	-0.893	-0.587	-0.864	-0.724	0.000	-0.678	0.000	0.000	-0.453	-0.882	-0.601	-0.806	-0.398	0.541	-0.256	0.000	-0.552	-0.439	-0.561	0.000	-0.373	-0.501	0.000	0.284	0.000	-0.353	0.000	-0.426	-0.559	-0.797	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.295	0.000	-0.361	0.000	0.000	-0.497	-0.273	0.000	0.000	-0.562	-1.062	-0.794	-0.983	-0.435	0.341	-0.269	-0.403	-0.398	-0.419	0.000	0.000	0.000	-0.804	0.000	0.000	0.000	-0.602	0.000	-0.327	-0.319	-0.532	0.000	0.000	-1.041	0.000	-0.588	0.537	-0.882	0.000	0.674	-0.727	0.000	0.000	0.712	-0.663	-0.471	0.000	0.000	-0.311	0.000	0.000	-0.732	0.000	-0.483	0.000	0.000	0.000	-0.606	-0.494	-0.717	-0.539	0.000	0.000	0.000	0.000	-0.826	0.000	0.000
