sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1652	1p	5	2	20075385.5	23735318.5	0.85	AMP
X1652	2p	5	2	1454651	1454651	1	AMP
X1652	3p	5	2	1998316	1998316	1	AMP
X1652	4p	1	0	5502300	5502300	1	HETLOSS
X1652	4q	2	0	114629700	114629700	1	CNLOH
X1652	5q	2	0	112509132	125884697	0.89	CNLOH
X1652	7p	3	1	2668836.5	2668836.5	1	GAIN
X1652	9q	3	0	47259100	47259100	1	CNLOH & GAIN
X1652	14q	3	1	24483500	25388286	0.96	GAIN
X1652	15q	5	1	5643600	5643600	1	AMP
X1652	16p	2	0	31351313.5	36383522.5	0.86	CNLOH
X1652	17p	2	0	15336221.5	15336221.5	1	CNLOH
X1652	18p	5	2	10254452.5	10254452.5	1	AMP
X1652	20p	2	0	22303441	25389141	0.88	CNLOH
X1652	23p	5	2	13933660.5	13933660.5	1	AMP
X1652	23q	5	2	85270991.5	89341592.5	0.95	AMP
