sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2401	3p	4	2	16999716	16999716	1	TETRAPLOID
X2401	4q	2	0	99723600	106508900	0.94	LOSS BEFORE
X2401	7q	4	2	50344129	60194765	0.84	TETRAPLOID
X2401	11q	4	2	52712703	53759695	0.98	TETRAPLOID
X2401	13q	4	0	61476340	61476340	1	CNLOH BEFORE
X2401	15q	2	0	10942600	10942600	1	LOSS BEFORE
X2401	17p	3	0	14177521.5	14270476.5	0.99	CNLOH BEFORE & LOSS
X2401	18q	4	2	51712320	60949591.5	0.85	TETRAPLOID
X2401	20p	4	2	21127809	21127809	1	TETRAPLOID
X2401	22q	3	0	32585744	36369334	0.9	CNLOH BEFORE & LOSS
