sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1718	1p	1	0	56139800	61578606.5	0.91	HETLOSS
X1718	2q	2	1	143609300	143609300	1	DIPLOID
X1718	3p	3	1	42496016	42496016	1	GAIN
X1718	4q	2	1	134052100	134052100	1	DIPLOID
X1718	6p	1	0	32600	32600	1	HETLOSS
X1718	8q	2	1	60025056	70808182	0.85	DIPLOID
X1718	10q	3	1	51466762	63300982	0.81	GAIN
X1718	11q	3	0	48255682	59395682	0.81	CNLOH & GAIN
X1718	12q	3	1	62237400	63541854	0.98	GAIN
X1718	14q	3	0	14459700	16359561	0.88	CNLOH & GAIN
X1718	18p	3	1	11786752.5	11786752.5	1	GAIN
X1718	21q	2	0	33244516	34525259	0.96	CNLOH
X1718	22q	2	1	36153547	36792847	0.98	DIPLOID
